detid,flow
-1010239942,0
-104290265#0,0
-104290265#1,0
-104290266#0,0
-104290266#1,0
-104290267#1,0
-104290267#2,0
-104290267#3,0
-104290269#0,0
-104290269#1,0
-104290269#2,0
-104290269#3,0
-104290270#0,0
-104290270#1,0
-104290271#0,0
-104290271#1,0
-104290272,0
-104290274#0,0
-104290274#1,0
-104290276#0,0
-104290276#1,0
-104290276#2,0
-104290277,0
-104290279#0,0
-104290279#1,0
-104290279#10,0
-104290279#11,0
-104290279#12,0
-104290279#13,0
-104290279#2,0
-104290279#3,0
-104290279#4,0
-104290279#5,0
-104290279#6,0
-104290279#7,0
-104290279#8,0
-104290279#9,0
-104290280#0,0
-104290282,0
-104290283#0,0
-104290283#1,0
-104290285#0,0
-104290285#1,0
-104290285#2,0
-104290286,0
-104290289,0
-104290291#0,0
-104290291#1,0
-104290293#0,0
-104290293#1,0
-104290295#0,0
-104290295#1,0
-104290296#0,0
-104290296#1,0
-104290296#2,0
-104290296#3,0
-104290297,0
-104290298#0,0
-104290299,0
-105142724,0
-105142727#0,0
-105142727#1,0
-105142727#2,0
-105142729#0,0
-105142729#1,0
-105142732,0
-105142734#0,0
-105142734#1,0
-105142734#2,0
-105142735,0
-105142736,0
-105142738,0
-105156555,0
-105156557#0,0
-105156557#1,0
-105156564#0,0
-105156565#0,0
-105156566#0,0
-105156566#1,0
-105156566#2,0
-105156566#3,0
-105156570#0,0
-105156570#1,0
-105156570#2,0
-105156570#3,0
-105156574#0,0
-105156574#1,0
-105461860#0,0
-105461860#1,0
-105461860#2,0
-105462319#0,0
-105462319#1,0
-105783608#0,0
-105783608#1,0
-105783608#2,0
-105783608#3,0
-105783609,0
-105783611,0
-105783612#0,0
-105783612#1,0
-105790069#0,0
-105803601,0
-106887218#0,0
-106887218#1,0
-106887218#2,0
-106887218#3,0
-106887218#4,0
-106887218#5,0
-106887218#6,0
-106887218#7,0
-106887218#8,0
-106887219#0,0
-106887219#1,0
-106887220,0
-106887221#0,0
-106887221#1,0
-106887221#2,0
-106887221#3,0
-106887225,0
-106887227#0,0
-106887227#1,0
-106887228,0
-106887230#1,0
-106887231,0
-106887234,0
-106887237#0,0
-106887237#1,0
-106887239#0,0
-106887241#0,0
-106887241#1,0
-106887243,0
-106887250#0,0
-106887250#1,0
-106887256#0,0
-106887256#1,0
-106887256#2,0
-106887256#3,0
-106887256#4,0
-106887256#5,0
-106887610#0,0
-106887610#1,0
-106887612#0,0
-106887612#1,0
-106887613#1,0
-107037806#0,0
-107037806#1,0
-107107403#0,0
-107107403#1,0
-1073075896,0
-1073075897,0
-1073075898,0
-1073075899#0,0
-1073075899#1,0
-1073075899#2,0
-1073075899#4,0
-1073075902,0
-1073075909,0
-1073075910#0,0
-1073075910#1,0
-1073075916,0
-1103841267,0
-1103841268,0
-1112298526,0
-1112298527,0
-1112298528#0,0
-1112298528#1,0
-1113566179,0
-1113566182,0
-1113566183,0
-1113566186,0
-1113566192,0
-1114967953,0
-1114967955,0
-113380488,0
-113380491#0,0
-113380491#1,0
-113380491#2,0
-113380491#3,0
-113380491#4,0
-1153995061,0
-1153995062,0
-1154134475,0
-1154386245,0
-1154386247,0
-1154386256,0
-1154386278,0
-1154386279,0
-1154386313,0
-1154386314#0,0
-1154386314#1,0
-1154386314#2,0
-1154386331,0
-1154386332#0,0
-1154386332#1,0
-1154476417,0
-1154476418,0
-1154476419#0,0
-1154476419#1,0
-1154476420,0
-1154476425#0,0
-1154476425#1,0
-1154476429#0,0
-1154476429#1,0
-1154476429#2,0
-1154476429#3,0
-1154476429#4,0
-1154476436#0,0
-1154476436#1,0
-116803446#0,0
-116803446#1,0
-116803448,0
-116803451,0
-116803452,0
-116803455,0
-116803456#0,0
-116803456#1,0
-116803456#2,0
-116803456#3,0
-116803456#4,0
-116803456#5,0
-116803457#0,0
-116803457#1,0
-116944835,0
-116944836#0,0
-116944836#1,0
-1171314508,0
-1171314517,0
-1186447414,0
-1188329601,0
-1277326425#0,0
-1277326425#2,0
-1277327897,0
-129603295#0,0
-129603295#1,0
-129604180,0
-129604371,0
-129876524#0,0
-129876524#1,0
-129876524#2,0
-129876524#3,0
-129876524#4,0
-129876524#5,0
-1342718690#0,0
-1342718690#1,0
-1352997655#0,0
-1352997655#1,0
-1352997655#2,0
-1352997655#3,0
-1352997655#4,0
-1352997655#5,0
-1373538473,0
-139460723#1,0
-139460723#10,0
-139460723#11,0
-139460723#12,0
-139460723#2,0
-139460723#3,0
-139460723#4,0
-139460723#5,0
-139460723#6,0
-139460723#7,0
-139460723#8,0
-139460723#9,0
-193753529,0
-220393187#0,0
-220393187#1,0
-220393190,0
-220393191#1,0
-220393191#2,0
-220393191#3,0
-220393191#4,0
-220393191#5,0
-220393191#6,0
-220393192#2,0
-220393192#3,0
-220393192#4,0
-27600016,0
-27600017,0
-27600018,0
-288038457#0,0
-288038457#1,0
-288038457#2,0
-288038457#3,0
-288038457#4,0
-30887733#0,0
-30887733#1,0
-30887734#0,0
-30887734#1,0
-30887734#2,0
-30887734#3,0
-30887734#4,0
-30887734#5,0
-30887734#6,0
-30887736#0,0
-30887736#1,0
-30887736#2,0
-30887736#3,0
-30887736#4,0
-30887736#5,0
-30890424#0,0
-30890424#1,0
-30890424#2,0
-30890424#3,0
-30890424#4,0
-30890424#5,0
-30890424#6,0
-30890427#2,0
-30890428#2,0
-30890428#3,0
-30890428#4,0
-32852239#0,0
-32852239#1,0
-339309141#0,0
-339309141#1,0
-339309143,0
-339309146,0
-339309148,0
-339309149,0
-339309150,0
-339309151,0
-339309155,0
-339309156#1,0
-339309156#2,0
-339309163#0,0
-340311302#0,0
-340311302#1,0
-340311302#2,0
-344092908,0
-344092919#0,0
-344092919#1,0
-344092919#2,0
-344092919#3,0
-344092919#4,0
-344092919#5,0
-344602918#0,0
-350640989,0
-350643823,0
-35193218,0
-37677499,0
-37677500,0
-37677502#0,0
-37677502#1,0
-37678317#0,0
-37678317#1,0
-37678317#2,0
-37678317#3,0
-37678317#4,0
-37678317#5,0
-39646066,0
-443523742#0,0
-443523742#1,0
-443523742#2,0
-443523742#3,0
-45237551#0,0
-45237552#1,0
-45451326#0,0
-45451326#1,0
-45451329#0,0
-45451329#1,0
-45451329#2,0
-45451330,0
-45451332#0,0
-45451333#0,0
-45451333#1,0
-45451334,0
-45451337#0,0
-45451337#1,0
-45451337#2,0
-45451337#3,0
-45451337#4,0
-45451337#5,0
-45451337#6,0
-45451337#7,0
-45451339#0,0
-45451339#1,0
-45451339#2,0
-45451340#0,0
-45451352,0
-45451353,0
-45451356#0,0
-45451356#1,0
-45451358#0,0
-45451358#1,0
-45451358#2,0
-45451358#3,0
-45451358#4,0
-45451358#5,0
-45451358#6,0
-45451358#7,0
-45451358#8,0
-45451358#9,0
-45451362#0,0
-45451362#1,0
-45451364#0,0
-45451364#1,0
-45451364#2,0
-45451364#3,0
-45451364#4,0
-45451365,0
-45451366,0
-45451368,0
-45451369#0,0
-45451369#1,0
-45451370,0
-45451372,0
-45451373#0,0
-45451373#1,0
-45451373#2,0
-45451373#3,0
-45451373#4,0
-45513703,0
-45513704#0,0
-45513706#0,0
-45513706#1,0
-45513706#2,0
-45513706#4,0
-45513711#0,0
-45513711#2,0
-45513713,0
-45513714#0,0
-45513714#1,0
-45513714#2,0
-45513714#3,0
-45513715,0
-45513716#0,0
-45513716#1,0
-45513716#2,0
-45513716#3,0
-45513716#4,0
-45513716#5,0
-45513720#0,0
-45513720#1,0
-45513720#2,0
-45513721,0
-45513724#0,0
-45513724#1,0
-45513731,0
-45513732,0
-45513735,0
-45513737#0,0
-45513738#0,0
-45513738#1,0
-45513740#0,0
-45513740#1,0
-45513746#0,0
-45513746#1,0
-45513746#2,0
-45513746#3,0
-45513747,0
-45513748,0
-45513749,0
-45513750,0
-45513751,0
-45513753,0
-45579323#0,0
-45579323#1,0
-45579323#2,0
-45579324#3,0
-45579325#0,0
-45579325#1,0
-45579326#0,0
-45579326#1,0
-45579327#0,0
-45579327#1,0
-45579327#2,0
-45579327#3,0
-45579328#0,0
-45579328#1,0
-45579328#2,0
-45579329,0
-45579330#0,0
-45579330#1,0
-45579330#2,0
-45579330#3,0
-45579330#4,0
-45579330#5,0
-45579333#0,0
-45579333#1,0
-45579333#2,0
-45579333#3,0
-45579333#4,0
-45579334#0,0
-45579334#1,0
-45579335,0
-45579336#0,0
-45579336#1,0
-45579336#2,0
-45579337#0,0
-45579337#2,0
-45579339#0,0
-45579339#1,0
-45579340#1,0
-45579340#2,0
-45579340#3,0
-45579340#4,0
-45579340#5,0
-45579341#0,0
-45579341#1,0
-45579342#0,0
-45579342#1,0
-45579343,0
-45579344,0
-45579347#0,0
-45579347#1,0
-45579350#0,0
-45579350#1,0
-45579356,0
-45579357#0,0
-45579357#1,0
-45579360#0,0
-45579360#1,0
-45579360#2,0
-45579361,0
-45579363,0
-45579366#1,0
-45579369#0,0
-45579369#1,0
-45579369#2,0
-45579369#3,0
-45579369#4,0
-45579370#0,0
-45579370#1,0
-45579373,0
-45579383#0,0
-45579383#1,0
-45579386#0,0
-45579387,0
-45579388#0,0
-45579388#1,0
-45579388#2,0
-45579388#3,0
-45579389,0
-45579390#0,0
-45579390#1,0
-45579390#2,0
-45579390#3,0
-45579391#0,0
-45579391#1,0
-45581708#0,0
-45581708#1,0
-45581709#0,0
-45581709#1,0
-45581710,0
-45581711#0,0
-45581711#1,0
-45581711#2,0
-45581711#3,0
-45581711#4,0
-45581711#5,0
-45581711#6,0
-45581711#7,0
-45581712#0,0
-45581712#1,0
-45581712#2,0
-45581712#3,0
-45581712#4,0
-45581712#5,0
-45581712#6,0
-45581713,0
-45581716#0,0
-45581716#1,0
-45581716#2,0
-45581716#3,0
-45581717#0,0
-45581717#1,0
-45581720,0
-45581722,0
-45581726#0,0
-45581726#1,0
-45645715,0
-45645716#1,0
-45645722#0,0
-45645722#1,0
-45645723#0,0
-45645723#1,0
-45645723#2,0
-45645723#3,0
-45645723#4,0
-45645725,0
-45645726#0,0
-45645726#1,0
-45645730#0,0
-45645730#1,0
-45645732,0
-45645733#1,0
-45645733#2,0
-45645733#3,0
-45645735#0,0
-45645735#1,0
-45645738#0,0
-45645738#1,0
-45645741,0
-45682819,0
-46888892#0,0
-46888892#1,0
-46888902,0
-46888905#0,0
-46888905#1,0
-46888905#2,0
-47356550#2,0
-47356550#3,0
-47356550#4,0
-47356550#5,0
-47356550#6,0
-47356550#7,0
-473600246,0
-47975273#0,0
-47975273#1,0
-47975273#2,0
-47975273#3,0
-47975273#4,0
-47975273#5,0
-47975273#6,0
-47976119,0
-47977032#0,0
-47977032#1,0
-47977032#2,0
-47977032#3,0
-47977032#4,0
-47977032#5,0
-47977034#0,0
-47977034#1,0
-47977034#10,0
-47977034#11,0
-47977034#12,0
-47977034#13,0
-47977034#2,0
-47977034#3,0
-47977034#4,0
-47977034#5,0
-47977034#6,0
-47977034#7,0
-47977034#8,0
-47977034#9,0
-47977035,0
-49014714#0,0
-49014714#1,0
-49014714#2,0
-49014714#3,0
-49070495,0
-49070498#0,0
-49070498#1,0
-49070498#2,0
-49070499#0,0
-49070499#1,0
-49070499#2,0
-49070499#3,0
-49070499#4,0
-49070499#5,0
-49070499#6,0
-49070499#7,0
-49070499#8,0
-49070505,0
-49070540#0,0
-49070550#0,0
-49070550#1,0
-49070550#2,0
-490981136,0
-491903033#0,0
-491903033#2,0
-491903034,0
-493667735,0
-493677185#1,0
-493677185#2,0
-493677185#3,0
-496438775#0,0
-496438775#1,0
-496438775#2,0
-497195474,0
-499341007#0,0
-499341007#1,0
-501772048#0,0
-501772048#1,0
-501772049,0
-501772050,0
-501772052,0
-51420437#0,0
-51420437#1,0
-51420437#2,0
-51420437#3,0
-51420437#4,0
-51420437#5,0
-51420444#0,0
-51420444#1,0
-51420444#2,0
-51420444#3,0
-51420445,0
-51422978#0,0
-51422978#1,0
-51422979,0
-51422981,0
-51422982#0,0
-51422982#1,0
-51422982#2,0
-51422982#3,0
-51422982#4,0
-51422982#5,0
-51422983,0
-51422990,0
-51422994#0,0
-51422994#1,0
-51424294,0
-51424295#0,0
-51424297,0
-51424299,0
-51424300#0,0
-51424300#1,0
-51424785,0
-51424786,0
-51424789,0
-51424790#0,0
-51424790#1,0
-51424790#2,0
-51424790#3,0
-51424790#4,0
-51424791#0,0
-51424791#1,0
-51425438#0,0
-51425438#1,0
-51425439,0
-51426387,0
-51426389,0
-51426393,0
-51426400#0,0
-51426404#0,0
-51426404#1,0
-51426404#2,0
-51426405#1,0
-51426407,0
-515764904#0,0
-515764904#1,0
-515764904#2,0
-515764906,0
-51819641#0,0
-51819641#1,0
-51819645#0,0
-51819645#1,0
-51819645#2,0
-51819645#3,0
-51819645#4,0
-560405275,0
-560405276#0,0
-560405276#1,0
-560405276#2,0
-560405277,0
-560405279,0
-560405281#0,0
-560405281#1,0
