travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
2.6166666666666667,56,AV,3,2,50,1412,-2.6166666666666667,"0,0,0,0"
3.183333333333333,385,AV,1,98,40,1680,-3.183333333333333,"0,0,0,0"
1.6666666666666667,955,AV,0,466,342,1479,-1.6666666666666667,"0,0,0,0"
2.2666666666666666,201,AV,1,162,128,526,-2.2666666666666666,"0,0,0,0"
23.566666666666666,633,AV,1,351,253,830,-23.566666666666666,"0,0,0,0"
4.15,503,AV,1,294,92,500,-4.15,"0,0,0,0"
12.216666666666667,923,AV,0,37,28,643,-12.216666666666667,"0,0,0,0"
35.65,965,AV,1,34,19,1039,-35.65,"0,0,0,0"
9.25,138,AV,0,117,19,1378,-9.25,"0,0,0,0"
3.9166666666666665,625,AV,0,347,265,713,-3.9166666666666665,"0,0,0,0"
6.366666666666666,824,AV,1,138,130,1723,-6.366666666666666,"0,0,0,0"
2.3833333333333333,684,AV,1,72,286,617,-2.3833333333333333,"0,0,0,0"
2.25,843,AV,2,192,321,1754,-2.25,"0,0,0,0"
5.916666666666667,31,AV,1,31,27,960,-5.916666666666667,"0,0,0,0"
3.4,709,AV,0,118,51,878,-3.4,"0,0,0,0"
3.066666666666667,595,AV,0,336,249,872,-3.066666666666667,"0,0,0,0"
3.0,796,AV,3,297,72,1308,-3.0,"0,0,0,0"
3.533333333333333,509,AV,3,299,23,772,-3.533333333333333,"0,0,0,0"
8.733333333333333,869,AV,3,253,46,1068,-8.733333333333333,"0,0,0,0"
1.5333333333333334,758,AV,1,50,245,581,-1.5333333333333334,"0,0,0,0"
16.633333333333333,600,AV,2,250,13,1466,-16.633333333333333,"0,0,0,0"
8.583333333333334,542,AV,2,222,20,1003,-8.583333333333334,"0,0,0,0"
5.016666666666667,247,AV,1,179,20,478,-5.016666666666667,"0,0,0,0"
6.033333333333333,84,AV,0,57,0,803,-6.033333333333333,"0,0,0,0"
10.566666666666666,153,AV,1,131,106,775,-10.566666666666666,"0,0,0,0"
11.4,176,AV,2,148,110,1028,-11.4,"0,0,0,0"
2.9166666666666665,523,AV,1,198,6,1667,-2.9166666666666665,"0,0,0,0"
7.233333333333333,220,AV,0,170,140,841,-7.233333333333333,"0,0,0,0"
3.5166666666666666,141,AV,0,120,81,796,-3.5166666666666666,"0,0,0,0"
7.133333333333334,231,AV,0,17,20,1287,-7.133333333333334,"0,0,0,0"
2.183333333333333,722,AV,1,398,293,1152,-2.183333333333333,"0,0,0,0"
3.0,701,AV,1,12,3,737,-3.0,"0,0,0,0"
3.0166666666666666,183,AV,1,154,99,1713,-3.0166666666666666,"0,0,0,0"
0.6333333333333333,547,AV,0,317,122,967,-0.6333333333333333,"0,0,0,0"
2.8333333333333335,854,AV,2,202,32,1582,-2.8333333333333335,"0,0,0,0"
2.55,718,AV,1,396,66,1553,-2.55,"0,0,0,0"
2.6,382,AV,0,234,185,620,-2.6,"0,0,0,0"
26.233333333333334,821,AV,0,446,72,1510,-26.233333333333334,"0,0,0,0"
4.25,265,AV,0,166,149,940,-4.25,"0,0,0,0"
2.466666666666667,535,AV,0,312,0,1366,-2.466666666666667,"0,0,0,0"
49.25,93,AV,2,78,51,1752,-49.25,"0,0,0,0"
11.65,75,AV,0,40,65,1202,-11.65,"0,0,0,0"
1.75,839,AV,2,454,87,1552,-1.75,"0,0,0,0"
3.0,90,AV,3,75,72,1335,-3.0,"0,0,0,0"
2.6333333333333333,275,AV,0,164,63,1077,-2.6333333333333333,"0,0,0,0"
19.666666666666668,91,AV,3,76,23,1117,-19.666666666666668,"0,0,0,0"
5.016666666666667,249,AV,1,181,138,501,-5.016666666666667,"0,0,0,0"
3.1666666666666665,430,AV,1,186,197,455,-3.1666666666666665,"0,0,0,0"
5.7,403,AV,3,17,191,1557,-5.7,"0,0,0,0"
43.7,118,AV,0,100,88,1177,-43.7,"0,0,0,0"
2.0,760,AV,1,123,108,1773,-2.0,"0,0,0,0"
6.8,916,AV,3,30,176,1009,-6.8,"0,0,0,0"
2.8,158,AV,3,135,109,581,-2.8,"0,0,0,0"
0.6833333333333333,859,AV,0,460,87,1495,-0.6833333333333333,"0,0,0,0"
2.4166666666666665,966,AV,1,465,356,815,-2.4166666666666665,"0,0,0,0"
1.8666666666666667,960,AV,0,12,51,483,-1.8666666666666667,"0,0,0,0"
7.616666666666666,94,AV,0,57,20,941,-7.616666666666666,"0,0,0,0"
