travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
4.85,183,AV,3,131,119,1221,-3.3546645702306077,"0,0,0,0"
2.0833333333333335,310,AV,3,204,1,881,-3.3546645702306077,"0,0,0,0"
6.283333333333333,14,AV,3,3,14,355,-3.3546645702306077,"0,0,0,0"
1.75,549,AV,3,310,85,451,-3.3546645702306077,"0,0,0,0"
1.5,130,AV,3,95,38,1189,-3.3546645702306077,"0,0,0,0"
2.2,283,AV,3,157,18,1127,-3.3546645702306077,"0,0,0,0"
4.616666666666666,47,AV,3,37,44,852,-3.3546645702306077,"0,0,0,0"
2.1333333333333333,57,AV,3,46,50,1192,-3.3546645702306077,"0,0,0,0"
3.1666666666666665,574,AV,1,51,47,1244,-3.3546645702306077,"0,0,0,0"
3.6166666666666667,305,AV,3,200,35,232,-3.3546645702306077,"0,0,0,0"
1.2333333333333334,133,AV,3,97,24,1436,-3.3546645702306077,"0,0,0,0"
3.9833333333333334,511,AV,3,167,228,86,-3.3546645702306077,"0,0,0,0"
1.9833333333333334,108,AV,3,82,79,1181,-3.3546645702306077,"0,0,0,0"
5.833333333333333,12,AV,3,11,12,682,-3.3546645702306077,"0,0,0,0"
2.3833333333333333,601,AV,3,119,47,1108,-3.3546645702306077,"0,0,0,0"
1.3666666666666667,300,AV,3,167,18,161,-3.3546645702306077,"0,0,0,0"
8.966666666666667,492,AV,3,270,17,893,-3.3546645702306077,"0,0,0,0"
1.3333333333333333,503,AV,3,223,56,1074,-3.3546645702306077,"0,0,0,0"
2.8333333333333335,463,AV,3,284,102,1007,-3.3546645702306077,"0,0,0,0"
1.7333333333333334,360,AV,3,230,7,351,-3.3546645702306077,"0,0,0,0"
2.4166666666666665,196,AV,3,139,121,205,-3.3546645702306077,"0,0,0,0"
1.8,55,AV,3,44,48,931,-3.3546645702306077,"0,0,0,0"
1.95,268,AV,3,185,160,1769,-3.3546645702306077,"0,0,0,0"
2.35,508,AV,3,276,229,581,-3.3546645702306077,"0,0,0,0"
4.416666666666667,122,AV,3,92,91,1384,-3.3546645702306077,"0,0,0,0"
3.8666666666666667,71,AV,3,39,60,659,-3.3546645702306077,"0,0,0,0"
1.6,428,AV,3,264,169,261,-3.3546645702306077,"0,0,0,0"
6.283333333333333,527,AV,3,122,151,1013,-3.3546645702306077,"0,0,0,0"
3.15,81,AV,3,58,35,612,-3.3546645702306077,"0,0,0,0"
2.683333333333333,619,AV,3,54,8,459,-3.3546645702306077,"0,0,0,0"
4.6,59,AV,3,47,52,240,-3.3546645702306077,"0,0,0,0"
3.6,167,AV,0,121,114,1018,-3.3546645702306077,"0,0,0,0"
3.966666666666667,164,AV,3,119,11,1119,-3.3546645702306077,"0,0,0,0"
4.683333333333334,608,AV,0,246,0,307,-3.3546645702306077,"0,0,0,0"
8.833333333333334,332,AV,3,92,186,93,-3.3546645702306077,"0,0,0,0"
1.9,95,AV,3,73,76,121,-3.3546645702306077,"0,0,0,0"
3.533333333333333,272,AV,3,188,162,1410,-3.3546645702306077,"0,0,0,0"
1.5166666666666666,134,AV,3,98,98,399,-3.3546645702306077,"0,0,0,0"
3.5166666666666666,607,AV,3,34,36,1254,-3.3546645702306077,"0,0,0,0"
2.8833333333333333,453,AV,3,234,56,40,-3.3546645702306077,"0,0,0,0"
2.683333333333333,249,AV,3,173,151,30,-3.3546645702306077,"0,0,0,0"
1.5166666666666666,571,AV,3,36,36,1278,-3.3546645702306077,"0,0,0,0"
2.3333333333333335,416,AV,3,259,211,720,-3.3546645702306077,"0,0,0,0"
1.6666666666666667,493,AV,3,53,106,1563,-3.3546645702306077,"0,0,0,0"
1.65,484,AV,3,294,225,872,-3.3546645702306077,"0,0,0,0"
2.35,329,AV,3,217,21,856,-3.3546645702306077,"0,0,0,0"
3.3666666666666667,471,AV,3,289,222,1416,-3.3546645702306077,"0,0,0,0"
3.45,339,AV,3,199,180,1345,-3.3546645702306077,"0,0,0,0"
2.85,630,AV,3,335,103,81,-3.3546645702306077,"0,0,0,0"
1.9166666666666667,67,AV,3,54,58,239,-3.3546645702306077,"0,0,0,0"
1.8166666666666667,112,AV,3,21,83,1046,-3.3546645702306077,"0,0,0,0"
0.85,232,AV,3,64,141,1382,-3.3546645702306077,"0,0,0,0"
6.333333333333333,237,AV,0,77,145,179,-3.3546645702306077,"0,0,0,0"
4.916666666666667,296,AV,3,50,170,1346,-3.3546645702306077,"0,0,0,0"
6.133333333333334,92,AV,3,72,74,765,-3.3546645702306077,"0,0,0,0"
1.2333333333333334,179,AV,3,130,105,367,-3.3546645702306077,"0,0,0,0"
1.4166666666666667,271,AV,3,187,161,18,-3.3546645702306077,"0,0,0,0"
3.8666666666666667,199,AV,3,142,126,560,-3.3546645702306077,"0,0,0,0"
2.15,622,AV,3,84,105,177,-3.3546645702306077,"0,0,0,0"
1.8833333333333333,85,AV,3,26,27,1523,-3.3546645702306077,"0,0,0,0"
1.7333333333333334,181,AV,0,87,48,1408,-3.3546645702306077,"0,0,0,0"
4.8,2,AV,3,1,2,627,-3.3546645702306077,"0,0,0,0"
3.4,462,AV,3,283,151,930,-3.3546645702306077,"0,0,0,0"
1.9166666666666667,514,AV,3,303,56,1798,-3.3546645702306077,"0,0,0,0"
7.666666666666667,536,AV,3,11,102,324,-3.3546645702306077,"0,0,0,0"
1.8333333333333333,337,AV,3,167,137,282,-3.3546645702306077,"0,0,0,0"
2.6333333333333333,36,AV,3,27,35,218,-3.3546645702306077,"0,0,0,0"
2.183333333333333,267,AV,3,184,159,569,-3.3546645702306077,"0,0,0,0"
5.566666666666666,336,AV,3,221,43,928,-3.3546645702306077,"0,0,0,0"
2.15,328,AV,3,58,184,256,-3.3546645702306077,"0,0,0,0"
1.75,523,AV,3,306,235,1567,-3.3546645702306077,"0,0,0,0"
4.633333333333334,83,AV,3,65,71,1393,-3.3546645702306077,"0,0,0,0"
3.6,274,AV,3,26,56,92,-3.3546645702306077,"0,0,0,0"
1.7166666666666666,311,AV,3,199,177,1781,-3.3546645702306077,"0,0,0,0"
3.15,230,AV,3,163,140,1464,-3.3546645702306077,"0,0,0,0"
