origins,destinations,path,free_flow_time
0,0,80733788#0 -80733788#0 -101789058#4 -101789058#3 101789117#0 101789117#1 986733130 101789127#0 101789127#1 698085348#4 698085348#5 197922720#0 197922720#1 813070235 -352043735#0 -103422838#9 -103422838#8 -103422838#7 -103422838#6 -103422838#5 -103422838#4 -103422838#3 -103422838#2 -103422861 964083525#2 103424641#0 103424641#1 -103422889#2 -103422889#1 -103422889#0 -103422876#1 -103422876#0 -272554973#2 -272554973#1 -272554973#0 -38785911#2 -38785911#1 -38785911#0 103422881#0 103422881#1 42190730 -42190730,4.1277825838739375
0,0,80733788#0 -80733788#0 197922721 252857979#0 252857979#1 252857979#2 986733130 101789127#0 101789127#1 698085348#4 698085348#5 197922720#0 197922720#1 813070235 -352043735#0 -103422838#9 -103422838#8 -103422838#7 -103422838#6 -103422838#5 -103422838#4 -103422838#3 -103422838#2 -103422861 964083525#2 103424641#0 103424641#1 -103422889#2 -103422889#1 -103422889#0 -103422876#1 -103422876#0 -272554973#2 -272554973#1 -272554973#0 -38785911#2 -38785911#1 -38785911#0 103422881#0 103422881#1 42190730 -42190730,4.067043443005208
0,0,80733788#0 -80733788#0 197922721 252857979#0 252857979#1 252857979#2 986733130 101789127#0 101789127#1 698085348#4 698085348#5 197922720#0 197922720#1 813070235 -352043735#0 -103422838#9 -103422838#8 -103422838#7 -103422838#6 -103422838#5 -103422838#4 -103422838#3 -103422838#2 -103422861 964083525#2 103424641#0 103424641#1 -103422889#2 -103422889#1 -103422889#0 -103422876#1 -103422876#0 -272554973#2 -272554973#1 -272554973#0 -38785911#2 38785911#2 38785911#3 272554973#1 272554973#2 103422876#0 103422876#1 -230346651 -813632717#0 -298358358 220245926#2 -220245945 220245947#3 220245947#1 220245939 -953231001 103422881#3 103422881#0 103422881#1 42190730 -42190730,5.293594753643831
0,0,80733788#0 -80733788#0 197922721 252857979#0 252857979#1 252857979#2 986733130 101789127#0 101789127#1 698085348#4 698085348#5 197922720#0 197922720#1 813070235 -352043735#0 -103422838#9 -103422838#8 -103424639 103424639 -103422838#7 -103422838#6 -103422838#5 -103422838#4 -103422838#3 -103422838#2 -103422861 964083525#2 103424641#0 103424641#1 -103422889#2 -103422889#1 -103422889#0 -103422876#1 -103422876#0 -272554973#2 -272554973#1 -272554973#0 -38785911#2 -38785911#1 -38785911#0 103422881#0 103422881#1 42190730 -42190730,4.217583399808663
0,1,80733788#0 -80733788#0 -101789058#4 -101789058#3 -101789058#2 -101789058#1 -101789058#0 943798929#0 943798929#1 943798929#2 101791115#0 -168022243#2 -168022243#1 -168022243#0 -101791149#2 -101791149#1 -101791149#0 -221452293#5 -221452293#4 101791155 -949298418#0 -101791154 -101791162#1 -101791147 101791138#2 101789139#1 101789139#2 101789139#3 101789139#4 101789139#5 101789139#6 101789139#7 101789030 -101789069#6 -101789069#5 -101789069#4 -101789069#3,2.1808755651674314
0,1,80733788#0 -80733788#0 -101789058#4 -101789058#3 -101789058#2 -101789058#1 -101789058#0 943798929#0 943798929#1 943798929#2 101791115#0 -168022243#2 -168022243#1 -168022243#0 -101791149#2 -101791149#1 -101791149#0 -221452293#5 -221452293#4 -221452293#3 -221452293#2 -221452293#1 -221452293#0 101789139#0 101789139#1 101789139#2 101789139#3 101789139#4 101789139#5 101789139#6 101789139#7 101789030 -101789069#6 -101789069#5 -101789069#4 -101789069#3,1.8232204314035152
0,1,80733788#0 -80733788#0 -101789058#4 -101789058#3 -101789058#2 -101789058#1 -101789058#0 943798929#0 943798929#1 943798929#2 101791115#0 -168022243#2 -168022243#1 -168022243#0 -101791149#2 -101791149#1 -101791149#0 -221452293#5 -221452293#4 -221452293#3 -221452293#2 -221452293#1 -221452293#0 101789139#0 101789139#1 101789139#2 101789139#3 -101806617 -101789118#5 -101789118#4 -101789118#3 -101789139#8 101789030 -101789069#6 -101789069#5 -101789069#4 -101789069#3,2.0699326944224734
0,1,80733788#0 -80733788#0 -101789058#4 -101789058#3 101789117#0 -101806596#1 -101806596#0 101806643#1 101806643#2 943798929#1 943798929#2 101791115#0 -168022243#2 -168022243#1 -168022243#0 -101791149#2 -101791149#1 -101791149#0 -221452293#5 -221452293#4 -221452293#3 -221452293#2 -221452293#1 -221452293#0 101789139#0 101789139#1 101789139#2 101789139#3 101789139#4 101789139#5 101789139#6 101789139#7 101789030 -101789069#6 -101789069#5 -101789069#4 -101789069#3,2.1378495029826516
0,43,80733788#0 -80733788#0 -101789058#4 -101789058#3 101789117#0 101789117#1 986733130 101789127#0 101789127#1 698085348#4 698085348#5 197922720#0 197922720#1 813070235 -352043735#0 -103422838#9 -103422838#8 -103422838#7 -103422838#6 -103422838#5 -103422838#4 -103422838#3 -103422838#2 103422895#0 103422895#1 103422895#2 -95974191#0,2.7192064670829934
0,43,80733788#0 -80733788#0 197922721 252857979#0 252857979#1 252857979#2 986733130 101789127#0 101789127#1 698085348#4 698085348#5 197922720#0 197922720#1 813070235 -352043735#0 -103422838#9 -103422838#8 -103422838#7 -103422838#6 -103422838#5 -103422838#4 -103422838#3 -103422838#2 103422895#0 103422895#1 103422895#2 -95974191#0,2.658467326214263
