detid,flow
-1008164510#0,0
-1008164510#1,0
-1008164510#2,0
-1009960152,0
-1087176578#0,0
-1087176578#1,0
-1102940999,0
-1102941002,0
-1102941004,0
-1160860396,0
-1165351178#0,0
-1165351178#1,0
-123654790#0,0
-123654790#1,0
-1338628098,0
-1338885896#0,0
-1338885896#1,0
-1338885896#2,0
-1338885896#3,0
-1338885897,0
-1338885898#0,0
-1338885898#1,0
-1338885898#2,0
-1338885898#3,0
-1338885899,0
-1339656343,0
-1339670605,0
-1339693196,0
-1339833926,0
-1339913720#1,0
-1339919080#0,0
-1339919080#1,0
-1340121846#0,0
-1340121846#1,0
-1350016835#0,0
-1350016835#1,0
-1350016836,0
-1350016837,0
-1351643097,0
-1351657493#0,0
-1351657493#1,0
-1351657493#2,0
-1359538743,0
-1373790083,0
-1373790084,0
-1373830881#0,0
-1373830881#1,0
-1373830881#2,0
-1373830881#3,0
-1373830881#4,0
-1373830881#6,0
-137901143,0
-137901144#0,0
-137901144#1,0
-137901144#2,0
-137901144#3,0
-137901154#0,0
-137901154#1,0
-137901163#0,0
-137901163#1,0
-137901164#0,0
-137901164#1,0
-137901190#0,0
-137901190#1,0
-137901190#2,0
-137901191#0,0
-137901191#1,0
-137901196,0
-137901200,0
-137901204#0,0
-137901204#1,0
-137901204#2,0
-137901204#3,0
-137901204#4,0
-137901204#5,0
-137901204#6,0
-137901205#0,0
-137901205#1,0
-137901205#2,0
-137902318,0
-137902323,0
-137902325#0,0
-137902325#1,0
-137902329#0,0
-137902329#1,0
-137902331,0
-137902332,0
-137902340,0
-137902344#0,0
-137902344#1,0
-137902345#0,0
-137902345#1,0
-137902346#0,0
-137902352#0,0
-137902352#1,0
-138258155,0
-138258160,0
-138258168#0,0
-138258168#1,0
-138258168#2,0
-138258168#3,0
-138258169,0
-138258173#0,0
-138258173#1,0
-138258178#0,0
-138258178#1,0
-138258888,0
-138258889,0
-138258893,0
-138258894,0
-138258897#0,0
-138258897#1,0
-138258898,0
-138258902#0,0
-138258902#1,0
-138258914#0,0
-138260571,0
-138260572#0,0
-138260572#1,0
-138260573,0
-138260586,0
-138260590,0
-138260600#0,0
-138260600#1,0
-138260600#2,0
-138260603#0,0
-138260603#1,0
-138260605#0,0
-138260605#1,0
-138260606,0
-138260627#0,0
-138260627#1,0
-138261771,0
-138261772,0
-138264765#1,0
-138264766#0,0
-138264766#1,0
-13938275#0,0
-13938275#1,0
-14129274#0,0
-14129274#1,0
-14129274#2,0
-14129274#3,0
-14129274#4,0
-14129274#5,0
-14129274#6,0
-14129274#7,0
-14129274#8,0
-14129657#0,0
-14129657#1,0
-148726244#0,0
-148726244#1,0
