travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
1.7833333333333334,0,Human,2,0,0,203,-1.7833333333333334,"-1.6220169870684795,-1.9225196774174036,-1.6432395540678477,-1.6107212072445973"
6.15,1,Human,2,1,1,1217,-6.15,"-5.19181252898508,-5.111694035667066,-5.137615379559555,-5.061691501469802"
2.25,2,Human,0,2,2,65,-2.25,"-2.0698905033261346,-2.0405567554595634,-2.049555267578594,-2.0698318022558198"
2.3833333333333333,3,Human,0,3,3,1507,-2.3833333333333333,"-2.2129559987636194,-2.214496280297576,-2.2793794672426206,-2.367077033837293"
5.783333333333333,4,Human,0,4,4,1754,-5.783333333333333,"-5.488275173843427,-5.500628246001387,-5.56332236647175,-5.615679235987455"
4.333333333333333,5,Human,0,5,5,1751,-4.333333333333333,"-3.3260197577931305,-3.208208911469105,-3.1506641400193622,-3.0983581875725217"
3.15,6,Human,0,6,5,1090,-3.15,"-2.8724874143640116,-2.8749217926117767,-2.9246560353553757,-2.901433474770759"
3.0,7,Human,1,7,6,66,-3.0,"-2.757776313009271,-2.769873985372793,-2.756705447564195,-2.7569977827156373"
5.833333333333333,8,Human,2,8,7,371,-5.833333333333333,"-4.523859133047135,-4.517596750482184,-4.637142550373748,-4.567447767556374"
4.533333333333333,9,Human,0,9,8,546,-4.533333333333333,"-4.238168793305878,-4.221998803856472,-4.991296452142748,-6.071143383920159"
3.65,10,Human,1,10,9,1290,-3.65,"-3.240159396314962,-3.2977014800949265,-3.2846297010291945,-3.351072895501693"
3.566666666666667,11,Human,2,11,3,1242,-3.566666666666667,"-3.0769312488779534,-3.0293241894713248,-3.121307166449013,-3.0942084542960453"
6.466666666666667,12,Human,1,12,10,582,-6.466666666666667,"-5.8458748564025385,-5.850055600099408,-5.810821887466525,-5.960523673913705"
4.2,13,Human,2,13,11,1223,-4.2,"-2.9918615114950806,-3.063320815934726,-3.1892143028557722,-3.0887357811375087"
2.1,14,Human,3,14,10,1298,-2.1,"-1.9434440442843803,-1.9256402829053418,-2.3589828011838283,-1.9576377906900704"
2.466666666666667,15,Human,0,15,3,1214,-2.466666666666667,"-2.349847513981639,-2.3228484655201176,-2.3532020028953275,-2.388547070952211"
