travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
5.65,0,Human,1,0,0,590,-5.65,"-3.9422822961306396,-4.265484387149663,-3.9764013202701722,-4.012661465797066"
6.766666666666667,1,Human,0,1,1,566,-6.766666666666667,"-4.908339829425266,-4.49033839369303,-4.488614377952825,-4.527504266941723"
4.733333333333333,2,Human,0,2,2,574,-4.733333333333333,"-3.9558504259875296,-3.9021684440514868,-3.953881906974452,-3.7865264954073776"
3.2,3,Human,3,3,3,653,-3.2,"-2.356755459563235,-2.4075905927525802,-6.436466152014768,-2.467593952483802"
4.133333333333334,4,Human,0,4,3,1243,-4.133333333333334,"-2.8902443004559637,-2.745903527717783,-2.749428845692345,-2.6774202063834895"
2.6,5,Human,0,5,4,1037,-2.6,"-2.080000898923586,-1.968442129310123,-2.023808035231169,-2.04709273843151"
0.95,6,Human,2,6,5,43,-0.95,"-0.5910393088552917,-0.5433105351571874,-0.6223378929685625,-0.550437964962803"
1.4833333333333334,7,Human,3,7,6,1700,-1.4833333333333334,"-1.7462664354988413,-2.120529768959617,-1.746746397101913,-1.2773584994024243"
1.3,8,Human,2,8,7,1630,-1.3,"-0.8239956803455724,-0.8295440364770819,-0.846575473962083,-0.7578440124790018"
2.966666666666667,9,Human,1,9,8,1688,-2.966666666666667,"-2.0144588156439838,-2.0744944291405383,-2.5744480063557114,-1.9510055281986085"
3.8,10,Human,0,10,2,142,-3.8,"-2.5211332963866484,-2.2557969658830173,-2.2134038773301015,-2.2530724880139084"
3.55,11,Human,3,11,9,1149,-3.55,"-3.0506359491240707,-2.8189896808255344,-2.8530837532997357,-2.946229805615551"
2.05,12,Human,0,12,2,1545,-2.05,"-1.5723114950803934,-1.5212517398608112,-1.5718958483321332,-1.6359851211903047"
5.733333333333333,13,Human,2,13,10,1617,-5.733333333333333,"-3.8614411610576562,-3.9684150031502883,-4.208469005029798,-3.9946465353600047"
3.85,14,Human,0,14,11,383,-3.85,"-2.5996288653742234,-2.4310581599515206,-2.465658591916964,-2.6096806701507047"
4.683333333333334,15,Human,3,15,4,601,-4.683333333333334,"-2.6176120091008475,-2.7404281383259033,-2.7477235546925938,-3.007286789633798"
1.15,16,Human,1,6,12,399,-1.15,"-0.9929757014578344,-0.9901144122429523,-1.265807543975182,-1.197847311729013"
2.6333333333333333,17,Human,0,16,13,350,-2.6333333333333333,"-1.8838413059448498,-1.8832453569331018,-1.746852268380186,-1.8269674591649232"
2.05,18,Human,0,17,3,950,-2.05,"-1.6450908853304338,-1.637580909278833,-1.686069030229157,-1.6203327244171504"
1.95,19,Human,0,18,14,1199,-1.95,"-1.7289058795296381,-1.6912728581713465,-2.2741540676745857,-2.099988000959923"
