travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
8.033333333333333,0,Human,0,0,0,5,-8.033333333333333,"-8.050587192863453,-8.070590215977697,-8.19187702938096,-8.253235539580146"
4.216666666666667,1,Human,1,1,1,5,-4.216666666666667,"-4.2383304931049555,-4.231505396537275,-4.241959085518211,-4.319432447310005"
0.6333333333333333,2,Human,0,2,2,11,-0.6333333333333333,"-0.6371220440263122,-1.310544909108352,-3.4010860355661343,-6.968603352067967"
3.1333333333333333,3,Human,3,0,3,11,-3.1333333333333333,"-3.1463769008314872,-3.194007740835856,-3.166473631226894,-3.143722325480745"
3.1,4,Human,0,3,3,11,-3.1,"-3.099981570597879,-3.1100041610324483,-3.1257105369907086,-3.16233295732692"
5.45,5,Human,1,4,3,12,-5.45,"-5.4878907330694755,-5.429068226044801,-5.444559680029486,-5.457135620376521"
2.55,6,Human,0,4,4,13,-2.55,"-2.549960553676126,-2.608908923052675,-2.549952358149776,-2.6460978615056114"
5.283333333333333,7,Human,1,4,3,15,-5.283333333333333,"-5.30020330379112,-5.289948070742041,-5.335500298446071,-5.335119742722551"
5.433333333333334,8,Human,1,4,3,17,-5.433333333333334,"-5.647821328840291,-5.433816975826215,-5.637056796336433,-5.513203211272746"
2.4833333333333334,9,Human,0,5,2,25,-2.4833333333333334,"-2.4833332511668966,-2.485490140252408,-2.6061428178355577,-2.5457245827517476"
5.116666666666666,10,Human,1,4,3,26,-5.116666666666666,"-5.242137596405568,-5.16584203624376,-5.210972823724254,-5.236456455214559"
5.216666666666667,11,Human,1,4,3,28,-5.216666666666667,"-5.236703827032897,-5.203174601827985,-5.259936637069147,-5.227976455214558"
2.8833333333333333,12,Human,3,0,3,30,-2.8833333333333333,"-2.88326837073151,-2.9917063985250394,-3.005779227656692,-2.8832792202076245"
4.566666666666666,13,Human,0,6,5,31,-4.566666666666666,"-4.56772759895411,-4.676269834413247,-4.713764025560224,-4.8210788576913854"
4.25,14,Human,1,1,1,33,-4.25,"-4.2835060395556726,-4.2530141421753545,-4.26812448582606,-4.264659974414722"
5.0,15,Human,1,4,3,37,-5.0,"-5.077110396405567,-5.004305678006917,-5.064502129669767,-5.0882106807576"
0.85,16,Human,0,7,6,39,-0.85,"-0.8620973324841729,-1.050407967362611,-1.9828099562359145,-1.7689318636021725"
1.7166666666666666,17,Human,0,8,7,55,-1.7166666666666666,"-1.6985988758458297,-1.8473539313493574,-1.7564462968772823,-2.4700871133190496"
1.9166666666666667,18,Human,0,9,8,56,-1.9166666666666667,"-1.9100490127800585,-2.2914863789314124,-1.9407669544709805,-2.02419510611813"
4.116666666666666,19,Human,0,8,9,57,-4.116666666666666,"-4.117588112035884,-4.161405672535118,-4.371394225468446,-4.143202815672102"
4.616666666666666,20,Human,1,4,3,57,-4.616666666666666,"-4.662930130457788,-4.624800686658913,-4.677267662087208,-4.892557877939414"
2.783333333333333,21,Human,0,10,5,58,-2.783333333333333,"-2.782318992288133,-2.9592442633842597,-2.9450662495091633,-2.9023907936104614"
3.2666666666666666,22,Human,1,11,4,60,-3.2666666666666666,"-3.258065432912768,-3.2592781107930247,-3.5063778791678244,-3.269826149276531"
4.1,23,Human,0,7,9,61,-4.1,"-4.104330281129656,-4.111589748450205,-4.106799598200616,-4.241343014274058"
4.2,24,Human,3,12,10,69,-4.2,"-4.474227314977038,-4.439119059398873,-4.816947161091992,-4.199861806017073"
2.8333333333333335,25,Human,1,11,3,72,-2.8333333333333335,"-3.0028407475301133,-2.835362578468986,-3.0853057565718864,-2.9147564857476467"
2.4,26,Human,0,13,11,72,-2.4,"-2.400262321128107,-2.477549441662914,-2.4474306522655143,-2.4677665635893526"
4.4,27,Human,1,11,3,73,-4.4,"-4.440382018253868,-4.402780760267853,-4.471392990313477,-4.462856738583123"
4.333333333333333,28,Human,1,11,3,75,-4.333333333333333,"-4.385061454603095,-4.321389731523601,-4.375211813707168,-4.378965880845585"
3.933333333333333,29,Human,2,11,2,77,-3.933333333333333,"-4.226658430525559,-4.2038518267332865,-3.921827350856885,-4.38183821539559"
4.466666666666667,30,Human,1,4,3,77,-4.466666666666667,"-4.5106633277170305,-4.452634235689304,-4.510217910942343,-4.487837347424266"
4.433333333333334,31,Human,1,11,3,79,-4.433333333333334,"-4.498762787936428,-4.393149072154538,-4.497874571225179,-4.46481758989557"
1.4166666666666667,32,Human,1,0,12,80,-1.4166666666666667,"-1.5797883387889395,-1.4167532237779479,-1.7353931820616333,-1.713404386543426"
4.3,33,Human,1,4,3,81,-4.3,"-4.507783327717031,-4.374028608511278,-4.589134328753875,-4.423163350946998"
3.4166666666666665,34,Human,2,13,4,82,-3.4166666666666665,"-3.4715486004336937,-3.4475044227626253,-3.4112770040769647,-3.5103755025984476"
2.3,35,Human,0,14,3,82,-2.3,"-2.299858330887967,-2.3473988038547606,-2.3495078940013325,-2.5031429159136662"
4.366666666666666,36,Human,1,11,3,82,-4.366666666666666,"-4.423963570188336,-4.390178665360718,-4.4308765473648055,-4.62337758989557"
5.1,37,Human,1,0,2,82,-5.1,"-5.355428967338973,-5.113095028770008,-5.265024143952439,-5.154882925523734"
4.283333333333333,38,Human,1,4,3,83,-4.283333333333333,"-4.405595826312955,-4.269105209821146,-4.345599570402481,-4.403163350946999"
4.35,39,Human,1,4,3,86,-4.35,"-4.408395826312955,-4.326146312169914,-4.43168457760901,-4.401696684280333"
1.95,40,Human,3,0,3,88,-1.95,"-2.2265827327770618,-2.2557912476953743,-2.2777800432135815,-1.9506420516130332"
4.333333333333333,41,Human,1,11,3,89,-4.333333333333333,"-4.579403570188335,-4.321723527774846,-4.374876547364806,-4.567164256562236"
4.283333333333333,42,Human,1,11,3,91,-4.283333333333333,"-4.353454462735419,-4.290674769219769,-4.374876547364806,-4.56689758989557"
6.533333333333333,43,Human,2,11,2,92,-6.533333333333333,"-6.536050706461529,-6.681178620620778,-6.530762309496605,-6.535405924015224"
4.15,44,Human,1,4,3,93,-4.15,"-4.175649994383697,-4.106753417329786,-4.1792594630031,-4.314096684280333"
4.266666666666667,45,Human,1,11,3,94,-4.266666666666667,"-4.271454462735419,-4.26242377459963,-4.33020988069814,-4.296221987369462"
5.75,46,Human,0,11,13,96,-5.75,"-5.770317870281558,-5.841267263825998,-5.844345886422465,-5.802449563407284"
1.15,47,Human,0,15,1,101,-1.15,"-1.1411571655553177,-1.2948750559031437,-2.5921691175285866,-1.3116600672562104"
2.7,48,Human,2,4,4,101,-2.7,"-2.719897159398646,-2.9660071384421407,-2.7049447870914616,-3.2628782892044894"
5.283333333333333,49,Human,1,4,3,105,-5.283333333333333,"-5.350460429887721,-5.29598338439866,-5.349762758179405,-5.3297828842717125"
0.95,50,Human,0,16,5,106,-0.95,"-0.9500752843930846,-1.694644092338159,-1.0860939048045422,-1.2390377173187488"
5.25,51,Human,1,4,3,109,-5.25,"-5.279798437781054,-5.24019932040176,-5.265498593103523,-5.256395952403108"
1.6833333333333333,52,Human,0,0,12,112,-1.6833333333333333,"-1.6780999663116585,-1.7267593510435133,-1.7353931820616333,-1.713404386543426"
4.983333333333333,53,Human,3,17,5,119,-4.983333333333333,"-4.956680474331976,-4.959626381095183,-4.9574170166321645,-4.9614985754919205"
4.683333333333334,54,Human,0,7,10,125,-4.683333333333334,"-4.6836580452442345,-4.68638136726905,-4.719276589711167,-4.724315067976217"
4.383333333333334,55,Human,0,18,2,127,-4.383333333333334,"-4.3742440991470355,-4.504246802977107,-4.464561257264779,-4.409586665216065"
3.75,56,Human,3,7,4,128,-3.75,"-3.7633405522278194,-3.767200924194638,-3.7688123576320303,-3.755151064795891"
4.383333333333334,57,Human,3,1,1,129,-4.383333333333334,"-4.959402869150631,-4.952031510755578,-4.976300958328063,-4.458706188467692"
4.133333333333334,58,Human,0,7,10,131,-4.133333333333334,"-4.122617630431436,-4.4396322480370545,-4.286963004757031,-4.387580501636938"
3.966666666666667,59,Human,2,1,1,132,-3.966666666666667,"-4.485853040493838,-4.389265095108391,-3.975955406539164,-4.435516803985685"
4.933333333333334,60,Human,1,4,3,133,-4.933333333333334,"-4.9474266621736245,-4.910506732149264,-4.962475463003099,-4.959634450270651"
5.233333333333333,61,Human,2,1,1,134,-5.233333333333333,"-5.192117826582986,-5.1844363048452085,-5.1902491748799555,-5.184747551189872"
0.6666666666666666,62,Human,0,16,5,135,-0.6666666666666666,"-0.6629729609664978,-1.694644092338159,-1.0860939048045422,-1.2390377173187488"
4.333333333333333,63,Human,0,7,10,136,-4.333333333333333,"-4.330972809381619,-4.512010914703721,-4.639519768799029,-4.598667067976218"
5.033333333333333,64,Human,3,1,1,136,-5.033333333333333,"-4.944837204192405,-4.921395248924464,-4.9413636349837855,-4.9278508644976045"
4.3,65,Human,2,7,9,139,-4.3,"-4.3297429167163,-4.397161029408131,-4.308509934785479,-4.327811776752581"
2.8333333333333335,66,Human,0,19,12,140,-2.8333333333333335,"-2.833963973715922,-2.966606744180754,-2.844530901580381,-2.9429828946409375"
2.85,67,Human,1,20,3,141,-2.85,"-2.855707051773419,-2.843560533076027,-3.248986181081504,-2.9269418206447444"
3.5833333333333335,68,Human,1,7,4,141,-3.5833333333333335,"-3.5950482117656577,-3.592172035477413,-3.606115379275857,-3.595264718323589"
4.333333333333333,69,Human,0,8,9,142,-4.333333333333333,"-4.353832120385073,-4.60587545417015,-4.900009448502224,-4.585646332692905"
0.7666666666666667,70,Human,0,13,14,149,-0.7666666666666667,"-0.7534218474835535,-1.550674985616997,-1.550975105665016,-1.713744489876584"
4.25,71,Human,0,8,9,149,-4.25,"-4.231179308682689,-4.245077651046021,-4.612276115168891,-4.264057915866132"
2.466666666666667,72,Human,1,8,15,150,-2.466666666666667,"-2.5899266030026085,-2.490996082192954,-2.6630878528517243,-2.5038493118527048"
5.966666666666667,73,Human,0,4,16,152,-5.966666666666667,"-5.9752762228823935,-5.996617075272939,-6.102231067823905,-6.021179808431139"
4.516666666666667,74,Human,1,4,3,154,-4.516666666666667,"-4.5961291596462885,-4.53623767451598,-4.6273393037358135,-4.760850908547892"
4.933333333333334,75,Human,2,13,4,154,-4.933333333333334,"-4.9291355109305215,-4.928210442313409,-4.922488913681489,-4.947800305539429"
4.55,76,Human,1,4,3,155,-4.55,"-4.572662492979622,-4.525246127182327,-4.534639229655317,-4.541910353176521"
3.933333333333333,77,Human,2,21,17,158,-3.933333333333333,"-4.061504344229726,-4.226518622828812,-3.9480025701013024,-4.050687730664642"
4.05,78,Human,0,22,9,160,-4.05,"-4.050599487533219,-4.099983634614832,-4.062419442559716,-4.146301804463644"
2.6166666666666667,79,Human,0,4,18,160,-2.6166666666666667,"-2.5911146792089315,-4.891784827263223,-3.1181637241457145,-2.6440683974782795"
5.983333333333333,80,Human,1,11,3,164,-5.983333333333333,"-6.058514856150668,-5.957088199361003,-6.047899656980143,-6.083646071916456"
4.283333333333333,81,Human,1,11,3,166,-4.283333333333333,"-4.439480289015809,-4.357166717600027,-4.419783887133959,-4.3989904575331655"
1.95,82,Human,0,23,2,167,-1.95,"-1.941640030314225,-1.948170077933791,-1.9624140284306668,-1.963494795721601"
4.416666666666667,83,Human,1,11,3,169,-4.416666666666667,"-5.713822430679315,-5.197671502097402,-5.670403407133959,-5.7184368581545595"
5.683333333333334,84,Human,1,11,3,171,-5.683333333333334,"-5.26697404901581,-4.791630139908079,-5.263083458917448,-5.271036320632152"
4.3,85,Human,1,11,3,172,-4.3,"-5.062292380486034,-4.347249824404385,-5.032654349892588,-4.9730632993598665"
2.8333333333333335,86,Human,1,11,4,176,-2.8333333333333335,"-2.8365568627448967,-2.833952920690357,-3.0229723489597804,-2.8547090544019786"
5.6,87,Human,1,11,3,178,-5.6,"-5.436250763682475,-4.898976885181969,-5.482425794169211,-5.453471010128375"
4.233333333333333,88,Human,1,11,3,179,-4.233333333333333,"-5.41329046501581,-4.892030792263477,-5.343006160373835,-5.349795521804108"
4.166666666666667,89,Human,1,4,3,181,-4.166666666666667,"-4.3894624929796215,-4.1635190094613925,-4.444351244275676,-4.301963350946999"
5.866666666666666,90,Human,3,11,3,181,-5.866666666666666,"-5.3923295154793145,-5.2986015550404915,-5.298409552373835,-5.059539417111339"
4.966666666666667,91,Human,1,0,2,181,-4.966666666666667,"-5.221067231039864,-4.976765981113333,-5.044858846607214,-5.297711099001857"
4.066666666666666,92,Human,1,4,3,183,-4.066666666666666,"-4.094129159646289,-4.0751278345437125,-4.105151244275676,-4.096200428171647"
5.666666666666667,93,Human,1,4,3,186,-5.666666666666667,"-5.603181199783076,-5.055653921429811,-5.6183435624460705,-5.6183581937680325"
5.616666666666666,94,Human,1,4,3,188,-5.616666666666666,"-5.685208530457787,-5.569187084960715,-5.7364914630031,-5.8254005446060795"
2.0833333333333335,95,Human,0,24,19,189,-2.0833333333333335,"-2.0912564557505235,-2.2124365766464975,-2.187372674051622,-3.1657627485839543"
5.583333333333333,96,Human,1,4,3,189,-5.583333333333333,"-5.553297525626317,-5.530775696100989,-5.594869485057588,-5.597406855214558"
5.383333333333334,97,Human,1,4,3,191,-5.383333333333334,"-5.518991869699563,-5.475188347228292,-5.520158261112736,-5.523154268547891"
5.4,98,Human,1,4,3,192,-5.4,"-5.482381437124454,-5.430444237636459,-5.5945821296697655,-5.501322019337317"
5.9,99,Human,0,1,1,194,-5.9,"-5.882332313323312,-5.884515757927247,-5.8833008635025745,-5.884480720152623"
5.366666666666666,100,Human,1,11,3,195,-5.366666666666666,"-5.429385721269761,-5.332526593359217,-5.367728990313477,-5.4027358661545595"
3.466666666666667,101,Human,0,25,10,197,-3.466666666666667,"-3.4548684049151404,-3.529394449726839,-3.550908205238149,-3.8828947432782814"
5.4,102,Human,1,4,3,199,-5.4,"-5.744637328840292,-5.415761190512115,-5.720496796336433,-5.457859211272747"
2.933333333333333,103,Human,3,0,3,201,-2.933333333333333,"-2.931885408921728,-3.006276342711487,-2.9775120390336167,-2.9319020390721766"
1.5833333333333333,104,Human,0,0,12,203,-1.5833333333333333,"-1.5788417024137573,-1.60587401771018,-1.7353931820616333,-1.713404386543426"
5.233333333333333,105,Human,1,4,3,204,-5.233333333333333,"-5.401436661050363,-5.25488718442361,-5.3146374370691465,-5.385011211272747"
8.183333333333334,106,Human,2,17,3,204,-8.183333333333334,"-8.417577555931942,-8.273030689769596,-8.20388825829869,-8.233661411682283"
5.25,107,Human,1,4,3,212,-5.25,"-5.282023327717032,-5.2300427461701435,-5.318547662087208,-5.49234454460608"
4.516666666666667,108,Human,0,4,20,213,-4.516666666666667,"-4.473468302159188,-4.534936989416066,-4.659968745761512,-4.59566960372889"
6.033333333333333,109,Human,0,1,10,220,-6.033333333333333,"-6.02510747738299,-6.02477064385877,-6.025030178507535,-6.025543784991477"
4.3,110,Human,0,4,20,221,-4.3,"-4.33015699663766,-4.4182703227493985,-4.442368745761512,-4.438509016316445"
3.4166666666666665,111,Human,1,26,3,221,-3.4166666666666665,"-3.5516172397107946,-3.3903041039842057,-3.469733533327358,-3.4296925442625668"
4.55,112,Human,0,7,9,223,-4.55,"-4.573088531823178,-4.654373407116871,-4.598230716922534,-4.631276880940726"
3.783333333333333,113,Human,3,7,4,225,-3.783333333333333,"-3.779423358169737,-3.770377621846825,-3.7933716666889565,-3.7680705903540366"
5.066666666666666,114,Human,1,4,3,226,-5.066666666666666,"-5.345916661050364,-5.051086331793511,-5.488390129669766,-5.40708054460608"
5.583333333333333,115,Human,0,7,10,226,-5.583333333333333,"-5.458500679885121,-5.612251408387648,-5.601052806614083,-5.5962591983117225"
4.416666666666667,116,Human,0,7,9,228,-4.416666666666667,"-4.4168805447139,-4.483918452450205,-4.431366139079429,-4.489568934274058"
7.766666666666667,117,Human,2,17,3,229,-7.766666666666667,"-8.035634983943659,-8.16788402310293,-7.798702360171175,-7.838675157836711"
3.8666666666666667,118,Human,3,7,4,230,-3.8666666666666667,"-3.8552394142111477,-3.8385723565999585,-3.887891581035201,-3.8439053941037193"
5.55,119,Human,1,7,10,231,-5.55,"-5.402948421691097,-5.406178827262682,-5.383748447811645,-5.373437502861513"
3.683333333333333,120,Human,1,7,4,233,-3.683333333333333,"-3.80371014152539,-3.7532120904035957,-3.7976910536210164,-3.8004944328806705"
4.916666666666667,121,Human,1,4,3,233,-4.916666666666667,"-5.763606610457787,-5.307540024339239,-5.878404776321983,-5.815713628547892"
5.483333333333333,122,Human,0,7,10,234,-5.483333333333333,"-4.781065255519647,-5.147839965062645,-5.149015649132118,-5.167254538776393"
4.2,123,Human,2,0,21,235,-4.2,"-4.198043107369686,-4.235430636024861,-4.189424032401689,-4.4275195388341135"
4.3,124,Human,0,7,10,236,-4.3,"-5.151400643040052,-5.3838806137799775,-5.37552530225785,-5.3701334304807835"
4.283333333333333,125,Human,0,7,9,238,-4.283333333333333,"-4.2424844848331675,-4.318127820093498,-4.2664331781534175,-4.346314107607392"
2.3333333333333335,126,Human,0,8,21,238,-2.3333333333333335,"-2.3162565550536396,-2.3160286312480363,-2.3689917978699047,-2.3349944297373373"
5.6,127,Human,0,27,2,240,-5.6,"-5.226342116307313,-5.788803195740478,-5.8396229911421464,-5.70990165501454"
5.383333333333334,128,Human,1,16,10,245,-5.383333333333334,"-5.4495584674175355,-5.374748359168261,-5.9441297757600235,-5.465164327570315"
3.8333333333333335,129,Human,0,4,20,245,-3.8333333333333335,"-3.879381752114673,-4.81165625819952,-4.8633173315972495,-4.607907637109192"
3.6333333333333333,130,Human,2,17,22,245,-3.6333333333333333,"-3.6445022606894844,-3.644235815900938,-3.638549271495654,-3.645987759724582"
5.333333333333333,131,Human,1,16,10,246,-5.333333333333333,"-5.361576577270045,-5.336046309462814,-5.377569775760024,-5.348263121645002"
4.516666666666667,132,Human,1,11,3,248,-4.516666666666667,"-4.787163570188335,-4.495384362911802,-4.54380988069814,-4.77054740524979"
4.166666666666667,133,Human,3,16,9,248,-4.166666666666667,"-4.1527897238342435,-4.172871048122634,-4.126329126908951,-4.105020265896423"
4.383333333333334,134,Human,1,11,3,249,-4.383333333333334,"-4.364550551587202,-4.161490159474326,-4.3588332738006255,-4.3723922288212265"
6.083333333333333,135,Human,1,4,3,258,-6.083333333333333,"-6.260651729738899,-6.020394226906505,-6.042032796336434,-6.226070835684865"
4.516666666666667,136,Human,1,11,3,260,-4.516666666666667,"-5.515493484920535,-4.805952418471022,-5.470559725584115,-5.472543524199832"
3.433333333333333,137,Human,0,28,9,261,-3.433333333333333,"-3.436070235108947,-3.4879872027798036,-3.45181516683635,-3.6232976510090906"
1.8666666666666667,138,Human,1,0,23,262,-1.8666666666666667,"-1.8409664866874407,-1.820854334977438,-1.8682556390625409,-1.9343259589160753"
1.4333333333333333,139,Human,0,29,3,264,-1.4333333333333333,"-1.4324086355936958,-1.5285910764593815,-1.4584811946837775,-1.4952748702072622"
3.4,140,Human,3,4,24,265,-3.4,"-3.7327921797877366,-3.6875055963545083,-3.508375250680524,-3.164632723437546"
4.416666666666667,141,Human,1,11,3,267,-4.416666666666667,"-4.8451877960687515,-4.469818941058537,-5.014407904558513,-4.84561758989557"
4.216666666666667,142,Human,1,4,3,267,-4.216666666666667,"-5.442835837124454,-4.258357091873338,-5.432726129669767,-5.32112551312206"
1.9166666666666667,143,Human,0,30,25,268,-1.9166666666666667,"-1.8788155643075486,-1.9232349412047038,-1.890733861291097,-1.8887494120470363"
4.516666666666667,144,Human,3,4,3,269,-4.516666666666667,"-5.380941495067057,-5.365469245129965,-5.473118503735814,-4.5507684069673955"
5.55,145,Human,1,11,3,269,-5.55,"-5.485100319370119,-5.2964785676193955,-5.664199291040501,-5.463501987493708"
4.516666666666667,146,Human,0,11,26,271,-4.516666666666667,"-4.456482866756146,-4.646598539611231,-4.641816530610868,-4.6686588534447235"
5.583333333333333,147,Human,1,11,3,272,-5.583333333333333,"-5.589355854603095,-5.572789003626292,-5.774343673800625,-5.624310617190314"
7.0,148,Human,0,4,16,280,-7.0,"-6.989613866865385,-7.0669732339753315,-7.019814205957239,-7.055193411606659"
4.483333333333333,149,Human,2,1,1,281,-4.483333333333333,"-4.471523076417852,-4.4669216379013825,-4.467403902320742,-4.4671360129666455"
4.1,150,Human,1,11,3,283,-4.1,"-4.294387796068752,-4.069370873226902,-4.571741237891845,-4.33445140524979"
5.366666666666666,151,Human,1,11,3,285,-5.366666666666666,"-5.250545206349143,-5.1213320062128425,-5.257494125584116,-5.229136020923647"
2.5833333333333335,152,Human,0,16,12,286,-2.5833333333333335,"-2.642588727056956,-2.832246559098802,-2.7698812218912043,-3.10177321958301"
1.9833333333333334,153,Human,1,16,27,288,-1.9833333333333334,"-2.2143284736212703,-1.9572348924866485,-2.1041461854720294,-2.334011182586786"
4.216666666666667,154,Human,0,11,28,289,-4.216666666666667,"-4.26625008018419,-4.706105151463033,-4.884192049427403,-4.584501145022444"
4.766666666666667,155,Human,3,16,9,289,-4.766666666666667,"-4.793465927980673,-4.93257240413182,-4.794564923795906,-4.779071188588256"
4.9,156,Human,0,8,9,292,-4.9,"-4.875042291736789,-4.9271021208368175,-5.267660892135113,-4.962872999359572"
4.45,157,Human,1,4,29,292,-4.45,"-5.566205015160316,-4.791728051077527,-5.550791202958249,-5.5444628762256585"
0.9,158,Human,0,31,2,293,-0.9,"-0.900251596630522,-1.4011332970913348,-1.7062506211988038,-1.9857952828359569"
5.3,159,Human,1,4,3,293,-5.3,"-5.5372773288402914,-5.339241776358204,-5.624278129669766,-5.51005654460608"
5.416666666666667,160,Human,1,4,3,295,-5.416666666666667,"-5.547447995506959,-5.381844808880706,-5.460387662087208,-5.525699211272746"
5.283333333333333,161,Human,1,4,3,296,-5.283333333333333,"-5.520738662173625,-5.325991476726928,-5.603814129669767,-5.385584775214557"
5.233333333333333,162,Human,1,4,3,298,-5.233333333333333,"-5.343597328840291,-5.240289035872848,-5.5280434630031,-5.278613484483187"
5.1,163,Human,1,11,3,299,-5.1,"-4.704146856150668,-4.50232224814652,-4.764779458917448,-4.722659405249789"
5.033333333333333,164,Human,1,11,3,301,-5.033333333333333,"-4.7932449515872015,-4.447540977850273,-4.737004525584115,-4.7460491126932"
4.7,165,Human,3,16,30,305,-4.7,"-4.738175350734454,-4.717819149957784,-4.7433783017596856,-4.689162206669776"
4.75,166,Human,0,17,5,305,-4.75,"-4.747284692142822,-4.749043040277652,-4.747118257965355,-4.74709375699713"
4.45,167,Human,3,32,9,306,-4.45,"-4.487192563154564,-4.484594596400289,-4.4723888595899135,-4.4613181356066836"
1.5666666666666667,168,Human,0,33,9,307,-1.5666666666666667,"-1.5776498381748838,-1.6164919796512698,-1.854815805203226,-1.7231344573708185"
4.55,169,Human,3,4,31,308,-4.55,"-4.704495348317229,-4.72264416212743,-5.083572269049942,-4.565417129330861"
2.5833333333333335,170,Human,0,0,3,315,-2.5833333333333335,"-2.5838143153064976,-2.621299664822966,-2.638890701237532,-2.5985437987240454"
2.6166666666666667,171,Human,0,0,3,317,-2.6166666666666667,"-2.615297843481697,-2.647966331489633,-2.672224034570865,-2.6981284073760503"
4.9,172,Human,1,4,3,320,-4.9,"-5.007569994383697,-4.881845796077834,-5.045614328753874,-4.985917347424267"
2.433333333333333,173,Human,0,0,3,320,-2.433333333333333,"-2.4285953176021975,-2.5083730651917064,-2.535112560990026,-2.4406078562630036"
2.816666666666667,174,Human,2,8,32,323,-2.816666666666667,"-2.856559639963113,-2.8313365351852218,-2.816351735998494,-2.8880731355465152"
7.683333333333334,175,Human,1,4,33,323,-7.683333333333334,"-7.713405370036879,-7.683349644350196,-7.695328588972404,-7.7062955360303125"
