travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
8.033333333333333,0,Human,0,0,0,5,-8.033333333333333,"-8.049366328655374,-8.07356317314185,-8.18427702938096,-8.250995539580146"
4.25,1,Human,1,1,1,5,-4.25,"-4.321755559771622,-4.249821937262713,-4.251383154474343,-4.339901253421337"
0.6333333333333333,2,Human,0,2,2,11,-0.6333333333333333,"-0.6333334028931982,-1.310544909108352,-3.4010860355661343,-6.968603352067967"
3.1333333333333333,3,Human,3,0,3,11,-3.1333333333333333,"-3.1427474006024787,-3.1997986741691897,-3.162894964560227,-3.1333333821427605"
3.0833333333333335,4,Human,0,3,3,11,-3.0833333333333335,"-3.0843181267292756,-3.1117746792191143,-3.1137469179050523,-3.1792129573269197"
5.45,5,Human,1,4,3,12,-5.45,"-5.469811105532409,-5.437362677130069,-5.476048349042819,-5.458835118150308"
2.533333333333333,6,Human,2,4,4,13,-2.533333333333333,"-2.5499499008427593,-2.608908923052675,-2.5338911004942886,-2.6460978615056114"
5.3,7,Human,1,4,3,15,-5.3,"-5.3294510321277215,-5.288997628707282,-5.317820554446071,-5.33539504053652"
5.433333333333334,8,Human,1,4,3,17,-5.433333333333334,"-5.656669328840292,-5.4300801675854835,-5.642198129669767,-5.44959830235153"
2.4833333333333334,9,Human,0,5,2,25,-2.4833333333333334,"-2.4833333333298246,-2.485320677379291,-2.605374817835558,-2.5413512494184145"
5.116666666666666,10,Human,1,4,3,26,-5.116666666666666,"-5.247560275032898,-5.12869364158376,-5.22186669039092,-5.242523798838313"
5.216666666666667,11,Human,1,4,3,28,-5.216666666666667,"-5.217458662173625,-5.199478814333007,-5.217579287724253,-5.233509255214558"
2.8666666666666667,12,Human,3,0,3,30,-2.8666666666666667,"-2.8829376143119334,-2.9917063985250394,-3.005779227656692,-2.867651457799535"
4.566666666666666,13,Human,0,6,5,31,-4.566666666666666,"-4.5666726567552836,-4.678936501079914,-4.719364025560223,-4.821612191024719"
4.25,14,Human,1,1,1,33,-4.25,"-4.2648823301657375,-4.248890980823572,-4.260548598399116,-4.260904243720099"
4.983333333333333,15,Human,1,4,3,37,-4.983333333333333,"-5.16586332771703,-5.00409962266891,-5.087488796336434,-5.046799369018197"
0.85,16,Human,0,7,6,39,-0.85,"-0.850000123346004,-1.050407967362611,-1.9828099562359145,-1.7689318636021725"
1.7,17,Human,0,8,7,55,-1.7,"-1.6998828188663582,-1.8480205980160243,-1.7557796302106157,-2.4700871133190496"
1.9,18,Human,0,9,8,56,-1.9,"-1.9001315571326298,-2.2914863789314124,-1.9407669544709805,-2.0308617727847964"
4.116666666666666,19,Human,0,8,9,57,-4.116666666666666,"-4.116898947372502,-4.169875490668896,-4.378060892135113,-4.1584691623387675"
4.633333333333334,20,Human,1,4,3,57,-4.633333333333334,"-4.679773328840292,-4.630474677128845,-4.650592637069146,-4.704189361881224"
2.783333333333333,21,Human,0,10,5,58,-2.783333333333333,"-2.7767892807601617,-2.9592442633842597,-2.94573291617583,-2.9023907936104614"
3.25,22,Human,1,11,4,60,-3.25,"-3.2599686122530396,-3.2523185806507993,-3.529711212501158,-3.2699382210794106"
4.1,23,Human,0,7,9,61,-4.1,"-4.102145783865663,-4.120163743116872,-4.10867141471758,-4.246677414274059"
4.183333333333334,24,Human,1,12,10,69,-4.183333333333334,"-4.500514915620315,-4.185087370289522,-4.549517284698323,-4.447940397169463"
2.8333333333333335,25,Human,1,11,3,72,-2.8333333333333335,"-3.0028407475301133,-2.8328260077293606,-3.0853057565718864,-2.9147564857476467"
2.4166666666666665,26,Human,0,13,11,72,-2.4166666666666665,"-2.408734089593435,-2.4942161083295806,-2.451825318932181,-2.4677665635893526"
4.4,27,Human,1,11,3,73,-4.4,"-4.479044418253868,-4.394539892924795,-4.4717983236468095,-4.640728738583123"
4.333333333333333,28,Human,1,11,3,75,-4.333333333333333,"-4.3767958546030945,-4.3209459085322415,-4.3833429710405,-4.367626397456981"
3.9166666666666665,29,Human,2,11,2,77,-3.9166666666666665,"-4.424393411087114,-4.382199569109303,-3.920888379233505,-4.384131548728924"
4.433333333333334,30,Human,1,4,3,77,-4.433333333333334,"-4.533572263072234,-4.439932686915392,-4.497951244275676,-4.507890680757599"
4.45,31,Human,1,11,3,79,-4.45,"-4.691821522817335,-4.454692044427691,-4.499376990313476,-4.47130815415456"
1.4166666666666667,32,Human,1,0,12,80,-1.4166666666666667,"-1.5824550054556061,-1.4166666717899745,-1.7353931820616333,-1.713404386543426"
4.4,33,Human,1,4,3,81,-4.4,"-4.451862492979622,-4.388260467964269,-4.4214994630031,-4.417563350946999"
3.4,34,Human,2,13,4,82,-3.4,"-3.4694152671003606,-3.4475044227626253,-3.4001796980995977,-3.5103755025984476"
2.3,35,Human,0,14,3,82,-2.3,"-2.3053665582899963,-2.328448233188094,-2.332930220034999,-2.5031429159136662"
4.366666666666666,36,Human,1,11,3,82,-4.366666666666666,"-4.453944189484002,-4.379247924844672,-4.428743214031472,-4.427804256562236"
5.133333333333334,37,Human,1,0,2,82,-5.133333333333334,"-5.331465961198847,-5.111328388557524,-5.260357477285773,-5.203057497868153"
4.25,38,Human,1,4,3,83,-4.25,"-4.314076661050365,-4.265025454097305,-4.398467662087208,-4.309357347424267"
4.35,39,Human,1,4,3,86,-4.35,"-4.395595826312955,-4.339312368818741,-4.455951244275676,-4.455963350946998"
1.9333333333333333,40,Human,3,0,3,88,-1.9333333333333333,"-2.2293827327770614,-2.2557912476953743,-2.2777800432135815,-1.9420780768670995"
4.333333333333333,41,Human,1,11,3,89,-4.333333333333333,"-4.587563570188335,-4.330929419910246,-4.384076547364806,-4.3579553207027955"
4.283333333333333,42,Human,1,11,3,91,-4.283333333333333,"-4.353721129402086,-4.28886993395109,-4.37980988069814,-4.460621987369462"
6.516666666666667,43,Human,0,11,2,92,-6.516666666666667,"-6.532170356812059,-6.606490620620777,-6.53753410378167,-6.546917601139838"
4.116666666666666,44,Human,1,4,3,93,-4.116666666666666,"-4.334529159646289,-4.123351269414407,-4.242617910942343,-4.144744014090933"
4.266666666666667,45,Human,1,11,3,94,-4.266666666666667,"-4.2934544627354185,-4.270273198210666,-4.34820988069814,-4.459421987369462"
5.75,46,Human,3,11,13,96,-5.75,"-5.811268334739276,-5.847262872913998,-5.811411494614466,-5.750165054069983"
1.15,47,Human,0,15,1,101,-1.15,"-1.1498826080876023,-1.2948750559031437,-2.5921691175285866,-1.3116600672562104"
2.683333333333333,48,Human,2,4,4,101,-2.683333333333333,"-2.699805689069703,-2.964300471775474,-2.6912508661767887,-3.2688782892044896"
5.316666666666666,49,Human,1,4,3,105,-5.316666666666666,"-5.341288794687721,-5.297496324576429,-5.308343703724255,-5.314507455148707"
0.9666666666666667,50,Human,0,16,5,106,-0.9666666666666667,"-0.9661946096206586,-1.694644092338159,-1.0860939048045422,-1.2390377173187488"
5.216666666666667,51,Human,1,4,3,109,-5.216666666666667,"-5.2630322007677215,-5.2313814200340225,-5.287191570596857,-5.287949627530574"
1.6833333333333333,52,Human,0,0,12,112,-1.6833333333333333,"-1.6832077791472315,-1.7288926843768466,-1.7353931820616333,-1.713404386543426"
4.966666666666667,53,Human,1,17,5,119,-4.966666666666667,"-4.9598845056779375,-4.957804057213271,-4.961131357017227,-4.959888346040389"
4.533333333333333,54,Human,0,7,10,125,-4.533333333333333,"-4.581101891186378,-4.8424485854103825,-4.817457017415148,-4.710981734642884"
4.35,55,Human,0,18,2,127,-4.35,"-4.375665864935978,-4.549638653731328,-4.462320190598112,-4.409586665216065"
3.7666666666666666,56,Human,3,7,4,128,-3.7666666666666666,"-3.7663067205569636,-3.7671925682632494,-3.7731896529792834,-3.764276821111068"
5.266666666666667,57,Human,3,1,1,129,-5.266666666666667,"-5.198097062005626,-5.189070155259002,-5.18919816480985,-5.200375289476325"
4.133333333333334,58,Human,0,7,10,131,-4.133333333333334,"-4.121695083568932,-4.239130914703721,-4.227570403805625,-4.387153834970272"
4.0,59,Human,2,1,1,132,-4.0,"-4.544076369714527,-4.622397164289145,-4.210523298454361,-4.608407467510839"
4.933333333333334,60,Human,1,4,3,133,-4.933333333333334,"-5.002343995506958,-4.919775167733968,-5.0123954630031,-4.950692828547891"
5.25,61,Human,3,1,1,134,-5.25,"-5.212416724940303,-5.241419703442952,-5.2188640253176235,-5.216986254287738"
0.65,62,Human,0,16,5,135,-0.65,"-0.6501856182665463,-1.694644092338159,-1.0860939048045422,-1.2390377173187488"
4.5,63,Human,0,7,10,136,-4.5,"-4.443790981034876,-4.486806598429644,-4.604536365102268,-4.5827684013095515"
3.95,64,Human,2,1,1,136,-3.95,"-4.7729529105365485,-4.77355656135113,-4.191722411823186,-4.802603812882844"
4.316666666666666,65,Human,2,7,9,139,-4.316666666666666,"-4.337195236916354,-4.3397414990268315,-4.315656895595006,-4.4084071209407245"
2.8333333333333335,66,Human,0,19,12,140,-2.8333333333333335,"-2.8338784621015156,-2.9620734108474203,-2.8430454189137144,-2.9511162279742713"
2.8333333333333335,67,Human,0,20,3,141,-2.8333333333333335,"-2.848240222866949,-2.861691901759557,-3.2416528477481705,-2.9602751539780776"
3.6,68,Human,1,7,4,141,-3.6,"-3.603767619620565,-3.601007011788316,-3.6111981584519977,-3.6032248218523932"
4.366666666666666,69,Human,0,8,9,142,-4.366666666666666,"-4.362579472779672,-4.596808787503483,-4.642009448502224,-4.587352999359572"
0.75,70,Human,0,13,14,149,-0.75,"-0.7500000946247237,-1.550674985616997,-1.550975105665016,-1.713744489876584"
4.233333333333333,71,Human,0,8,9,149,-4.233333333333333,"-4.234620618563774,-4.252544317712687,-4.26401181062778,-4.556979666026239"
2.5166666666666666,72,Human,1,8,15,150,-2.5166666666666666,"-2.5953305488782097,-2.4972004466210245,-2.6697545195183907,-2.5378338868573613"
6.0,73,Human,0,4,16,152,-6.0,"-6.000032018173074,-6.003987737229204,-6.0966265110239055,-6.024278651963087"
4.55,74,Human,1,4,3,154,-4.55,"-4.625089994383697,-4.545415740937864,-4.633280796336433,-4.609651211272746"
4.916666666666667,75,Human,2,13,4,154,-4.916666666666667,"-4.941638027483107,-4.934765630666267,-4.918226769336139,-4.938931361547279"
4.483333333333333,76,Human,1,4,3,155,-4.483333333333333,"-4.564254930457787,-4.515526405616681,-4.559750571549484,-4.553204244226551"
3.933333333333333,77,Human,2,21,17,158,-3.933333333333333,"-4.077496296717114,-4.228518622828812,-3.9415768209005093,-4.047787463997976"
4.066666666666666,78,Human,0,22,9,160,-4.066666666666666,"-4.05817491920318,-4.096387167414832,-4.07776687878804,-4.146661057796977"
2.5833333333333335,79,Human,0,4,18,160,-2.5833333333333335,"-2.5819311668731673,-4.891784827263223,-3.1181637241457145,-2.64953399747828"
5.983333333333333,80,Human,1,11,3,164,-5.983333333333333,"-6.030344189484001,-5.962978588248928,-6.09623032364681,-6.037470071916456"
4.266666666666667,81,Human,1,11,3,166,-4.266666666666667,"-4.5087921894840015,-4.310236322161212,-4.459648251040501,-4.447350948821226"
1.95,82,Human,0,23,2,167,-1.95,"-1.9443830388313779,-1.952174723207391,-1.9690273617640002,-1.963494795721601"
4.4,83,Human,1,11,3,169,-4.4,"-5.756314513879315,-5.0225616564539965,-5.9508195544324005,-5.816457399056983"
5.683333333333334,84,Human,1,11,3,171,-5.683333333333334,"-5.639761340545981,-5.3928599790961265,-5.582854634052588,-5.59221074301489"
4.65,85,Human,0,11,3,172,-4.65,"-4.888264972641451,-5.113731775999406,-5.098974160373833,-5.211462735487892"
2.8333333333333335,86,Human,1,11,4,176,-2.8333333333333335,"-2.839627275797114,-2.835349063089314,-3.0309723489597804,-2.852575721068645"
5.6,87,Human,1,11,3,178,-5.6,"-5.543683560756785,-5.168220595775754,-5.556193263222989,-5.549346404566487"
4.183333333333334,88,Human,1,11,3,179,-4.183333333333334,"-5.5620710186121025,-4.601184778435042,-5.530999223765734,-5.493197430028108"
4.183333333333334,89,Human,1,4,3,181,-4.183333333333334,"-4.3793291596462876,-4.1615763319511005,-4.438351244275676,-4.308230017613666"
4.2,90,Human,1,11,3,181,-4.2,"-5.229858681269761,-4.5128814419347,-5.221042127133959,-5.286145060821226"
5.05,91,Human,1,0,2,181,-5.05,"-5.2102672310398646,-5.002877176526799,-5.176718010619105,-5.219223855201486"
4.1,92,Human,1,4,3,183,-4.1,"-4.1351957297389,-4.079864476845787,-4.118280995420542,-4.240477877939414"
5.666666666666667,93,Human,1,4,3,186,-5.666666666666667,"-5.676033661553754,-5.526176095925795,-5.673918670712737,-5.654969948547891"
5.666666666666667,94,Human,1,4,3,188,-5.666666666666667,"-5.813933328840292,-5.616060001592737,-5.791963463003101,-5.620029877939414"
2.1166666666666667,95,Human,0,24,19,189,-2.1166666666666667,"-2.089610596467895,-2.2124365766464975,-2.187372674051622,-3.1657627485839543"
5.6,96,Human,1,4,3,189,-5.6,"-5.597933328840292,-5.536530267907336,-5.5858541629886505,-5.590515142936521"
5.383333333333334,97,Human,1,4,3,191,-5.383333333333334,"-5.554173011032898,-5.44827868571984,-5.6023154630031,-5.585757877939414"
5.383333333333334,98,Human,1,4,3,192,-5.383333333333334,"-5.535450663072234,-5.4236992808485684,-5.5192468029886514,-5.52390009750498"
5.916666666666667,99,Human,1,1,1,194,-5.916666666666667,"-5.8899691029066314,-5.892617561807312,-5.890001383637381,-5.890788303951986"
5.383333333333334,100,Human,1,11,3,195,-5.383333333333334,"-5.432879403479314,-5.349795105684493,-5.411397967133959,-5.367752042256983"
3.45,101,Human,0,25,10,197,-3.45,"-3.4523547643425236,-3.5076877830601716,-3.548241538571482,-3.8828947432782814"
5.35,102,Human,1,4,3,199,-5.35,"-5.674173328840292,-5.3799947125511745,-5.769488796336432,-5.531336544606081"
2.9166666666666665,103,Human,0,0,3,201,-2.9166666666666665,"-2.927146754533168,-3.0068096760448206,-2.9530053723669503,-2.932855994944049"
1.5833333333333333,104,Human,0,0,12,203,-1.5833333333333333,"-1.5778452220816024,-1.6025406843768466,-1.7353931820616333,-1.713404386543426"
5.216666666666667,105,Human,1,4,3,204,-5.216666666666667,"-5.380248701699563,-5.296110240547817,-5.38376346644607,-5.394578569018198"
8.216666666666667,106,Human,2,17,3,204,-8.216666666666667,"-8.441170891179695,-8.265270689769597,-8.219170184489112,-8.225082316284427"
