travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
7.966666666666667,487,AV,2,0,5,898,-7.966666666666667,"0,0,0,0"
4.916666666666667,664,AV,0,4,12,1220,-4.916666666666667,"0,0,0,0"
2.2666666666666666,32,AV,0,0,12,80,-2.2666666666666666,"0,0,0,0"
2.5166666666666666,357,AV,0,0,3,680,-2.5166666666666666,"0,0,0,0"
6.233333333333333,546,AV,1,11,5,1002,-6.233333333333333,"0,0,0,0"
6.333333333333333,108,AV,3,4,20,213,-6.333333333333333,"0,0,0,0"
5.833333333333333,261,AV,1,11,2,453,-5.833333333333333,"0,0,0,0"
4.483333333333333,869,AV,0,17,5,1501,-4.483333333333333,"0,0,0,0"
6.0,234,AV,1,4,20,402,-6.0,"0,0,0,0"
4.666666666666667,132,AV,3,11,3,248,-4.666666666666667,"0,0,0,0"
5.266666666666667,985,AV,1,16,10,1684,-5.266666666666667,"0,0,0,0"
4.2,928,AV,2,16,9,1596,-4.2,"0,0,0,0"
4.766666666666667,805,AV,1,7,9,1419,-4.766666666666667,"0,0,0,0"
4.633333333333334,376,AV,3,7,9,707,-4.633333333333334,"0,0,0,0"
6.95,533,AV,3,0,2,974,-6.95,"0,0,0,0"
3.7,617,AV,2,4,85,1126,-3.7,"0,0,0,0"
3.8,113,AV,0,7,4,225,-3.8,"0,0,0,0"
4.866666666666666,470,AV,2,1,1,876,-4.866666666666666,"0,0,0,0"
3.4166666666666665,525,AV,0,1,75,959,-3.4166666666666665,"0,0,0,0"
5.133333333333334,230,AV,3,4,4,398,-5.133333333333334,"0,0,0,0"
3.9166666666666665,988,AV,2,124,10,1690,-3.9166666666666665,"0,0,0,0"
7.366666666666666,644,AV,1,11,2,1175,-7.366666666666666,"0,0,0,0"
5.633333333333334,45,AV,3,11,3,94,-5.633333333333334,"0,0,0,0"
2.533333333333333,762,AV,2,8,2,1378,-2.533333333333333,"0,0,0,0"
3.6666666666666665,822,AV,0,11,20,1436,-3.6666666666666665,"0,0,0,0"
5.016666666666667,953,AV,2,118,10,1622,-5.016666666666667,"0,0,0,0"
5.433333333333334,909,AV,0,4,3,1566,-5.433333333333334,"0,0,0,0"
6.616666666666666,692,AV,3,0,2,1258,-6.616666666666666,"0,0,0,0"
3.15,548,AV,0,83,1,1003,-3.15,"0,0,0,0"
4.683333333333334,316,AV,0,0,2,565,-4.683333333333334,"0,0,0,0"
3.0166666666666666,481,AV,2,0,4,895,-3.0166666666666666,"0,0,0,0"
3.1666666666666665,679,AV,3,0,12,1241,-3.1666666666666665,"0,0,0,0"
6.25,1019,AV,2,4,3,1757,-6.25,"0,0,0,0"
4.216666666666667,31,AV,1,11,3,79,-4.216666666666667,"0,0,0,0"
4.4,65,AV,0,7,9,139,-4.4,"0,0,0,0"
6.283333333333333,506,AV,1,0,5,920,-6.283333333333333,"0,0,0,0"
6.966666666666667,897,AV,3,24,1,1549,-6.966666666666667,"0,0,0,0"
5.4,424,AV,1,0,5,796,-5.4,"0,0,0,0"
5.766666666666667,450,AV,1,17,5,851,-5.766666666666667,"0,0,0,0"
4.116666666666666,730,AV,0,7,9,1320,-4.116666666666666,"0,0,0,0"
4.45,116,AV,2,7,9,228,-4.45,"0,0,0,0"
7.416666666666667,522,AV,0,1,10,955,-7.416666666666667,"0,0,0,0"
6.233333333333333,760,AV,3,8,9,1376,-6.233333333333333,"0,0,0,0"
3.066666666666667,971,AV,3,8,98,1662,-3.066666666666667,"0,0,0,0"
3.2666666666666666,471,AV,1,4,4,877,-3.2666666666666666,"0,0,0,0"
7.783333333333333,79,AV,1,4,18,160,-7.783333333333333,"0,0,0,0"
4.9,962,AV,1,4,104,1648,-4.9,"0,0,0,0"
4.633333333333334,87,AV,0,11,3,178,-4.633333333333334,"0,0,0,0"
3.1,343,AV,1,57,15,653,-3.1,"0,0,0,0"
