travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
8.083333333333334,0,Human,0,0,0,5,-8.083333333333334,"-8.057347829726961,-8.070590215977697,-8.19187702938096,-8.253235539580146"
4.216666666666667,1,Human,1,1,1,5,-4.216666666666667,"-4.2383304931049555,-4.214620633021046,-4.241959085518211,-4.319432447310005"
0.6333333333333333,2,Human,0,2,2,11,-0.6333333333333333,"-0.6337401430463424,-1.310544909108352,-3.4010860355661343,-6.968603352067967"
3.1333333333333333,3,Human,3,0,3,11,-3.1333333333333333,"-3.1463769008314872,-3.194007740835856,-3.166473631226894,-3.1419346992977886"
3.1,4,Human,0,3,3,11,-3.1,"-3.0999980211580165,-3.1100041610324483,-3.1257105369907086,-3.16233295732692"
5.45,5,Human,1,4,3,12,-5.45,"-5.4878907330694755,-5.436821267885379,-5.444559680029486,-5.457135620376521"
2.55,6,Human,0,4,4,13,-2.55,"-2.549987074228593,-2.608908923052675,-2.549984388718519,-2.6460978615056114"
5.283333333333333,7,Human,1,4,3,15,-5.283333333333333,"-5.30020330379112,-5.285135852021051,-5.335500298446071,-5.335119742722551"
5.45,8,Human,1,4,3,17,-5.45,"-5.647821328840291,-5.430420144050582,-5.637056796336433,-5.513203211272746"
2.4833333333333334,9,Human,0,5,2,25,-2.4833333333333334,"-2.4833333245107796,-2.485490140252408,-2.6061428178355577,-2.5457245827517476"
5.1,10,Human,1,4,3,26,-5.1,"-5.242137596405568,-5.122547740569226,-5.210972823724254,-5.236456455214559"
5.216666666666667,11,Human,1,4,3,28,-5.216666666666667,"-5.236703827032897,-5.203587716569061,-5.259936637069147,-5.227976455214558"
2.8833333333333333,12,Human,3,0,3,30,-2.8833333333333333,"-2.8833120463879682,-2.9917063985250394,-3.005779227656692,-2.883315601544301"
4.566666666666666,13,Human,0,6,5,31,-4.566666666666666,"-4.56722797583028,-4.676269834413247,-4.713764025560224,-4.8210788576913854"
4.233333333333333,14,Human,1,1,1,33,-4.233333333333333,"-4.2835060395556726,-4.234354277425051,-4.26812448582606,-4.264659974414722"
4.983333333333333,15,Human,1,4,3,37,-4.983333333333333,"-5.077110396405567,-5.012112474175672,-5.064502129669767,-5.0882106807576"
0.85,16,Human,0,7,6,39,-0.85,"-0.8579109842780427,-1.050407967362611,-1.9828099562359145,-1.7689318636021725"
1.7166666666666666,17,Human,0,8,7,55,-1.7166666666666666,"-1.7015025662128385,-1.8473539313493574,-1.7564462968772823,-2.4700871133190496"
1.9166666666666667,18,Human,0,9,8,56,-1.9166666666666667,"-1.909344058397853,-2.2914863789314124,-1.9407669544709805,-2.02419510611813"
4.133333333333334,19,Human,0,8,9,57,-4.133333333333334,"-4.1239379564031475,-4.161405672535118,-4.371394225468446,-4.143202815672102"
4.616666666666666,20,Human,1,4,3,57,-4.616666666666666,"-4.662930130457788,-4.628471250412961,-4.677267662087208,-4.892557877939414"
