travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
2.0,0,Human,3,0,0,517,-2.0,"-1.0160460420124087,-1.0466407144386145,-1.0299811186302215,-1.1778059326451005"
3.95,1,Human,3,1,1,628,-3.95,"-2.865198945720778,-2.8858159367706024,-2.952246566420934,-3.0437843068918844"
2.4833333333333334,2,Human,3,2,2,1150,-2.4833333333333334,"-1.6230570776145548,-1.5158479848871638,-1.6892461130369116,-1.70486259717299"
4.316666666666666,3,Human,1,3,3,167,-4.316666666666666,"-3.3375705252871493,-3.4491948891522055,-3.274274531698929,-3.544607084014312"
3.15,4,Human,3,4,4,1344,-3.15,"-2.430108352696455,-2.5579838929943985,-2.4766444619445287,-2.5213206962211574"
2.6,5,Human,0,5,5,1580,-2.6,"-2.0645662175136437,-2.0094322259357305,-2.015841878291994,-1.980887661039938"
2.1333333333333333,6,Human,1,6,6,491,-2.1333333333333333,"-1.4278973965396093,-1.561129361982374,-1.4693236504392972,-1.4715988857746125"
1.7833333333333334,7,Human,2,7,7,1151,-1.7833333333333334,"-1.1776406936768187,-1.1563536430107635,-1.2598787120304131,-1.1363880679113054"
5.05,8,Human,2,8,8,833,-5.05,"-4.325577225957533,-4.467462357945475,-4.419505654083283,-5.902046481143836"
2.0,9,Human,0,9,9,327,-2.0,"-1.617564802416287,-1.6327602266824661,-3.909725193173022,-1.6394176780863539"
4.766666666666667,10,Human,0,10,10,734,-4.766666666666667,"-3.408746807618117,-3.1186958356958714,-3.148361635272586,-3.477258683508728"
3.2666666666666666,11,Human,2,11,11,1634,-3.2666666666666666,"-2.693379529792251,-2.6218915288014037,-2.736480825657655,-2.7762828175292324"
2.5833333333333335,12,Human,0,12,12,1152,-2.5833333333333335,"-2.3032515898641783,-2.264746302310204,-2.2409873466237813,-2.3193734146160403"
3.0,13,Human,1,13,5,816,-3.0,"-2.2977272090232783,-2.3540409640602107,-2.2928965682745384,-2.2499067733644944"
2.3833333333333333,14,Human,2,14,13,383,-2.3833333333333333,"-1.7192382170398468,-1.871128988903104,-1.8467969403419828,-1.7767794727636916"
2.8,15,Human,0,15,14,1466,-2.8,"-2.6164971803590844,-3.0727062484112437,-2.6692422180955893,-2.61565767415296"
2.6333333333333333,16,Human,2,16,15,1722,-2.6333333333333333,"-2.0428250152436385,-2.067744237705842,-2.118241957888227,-2.026824993445614"
1.6,17,Human,3,17,16,466,-1.6,"-1.04112278787274,-1.0652726953040876,-1.0564937176223022,-1.0847841269656124"
1.6666666666666667,18,Human,0,18,17,1668,-1.6666666666666667,"-1.5561694610031203,-1.5486215502759781,-1.8928401771023788,-1.6011447084233266"
5.2,19,Human,3,19,18,497,-5.2,"-4.013408695300464,-3.960942654582743,-4.0790426945987495,-4.169012918962571"
1.5666666666666667,20,Human,1,20,19,520,-1.5666666666666667,"-1.444741699281796,-1.3982478419812812,-1.386236986216415,-1.3925273956485642"
1.7666666666666666,21,Human,1,21,20,1720,-1.7666666666666666,"-1.3260199788216671,-1.4064048455531226,-1.6251844643522269,-1.7558916183985882"
7.716666666666667,22,Human,1,0,21,514,-7.716666666666667,"-6.074548569007601,-6.3622621529570225,-6.24263103183195,-6.424257252480991"
5.45,23,Human,3,22,22,1769,-5.45,"-4.814018692274184,-4.704538484133227,-4.763759986413044,-4.84688060732098"
2.066666666666667,24,Human,0,23,23,973,-2.066666666666667,"-1.6112386781062318,-1.53592964500415,-1.6261518672263722,-1.4980870724099575"
3.8833333333333333,25,Human,0,24,24,117,-3.8833333333333333,"-3.446722857372742,-3.379689579835693,-3.562857495402032,-3.403126018079619"
7.166666666666667,26,Human,0,8,25,161,-7.166666666666667,"-6.725645337803556,-7.938706133309275,-6.921397951723332,-9.60662542523847"
2.2333333333333334,27,Human,0,25,26,370,-2.2333333333333334,"-2.093472580279382,-2.883674960796468,-2.2133811151530454,-4.6941072593203454"
1.4,28,Human,0,26,27,622,-1.4,"-1.174589566719955,-1.160509991387908,-1.2101475551442835,-1.1321877652128063"
1.9166666666666667,29,Human,0,27,28,1282,-1.9166666666666667,"-1.5646915811235553,-1.55459388444244,-1.480442216575869,-1.6080201769637008"
3.466666666666667,30,Human,3,28,29,596,-3.466666666666667,"-2.589211595025594,-2.5600238476547443,-2.6202745437575192,-2.6960249651540624"
2.6,31,Human,0,29,0,1515,-2.6,"-1.9548494231194185,-1.944533441227386,-1.8686317292636394,-1.8215172584213066"
