detid,flow
-1016223781,0
-1062609830#0,0
-1062609830#1,0
-1062609830#2,0
-1062609830#3,0
-1062609832,0
-1062609834,0
-1078856745,0
-1078856750,0
-1089477908#0,0
-1089477908#1,0
-1089477908#2,0
-1104523974,0
-1104526781#0,0
-1104526781#1,0
-1104526785#0,0
-1125756489,0
-1126987416#0,0
-1126987416#1,0
-1130961584,0
-1130961587#0,0
-1130961587#1,0
-1130961588,0
-1160463763,0
-1160463765,0
-1160463766#0,0
-1160463766#1,0
-1160463768,0
-1160463770#0,0
-1160463770#1,0
-1160463770#2,0
-1160463770#3,0
-116829586,0
-116829593,0
-116829594#0,0
-116829594#1,0
-116829594#2,0
-116829595,0
-116829605#0,0
-116829605#1,0
-1178768426,0
-1178768427#0,0
-1178768427#1,0
-1178768427#2,0
-1178768427#3,0
-1183400432,0
-1239834276,0
-1239834277,0
-1265060065,0
-1265060066,0
-1265060720#2,0
-129506899#0,0
-129506899#1,0
-129506900#5,0
-129506901,0
-129506909#0,0
-129506909#1,0
-129506909#2,0
-129506930#0,0
-129506930#1,0
-129506930#2,0
-1299368200,0
-1315703301,0
-1328235064,0
-1328235065,0
-133881921,0
-133881922#0,0
-133881922#1,0
-140834565#0,0
-140834565#1,0
-140834565#2,0
-140834565#3,0
-140834565#4,0
-140834565#5,0
-140834565#6,0
-140834565#7,0
-140834565#8,0
-140834565#9,0
-140834667#0,0
-140834667#1,0
-140834667#10,0
-140834667#2,0
-140834667#3,0
-140834667#4,0
-140834667#6,0
-140834667#9,0
-140836697,0
-140837018,0
-140838247#0,0
-140838247#1,0
-140838569,0
-140838705#0,0
-140838705#1,0
-140888966,0
-140889164#0,0
-140889164#1,0
-140889164#2,0
-140889216#0,0
-140889216#1,0
-140889216#2,0
-140889216#3,0
-140889216#4,0
-140889216#5,0
-140889362#0,0
-140889362#1,0
-140901839#0,0
-140901839#1,0
-142613412#0,0
-142613412#1,0
-142613412#2,0
-142613412#3,0
-142613412#4,0
-142613414,0
-142646939#0,0
-142646939#1,0
-168323285,0
-168323286#0,0
-168323286#1,0
-168323286#2,0
-168323293,0
-168323295#0,0
-168323295#1,0
-168323295#2,0
-168323295#3,0
-168323298#0,0
-168323298#1,0
-168323298#2,0
-168323298#3,0
-168323303#0,0
-168323303#1,0
-168323303#2,0
-168323305,0
-168323306#0,0
-168323306#1,0
-168323308#0,0
-168323308#1,0
-168323308#2,0
-168323308#3,0
-168323308#4,0
-168323310,0
-168323316,0
-168323332#0,0
-168323332#1,0
-168323334#0,0
-168323334#1,0
-168323334#2,0
-168323337#0,0
-168323337#1,0
-168323337#2,0
-168323337#3,0
-168323337#4,0
-168323340#0,0
-168323340#1,0
-168323340#2,0
-168323340#3,0
-168323342#0,0
-168323342#1,0
-168323342#2,0
-168325524#0,0
-168325524#1,0
-168325526#0,0
-168325526#1,0
-168325527#2,0
-168325532,0
-168325533#0,0
-168325535#0,0
-168325535#1,0
-168325538#0,0
-168325538#1,0
-175104023#0,0
-175104023#1,0
-175104023#2,0
-175104023#3,0
-175104023#4,0
-175104023#5,0
-175104023#6,0
-177011149,0
-177790375#0,0
-177790375#1,0
-177790375#2,0
-177790376#0,0
-177790376#1,0
-177790376#2,0
-177790376#3,0
-177790376#4,0
-177790381#0,0
-177790381#1,0
-177790381#2,0
-177790381#3,0
-177790381#4,0
-177790381#5,0
-177790381#6,0
-177790381#7,0
-177790381#8,0
-177790381#9,0
-177790382#0,0
-177790382#1,0
-177790385,0
-177790387#0,0
-177790387#1,0
-177790389#0,0
-177790389#1,0
-177790391,0
-177790392#0,0
-177790392#1,0
-177794935#0,0
-177794935#1,0
-177794935#2,0
-177794935#3,0
-177794938,0
-177794940#0,0
-177794940#1,0
-177794940#2,0
-177794940#3,0
-177794940#4,0
-177794942#0,0
-177794942#1,0
-177794943,0
-177794946,0
-177794947#0,0
-177794947#1,0
-177794947#2,0
-177794948#0,0
-177794948#1,0
-177794948#2,0
-177794949#0,0
-177794949#1,0
-177794949#2,0
-177794950#0,0
-177794950#1,0
-177794950#2,0
-177794951#0,0
-177794951#1,0
-177794951#2,0
-177794951#3,0
-177794951#4,0
-177794952#0,0
-177794952#1,0
-177794952#2,0
-177794952#3,0
-177794952#4,0
-177794952#5,0
-177794953#0,0
-177794953#1,0
-177794953#2,0
-177794954,0
