travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
1.8,0,Human,2,0,0,203,-1.8,"-1.6450060307123953,-1.9225196774174036,-1.6745916432542785,-1.6619102991290113"
6.166666666666667,1,Human,3,1,1,1217,-6.166666666666667,"-5.460116689854731,-5.342688561866986,-5.34675897031431,-5.4488158942740075"
2.2666666666666666,2,Human,0,2,2,65,-2.2666666666666666,"-2.135396588795393,-2.182445404367651,-2.1263108807295423,-2.1391987751379893"
2.7,3,Human,2,3,3,1507,-2.7,"-2.295966804700307,-2.3549303575713942,-2.3635035737940964,-2.367077033837293"
5.783333333333333,4,Human,0,4,4,1754,-5.783333333333333,"-5.635463555674502,-5.663835930134444,-5.737324559844067,-5.615679235987455"
4.033333333333333,5,Human,3,5,5,1751,-4.033333333333333,"-3.3260197577931305,-3.3665671291752846,-3.339091716279059,-3.442949240046414"
3.1666666666666665,6,Human,0,6,5,1090,-3.1666666666666665,"-2.981058611859634,-3.006604100756088,-3.063058161617634,-3.257813446483274"
3.033333333333333,7,Human,1,7,6,66,-3.033333333333333,"-2.8862210504074173,-2.8647193506385884,-2.89869769138469,-2.9422648928391766"
5.65,8,Human,0,8,7,371,-5.65,"-4.929269845150167,-4.814077400385748,-4.876380706965666,-4.7939582140451"
4.316666666666666,9,Human,1,9,8,546,-4.316666666666666,"-4.353868367978036,-4.290264043392945,-4.991296452142748,-6.071143383920159"
3.966666666666667,10,Human,0,10,9,1290,-3.966666666666667,"-3.4803686803082425,-3.374827850742608,-3.4143704274900224,-3.484191649734688"
3.5833333333333335,11,Human,2,11,3,1242,-3.5833333333333335,"-3.1382116657690298,-3.181434147928315,-3.2137123998258774,-3.2387000967701702"
6.6,12,Human,2,12,10,582,-6.6,"-6.063366551788698,-5.966711146746193,-6.089592674645243,-6.178418939130964"
3.45,13,Human,0,13,11,1223,-3.45,"-3.193033093885482,-3.1973233194144477,-3.1892143028557722,-3.327655291576674"
1.95,14,Human,1,14,10,1298,-1.95,"-1.9434440442843803,-1.9359378079024228,-2.3589828011838283,-1.9576377906900704"
2.5166666666666666,15,Human,0,15,3,1214,-2.5166666666666666,"-2.4109885938252664,-2.418278772416094,-2.3958949356495953,-2.388547070952211"
4.083333333333333,16,Human,0,16,12,640,-4.083333333333333,"-4.036170341678833,-4.030725240899897,-4.11302568855098,-4.225206233737129"
3.0,17,Human,0,17,13,1337,-3.0,"-2.985721874464444,-3.0341392145262045,-3.0357348804426882,-3.020677377888977"
2.8333333333333335,18,Human,0,18,14,1398,-2.8333333333333335,"-2.780890630513216,-2.830757215197094,-2.849669718196854,-2.7915981655441153"
3.283333333333333,19,Human,0,19,15,1002,-3.283333333333333,"-3.0132772134301984,-2.970883813164038,-2.9931976903200472,-3.114259833758754"
7.583333333333333,20,Human,2,20,16,158,-7.583333333333333,"-6.460207970931469,-6.41984332631068,-6.57388264049703,-6.328559943112819"
3.95,21,Human,2,21,17,867,-3.95,"-3.2596083654496777,-3.295132670986322,-3.3845156828999543,-3.271217128869691"
6.366666666666666,22,Human,2,22,18,915,-6.366666666666666,"-5.652708319716084,-5.80622324208284,-5.7152720703280355,-5.695554912215335"
2.316666666666667,23,Human,0,8,19,2,-2.316666666666667,"-2.1789521207136597,-2.188728002373121,-2.154404419712297,-2.2219327427027435"
6.716666666666667,24,Human,0,23,20,774,-6.716666666666667,"-6.281689230819545,-6.177706966596829,-6.192049779148494,-6.335227579136365"
5.35,25,Human,0,24,21,1367,-5.35,"-4.82467772663431,-4.809289819651895,-4.898021393609292,-4.732606726208737"
5.25,26,Human,3,25,22,190,-5.25,"-5.012379214531242,-5.323698104151666,-5.017380849532038,-5.017141567554597"
2.6166666666666667,27,Human,1,13,23,1090,-2.6166666666666667,"-2.2647971240700744,-2.295730933525318,-2.340075832243821,-2.2382143508519317"
3.033333333333333,28,Human,1,26,24,446,-3.033333333333333,"-2.787530598599385,-2.798892521587365,-2.741888511028209,-2.7506280637912606"
4.733333333333333,29,Human,2,27,25,330,-4.733333333333333,"-3.7531295919915975,-3.7690420331888306,-3.913813789188855,-3.7846733354959343"
2.95,30,Human,3,28,26,717,-2.95,"-2.7372274692782055,-2.704009445731929,-2.8140956944332807,-2.744330267426193"
7.45,31,Human,1,29,27,1595,-7.45,"-6.660280568003704,-6.6769535674636495,-6.6790752182291575,-6.632184130681043"
5.283333333333333,32,Human,0,30,28,952,-5.283333333333333,"-4.926592221934246,-4.900627632349414,-4.912396160307177,-4.955168126709864"
1.2333333333333334,33,Human,0,31,18,109,-1.2333333333333334,"-1.0873291027597793,-1.0612748932085436,-1.062540129589633,-1.0655095752339814"
7.25,34,Human,3,32,10,217,-7.25,"-6.738004931139528,-6.729244161579914,-6.871363215588847,-6.69108186534032"
3.75,35,Human,0,33,29,1515,-3.75,"-3.633327752090182,-3.6674364483700668,-3.70859319037352,-3.6359545726629365"
4.166666666666667,36,Human,3,4,30,899,-4.166666666666667,"-3.807014624945785,-3.981706427508901,-3.8095300098671374,-3.856778277310372"
1.2833333333333334,37,Human,0,34,31,1162,-1.2833333333333334,"-1.2526814187743627,-1.2840220782337415,-1.2518288759491243,-1.3253035757139429"
2.15,38,Human,1,35,32,35,-2.15,"-1.9806753942884574,-1.9906031420206387,-1.9690919280057602,-2.073574274058075"
4.2,39,Human,3,36,33,175,-4.2,"-5.107140887867825,-3.7914566409462136,-3.858585809038553,-3.858667580948145"
4.25,40,Human,0,37,34,1003,-4.25,"-3.962498650656673,-3.920651680133516,-3.8993565296556056,-3.9544651058200904"
1.6666666666666667,41,Human,2,38,35,385,-1.6666666666666667,"-1.4732726381327415,-1.4919160246910221,-1.5102990966023602,-1.5525566487534286"
2.1666666666666665,42,Human,2,39,36,1412,-2.1666666666666665,"-1.6695975233498728,-1.6574258114780698,-1.7292207222668137,-1.6887666383607587"
6.483333333333333,43,Human,2,40,37,828,-6.483333333333333,"-5.513458496894566,-5.426381735095113,-5.617890076159621,-5.479618859059173"
