travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
5.65,0,Human,2,0,0,590,-5.65,"-5.647840514145019,-5.650679231948282,-5.647262280169305,-5.646821002082763"
6.85,1,Human,0,1,1,566,-6.85,"-6.84357580504249,-6.853630211706212,-6.8492900916316,-6.859397544076304"
4.733333333333333,2,Human,0,2,2,574,-4.733333333333333,"-4.740161631688268,-4.775943461075691,-4.814406841564196,-4.772786194277578"
3.05,3,Human,0,3,3,653,-3.05,"-3.0335337615049873,-3.0618043426772257,-6.436466152014768,-3.046033119411146"
4.116666666666666,4,Human,0,4,3,1243,-4.116666666666666,"-4.118347266874205,-4.156579577597974,-4.126282928208113,-4.192770971252605"
2.6666666666666665,5,Human,0,5,4,1037,-2.6666666666666665,"-2.6449605305269444,-2.6876528402125404,-2.6938656669209724,-2.6925114820769336"
0.8666666666666667,6,Human,0,6,5,43,-0.8666666666666667,"-0.8666664614364744,-0.8735083273338132,-0.8828082779476842,-0.8847393904487644"
1.4833333333333334,7,Human,3,7,6,1700,-1.4833333333333334,"-1.7462664354988413,-2.120529768959617,-1.746746397101913,-1.4902134371232574"
1.05,8,Human,3,8,7,1630,-1.05,"-1.1231112302951767,-1.1429693252315818,-1.1224106474682027,-1.0626080277212961"
2.8333333333333335,9,Human,0,9,8,1688,-2.8333333333333335,"-2.8245816007232425,-2.844420855961234,-2.926225071751236,-2.856678543880611"
2.9833333333333334,10,Human,2,10,2,142,-2.9833333333333334,"-3.1802869144166306,-3.0192502569750057,-2.9899830083628784,-3.0631731138631215"
3.533333333333333,11,Human,3,11,9,1149,-3.533333333333333,"-3.5783256059515245,-3.6207465642236634,-3.6703564386849057,-3.541245652305037"
1.9833333333333334,12,Human,1,12,2,1545,-1.9833333333333334,"-1.9994765873423792,-1.9809917792896514,-2.025880539476842,-2.0560243820494364"
5.883333333333334,13,Human,3,13,10,1617,-5.883333333333334,"-5.799640381213248,-5.801148124804014,-5.797312227735633,-5.808857542133854"
3.85,14,Human,0,14,11,383,-3.85,"-3.86249350112422,-3.8964128308645543,-3.8958562683218014,-3.9676737295959867"
3.3833333333333333,15,Human,0,15,4,601,-3.3833333333333333,"-3.4023049094677633,-3.588826032124957,-3.4205430750032604,-3.5721302120322975"
1.1,16,Human,1,6,12,399,-1.1,"-1.1940035591464113,-1.1101678052506607,-1.265807543975182,-1.197847311729013"
2.6333333333333333,17,Human,0,16,13,350,-2.6333333333333333,"-2.6196314032710664,-2.6393365052265056,-2.647350767600378,-2.6782110914255974"
2.0,18,Human,0,17,3,950,-2.0,"-2.005965575622914,-2.03011314044061,-2.05536054144853,-2.0770018271370123"
1.95,19,Human,0,18,14,1199,-1.95,"-1.9340163144683813,-1.9451740239184916,-2.2741540676745857,-2.099988000959923"
2.816666666666667,20,Human,0,15,15,614,-2.816666666666667,"-2.799621057480276,-4.420858730641122,-2.8342991836307707,-3.0533982979291454"
2.45,21,Human,1,19,16,339,-2.45,"-2.5216684453506124,-2.474492842428944,-2.491203621598273,-2.545770309575234"
3.3833333333333333,22,Human,1,20,17,112,-3.3833333333333333,"-3.404559652245375,-3.389709110052824,-3.4455515216681953,-3.4338856164402394"
0.8833333333333333,23,Human,0,21,18,492,-0.8833333333333333,"-0.8889704474388921,-0.9392449288125357,-1.0150366985726653,-0.9297116051648363"
0.9,24,Human,2,22,19,1392,-0.9,"-1.0059013193759982,-0.9886569563218774,-0.9561349602603302,-1.1432524137942952"
4.2,25,Human,0,23,20,531,-4.2,"-4.194625675466126,-4.212392815350032,-4.223449557329219,-4.248337805229141"
5.383333333333334,26,Human,2,24,2,1667,-5.383333333333334,"-5.440672213388742,-5.4062033873998345,-5.364434377276564,-5.396801937869685"
0.5,27,Human,0,15,14,736,-0.5,"-0.504650168177519,-1.187616990640749,-0.8749220062395008,-1.4359491240700746"
1.5666666666666667,28,Human,0,6,14,1792,-1.5666666666666667,"-1.5588132707208584,-1.5719611231101516,-1.5669901607871375,-1.8790796736261104"
3.8333333333333335,29,Human,1,25,21,1325,-3.8333333333333335,"-3.9247490164346064,-3.832833585401902,-4.305214951300746,-3.977100716958953"
1.15,30,Human,0,26,22,1252,-1.15,"-1.1482333539385674,-1.201691864650828,-1.2456081900002622,-1.2536957043436523"
2.533333333333333,31,Human,0,27,6,452,-2.533333333333333,"-2.547125189835483,-2.653190281559678,-2.668852545735265,-2.655854356995095"
3.2,32,Human,0,28,23,220,-3.2,"-3.219408901888691,-3.2756029327573795,-3.2989453594281937,-3.294979571571683"
3.55,33,Human,2,29,24,175,-3.55,"-3.3271594900750934,-3.3280087618739245,-3.3611410713147696,-3.3566211545531046"
2.8666666666666667,34,Human,1,30,25,1140,-2.8666666666666667,"-2.87297642062022,-2.8607271889798245,-2.8826695851185513,-2.8891377713011592"
2.0,35,Human,0,31,26,308,-2.0,"-2.0027007403455097,-2.478033602496319,-2.1860566963823813,-2.8103830145433544"
1.6166666666666667,36,Human,1,32,3,1776,-1.6166666666666667,"-1.6440141406648798,-1.6188809223934655,-1.6664075876622655,-1.6408228732020023"
3.466666666666667,37,Human,1,33,27,1161,-3.466666666666667,"-3.5541180438354854,-3.4694728135079105,-3.547413019373644,-3.594150120629342"
5.283333333333333,38,Human,1,34,28,1238,-5.283333333333333,"-5.334677747113388,-5.304855472386223,-5.319872009355212,-5.323081447583286"
0.9,39,Human,0,35,2,188,-0.9,"-0.9115268638811054,-0.9281723071345719,-0.9368391648668107,-1.008039356851452"
2.433333333333333,40,Human,1,36,2,1336,-2.433333333333333,"-2.4853129093928494,-2.453639013078605,-2.4898088124790023,-2.46416655798574"
4.65,41,Human,0,37,29,396,-4.65,"-4.655650864856713,-4.681778628397268,-4.66626051295902,-4.668989650813782"
0.8333333333333334,42,Human,0,38,22,1729,-0.8333333333333334,"-0.8256036493864574,-0.8975089963991355,-1.713647906966962,-1.4767508587308211"
0.8666666666666667,43,Human,0,38,14,701,-0.8666666666666667,"-0.8446733748149534,-1.0688504919606432,-1.3815454763618913,-1.2517758579313656"
4.966666666666667,44,Human,0,39,30,694,-4.966666666666667,"-4.986836470013395,-4.994229804686129,-5.007837064783461,-5.007800676391744"
2.216666666666667,45,Human,0,40,3,122,-2.216666666666667,"-2.225477254149424,-2.2400730130443014,-2.3210175185985125,-2.2773259073674113"
2.5166666666666666,46,Human,0,41,27,1311,-2.5166666666666666,"-2.5187247320502246,-2.56180618356662,-2.5680479964167073,-2.609574644563172"
5.216666666666667,47,Human,1,42,31,1066,-5.216666666666667,"-5.30542719879234,-5.214447843987813,-5.272752225065077,-5.271754988136303"
0.8,48,Human,0,43,32,490,-0.8,"-0.8005897340973552,-0.8936645068394528,-0.8587473002159828,-0.8861051115910727"
1.7666666666666666,49,Human,3,38,33,239,-1.7666666666666666,"-1.9080596112311015,-1.841471122443506,-1.787739380849532,-1.765207957709336"
1.6833333333333333,50,Human,0,44,34,1055,-1.6833333333333333,"-1.6827626591973552,-1.7933560835133193,-1.8019820494360455,-1.8008383896683227"
4.666666666666667,51,Human,1,45,35,1117,-4.666666666666667,"-4.679327688874132,-4.647828499540879,-4.715545339629888,-4.69874700878606"
2.9,52,Human,0,46,36,846,-2.9,"-2.8538772896952085,-2.930985047628978,-2.9428910564949433,-2.9568506761622175"
