origins,destinations,path,free_flow_time
0,0,156460680#1 -156460680#1 1024000539#1 1024000539#2 156460679 37052277#1 37052277#2 37052277#3 37052277#4 1237352048 1119245070 319058612#0 319058612#1 36288941#0 36288941#1 36288941#2 36936373#0 36936373#1 36936373#2 36936373#3 36936373#4 201772610 157574535 -36933126#2 -36933126#1 -36933126#0 -1239117024 -394443151#2 196288048 -394443151#0 394443143#0 394443143#1 394443143#2 1238948418#0 1238948418#1 509025806#1 509025806#2 1338884372 1338884371#4 1338884371#5 1338884371#6 1338884371#7 1338884371#8 1338884377 243836884#0 243836884#1 243836884#2 243836884#3 243836884#4 243836884#5 -243836884#5,3.5195195368299657
0,0,156460680#1 -156460680#1 1024000539#1 1024000539#2 156460679 37052277#1 37052277#2 37052277#3 37052277#4 1237352048 1119245070 319058612#0 319058612#1 36288941#0 36288941#1 36288941#2 36936373#0 36936373#1 36936373#2 36936373#3 36936373#4 201772610 157574535 -36933126#2 -36933126#1 -36933126#0 -1239117024 -394443151#2 -394443151#1 -394443151#0 394443143#0 394443143#1 394443143#2 1238948418#0 1238948418#1 509025806#1 509025806#2 1338884372 1338884371#4 1338884371#5 1338884371#6 1338884371#7 1338884371#8 1338884377 243836884#0 243836884#1 243836884#2 243836884#3 243836884#4 243836884#5 -243836884#5,3.4866943549213487
0,0,156460680#1 -156460680#1 -156460680#0 -156460671 -37055902#2 -37055902#1 -37051625#2 -37051625#1 37052277#4 1237352048 1119245070 319058612#0 319058612#1 36288941#0 36288941#1 36288941#2 36936373#0 36936373#1 36936373#2 36936373#3 36936373#4 201772610 157574535 -36933126#2 -36933126#1 -36933126#0 -1239117024 -394443151#2 -394443151#1 -394443151#0 394443143#0 394443143#1 394443143#2 1238948418#0 1238948418#1 509025806#1 509025806#2 1338884372 1338884371#4 1338884371#5 1338884371#6 1338884371#7 1338884371#8 1338884377 243836884#0 243836884#1 243836884#2 243836884#3 243836884#4 243836884#5 -243836884#5,3.562168317004382
0,0,156460680#1 -156460680#1 -156460680#0 -156460671 -37055902#2 -37055902#1 -37051625#2 -37051625#1 37052277#4 1237352048 1119245070 319058612#0 319058612#1 36288941#0 36288941#1 36288941#2 36936373#0 36936373#1 36936373#2 36936373#3 36936373#4 201772610 157574535 -36933126#2 -36933126#1 -36933126#0 -1239117024 -394443151#2 196288048 -394443151#0 394443143#0 394443143#1 394443143#2 1238948418#0 1238948418#1 509025806#1 509025806#2 1338884372 1338884371#4 1338884371#5 1338884371#6 1338884371#7 1338884371#8 1338884377 243836884#0 243836884#1 243836884#2 243836884#3 243836884#4 243836884#5 -243836884#5,3.594993498912999
1,1,-165171783#1 -165171783#0 165171783#0 165171783#1 165171783#2 1371061454 319058613#0 319058613#1 319058613#2 165170673#0 165170673#1 165170673#2 1338884371#8 1338884371#0 1338884371#1 1338884371#2 1338884373 -509025806#2 -509025806#1 -509025806#0 -1238948418#0 509033674#0 509033674#1 394443151#0 394443151#1 394443151#2 153732964 -269702559 -36933151#0 36933113 39820664#9 36933223 36933282#0 36933282#1 -36288851#2 -36288851#1 -36288851#0 394446867#0 394446867#1 710476653#0 710476653#1 710476654 -36934835#1 -36934835#0 36936220 37051113#0 37051113#1 1119245072 37056055#1 319058606 37052930,3.8588643168103114
1,1,-165171783#1 -165171783#0 165171783#0 165171783#1 165171783#2 1371061454 319058613#0 319058613#1 319058613#2 165170673#0 165170673#1 165170673#2 1338884371#8 1338884371#0 1338884371#1 1338884371#2 1338884373 -509025806#2 -509025806#1 -509025806#0 -1238948418#0 509033674#0 509033674#1 394443151#0 394443151#1 394443151#2 153732964 -269702559 -36933151#0 36933113 39820664#9 36933223 36933282#0 36933282#1 -36288851#2 36284386#0 36284386#1 36933240 394446867#1 710476653#0 710476653#1 710476654 -36934835#1 -36934835#0 36936220 37051113#0 37051113#1 1119245072 37056055#1 319058606 37052930,3.85875632544962
1,1,-165171783#1 -165171783#0 165171783#0 165171783#1 165171783#2 1371061454 319058613#0 319058613#1 319058613#2 165170673#0 165170673#1 165170673#2 1338884371#8 1338884371#0 1338884371#1 1338884371#2 1338884373 -509025806#2 -509025806#1 -509025806#0 -1238948418#0 509033674#0 509033674#1 394443151#0 -196288048 394443151#2 153732964 -269702559 -36933151#0 36933113 39820664#9 36933223 36933282#0 36933282#1 -36288851#2 36284386#0 36284386#1 36933240 394446867#1 710476653#0 710476653#1 710476654 -36934835#1 -36934835#0 36936220 37051113#0 37051113#1 1119245072 37056055#1 319058606 37052930,3.8774346391076966
1,1,-165171783#1 -165171783#0 165171783#0 165171783#1 165171783#2 1371061454 319058613#0 319058613#1 319058613#2 165170673#0 165170673#1 165170673#2 1338884371#8 1338884377 1338884376 1338884371#1 1338884371#2 1338884373 -509025806#2 -509025806#1 -509025806#0 -1238948418#0 509033674#0 509033674#1 394443151#0 -196288048 394443151#2 153732964 -269702559 -36933151#0 36933113 39820664#9 36933223 36933282#0 36933282#1 -36288851#2 36284386#0 36284386#1 36933240 394446867#1 710476653#0 710476653#1 710476654 -36934835#1 -36934835#0 36936220 37051113#0 37051113#1 1119245072 37056055#1 319058606 37052930,3.892713667010487
1,3,-165171783#1 -165171783#0 165170684#0 165170684#1 1238426242 165172166 165172165#0 165172165#1 165172165#2 1238426243 698024160 -1239117045 -36936749#5 -36936749#4 -36936749#3 -36936749#2 -36936749#1 -36936749#0 319058644 698026761 37088673#0 -153730010#2,1.5818183492215314
1,3,-165171783#1 -165171783#0 165170684#0 165170684#1 1238426242 165172166 165172165#0 165172165#1 165172165#2 1238426243 698024160 -1239117045 -36936749#5 -153730008#2 153730008#2 -36936749#4 -36936749#3 -36936749#2 -36936749#1 -36936749#0 319058644 698026761 37088673#0 -153730010#2,1.6729510586047807
1,3,-165171783#1 -165171783#0 165170684#0 165170684#1 1238426242 165172166 165172165#0 165172165#1 165172165#2 319058601 932857453 319058592#3 698024160 -1239117045 -36936749#5 -36936749#4 -36936749#3 -36936749#2 -36936749#1 -36936749#0 319058644 698026761 37088673#0 -153730010#2,2.073139981384748
1,3,-165171783#1 -165171783#0 165170684#0 165170684#1 1238426242 165172166 165172165#0 165172165#1 165172165#2 1238426243 698024160 -1239117045 -36936749#5 -36936749#4 -36936749#3 -153730011 153730011 -36936749#2 -36936749#1 -36936749#0 319058644 698026761 37088673#0 -153730010#2,1.723623004849081
1,60,-165171783#1 -165171783#0 165170684#0 -165172642#2 -165172642#1 -165172642#0,0.3942524598032157
1,60,-165171783#1 -165171783#0 165170684#0 165170684#1 -165170684#1 -165172642#2 -165172642#1 -165172642#0,0.4315214782817374
1,60,-165171783#1 -165171783#0 -698024152#1 -698024152#0 698024152#0 698024152#1 165170684#0 -165172642#2 -165172642#1 -165172642#0,0.5698224142068635
1,60,-165171783#1 -165171783#0 165170684#0 165170684#1 1238426242 165172166 165172163 -165170684#1 -165172642#2 -165172642#1 -165172642#0,0.5341372690184786
