travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
4.683333333333334,41,AV,0,37,29,396,-3.252294455066921,"0,0,0,0"
3.183333333333333,31,AV,3,27,6,452,-3.252294455066921,"0,0,0,0"
2.533333333333333,255,AV,2,93,57,1673,-3.2522944550669215,"0,0,0,0"
1.9166666666666667,206,AV,3,145,95,367,-3.2522944550669215,"0,0,0,0"
2.783333333333333,20,AV,0,15,15,614,-3.2522944550669215,"0,0,0,0"
1.9666666666666666,159,AV,0,115,57,456,-3.2522944550669215,"0,0,0,0"
3.4166666666666665,249,AV,3,170,137,1797,-3.2522944550669215,"0,0,0,0"
1.75,132,AV,3,3,78,974,-3.2522944550669215,"0,0,0,0"
1.9333333333333333,492,AV,3,193,2,1226,-3.252294455066921,"0,0,0,0"
4.5,120,AV,0,92,79,1081,-3.2522944550669215,"0,0,0,0"
2.816666666666667,230,AV,3,158,129,518,-3.2522944550669215,"0,0,0,0"
7.916666666666667,486,AV,1,28,147,34,-3.2522944550669215,"0,0,0,0"
2.3666666666666667,368,AV,1,58,181,118,-3.252294455066921,"0,0,0,0"
4.35,136,AV,3,102,57,371,-3.2522944550669215,"0,0,0,0"
1.3,404,AV,2,240,60,802,-3.2522944550669215,"0,0,0,0"
1.2333333333333334,195,AV,0,97,74,1084,-3.2522944550669215,"0,0,0,0"
5.65,88,AV,1,72,64,545,-3.2522944550669215,"0,0,0,0"
5.016666666666667,323,AV,2,85,165,688,-3.2522944550669215,"0,0,0,0"
3.966666666666667,324,AV,1,208,166,1323,-3.252294455066921,"0,0,0,0"
2.216666666666667,512,AV,1,282,152,1042,-3.252294455066921,"0,0,0,0"
3.1,398,AV,2,239,174,592,-3.252294455066921,"0,0,0,0"
1.7166666666666666,383,AV,3,166,187,150,-3.252294455066921,"0,0,0,0"
3.2333333333333334,61,AV,1,50,44,682,-3.2522944550669215,"0,0,0,0"
1.25,418,AV,3,186,66,509,-3.2522944550669215,"0,0,0,0"
2.3666666666666667,440,AV,1,256,60,454,-3.2522944550669215,"0,0,0,0"
3.9166666666666665,87,AV,3,71,48,551,-3.2522944550669215,"0,0,0,0"
3.783333333333333,519,AV,0,225,172,196,-3.2522944550669215,"0,0,0,0"
4.816666666666666,169,AV,3,58,2,101,-3.252294455066922,"0,0,0,0"
1.9333333333333333,58,AV,1,40,42,1336,-3.2522944550669215,"0,0,0,0"
4.933333333333334,313,AV,0,201,161,577,-3.252294455066921,"0,0,0,0"
5.85,13,AV,3,13,10,1617,-3.2522944550669215,"0,0,0,0"
3.0833333333333335,504,AV,1,277,214,1001,-3.2522944550669215,"0,0,0,0"
1.8333333333333333,172,AV,2,126,49,1630,-3.252294455066921,"0,0,0,0"
6.983333333333333,314,AV,1,202,144,226,-3.252294455066921,"0,0,0,0"
5.15,370,AV,0,234,185,231,-3.252294455066921,"0,0,0,0"
4.083333333333333,496,AV,3,193,104,185,-3.252294455066921,"0,0,0,0"
6.383333333333334,208,AV,0,146,118,1608,-3.252294455066921,"0,0,0,0"
2.6333333333333333,220,AV,2,153,77,904,-3.252294455066921,"0,0,0,0"
5.733333333333333,520,AV,0,249,105,672,-3.252294455066921,"0,0,0,0"
1.2333333333333334,394,AV,3,184,161,373,-3.252294455066921,"0,0,0,0"
0.5333333333333333,109,AV,2,84,63,450,-3.252294455066921,"0,0,0,0"
2.1166666666666667,42,AV,3,38,22,1729,-3.2522944550669215,"0,0,0,0"
2.1166666666666667,330,AV,2,22,161,1546,-3.2522944550669215,"0,0,0,0"
0.8,384,AV,1,184,0,787,-3.2522944550669215,"0,0,0,0"
1.5,462,AV,3,184,130,37,-3.2522944550669215,"0,0,0,0"
1.6833333333333333,349,AV,2,225,177,1028,-3.2522944550669215,"0,0,0,0"
1.7166666666666666,137,AV,2,103,69,1800,-3.2522944550669215,"0,0,0,0"
2.35,57,AV,0,43,41,736,-3.2522944550669215,"0,0,0,0"
0.9166666666666666,391,AV,3,219,46,1052,-3.252294455066921,"0,0,0,0"
3.0166666666666666,435,AV,3,254,95,1289,-3.2522944550669215,"0,0,0,0"
2.0,171,AV,3,125,105,904,-3.2522944550669215,"0,0,0,0"
5.3,479,AV,2,263,139,17,-3.2522944550669215,"0,0,0,0"
4.75,386,AV,2,240,71,1248,-3.2522944550669215,"0,0,0,0"
1.6166666666666667,338,AV,3,217,173,740,-3.252294455066921,"0,0,0,0"
5.45,457,AV,1,260,172,370,-3.2522944550669215,"0,0,0,0"
4.866666666666666,69,AV,0,58,50,133,-3.2522944550669215,"0,0,0,0"
2.3333333333333335,453,AV,2,258,125,681,-3.252294455066921,"0,0,0,0"
3.566666666666667,318,AV,3,204,135,1687,-3.252294455066921,"0,0,0,0"
1.7833333333333334,447,AV,0,206,36,1116,-3.252294455066921,"0,0,0,0"
1.6833333333333333,23,AV,2,21,18,492,-3.252294455066921,"0,0,0,0"
4.083333333333333,199,AV,3,141,47,1603,-3.252294455066921,"0,0,0,0"
2.0166666666666666,301,AV,3,193,83,1250,-3.252294455066921,"0,0,0,0"
0.75,246,AV,3,167,12,1351,-3.2522944550669215,"0,0,0,0"
1.2333333333333334,379,AV,0,217,188,1434,-3.252294455066921,"0,0,0,0"
4.316666666666666,214,AV,0,151,48,1453,-3.2522944550669215,"0,0,0,0"
