travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
5.65,0,Human,2,0,0,590,-5.65,"-5.66574933749399,-5.663548091133412,-5.66018657600658,-5.66635761440392"
6.85,1,Human,0,1,1,566,-6.85,"-6.840057785159763,-6.863866641356347,-6.854079905754287,-6.853557990540304"
4.766666666666667,2,Human,0,2,2,574,-4.766666666666667,"-4.7465166525554,-4.780921529011281,-4.778818151955245,-4.770660871696244"
3.0166666666666666,3,Human,0,3,3,653,-3.0166666666666666,"-3.023569368337128,-3.0745307426772266,-6.436466152014768,-3.066180854995584"
4.116666666666666,4,Human,0,4,3,1243,-4.116666666666666,"-4.108089143113202,-4.153305380264641,-4.161223198033157,-4.1854393019192715"
2.65,5,Human,0,5,4,1037,-2.65,"-2.647671090739875,-2.6703363602125396,-2.6631667503178837,-2.6753114820769337"
0.8666666666666667,6,Human,0,6,5,43,-0.8666666666666667,"-0.8666666665144578,-0.8735083273338132,-0.8794749446143509,-0.8847393904487644"
1.5,7,Human,3,7,6,1700,-1.5,"-1.7462664354988413,-2.120529768959617,-1.746746397101913,-1.4961181292018224"
1.05,8,Human,3,8,7,1630,-1.05,"-1.1394418589028081,-1.141486658564915,-1.1535551846412289,-1.0723772887469216"
2.8333333333333335,9,Human,0,9,8,1688,-2.8333333333333335,"-2.8119079422114184,-2.8382479194279004,-2.919558405084569,-2.865887461213944"
3.0,10,Human,2,10,2,142,-3.0,"-3.158820247749964,-3.0621796742929086,-2.9926565070198308,-3.062506447196455"
3.533333333333333,11,Human,3,11,9,1149,-3.533333333333333,"-3.5660589392848574,-3.606880964223663,-3.5533122150227987,-3.5406728341301643"
1.9833333333333334,12,Human,1,12,2,1545,-1.9833333333333334,"-2.0017897163023792,-1.9837110368723196,-2.0297418728101757,-2.05895771538277"
5.75,13,Human,2,13,10,1617,-5.75,"-5.806799982410639,-5.812998780202586,-5.776950604414004,-5.808146600421155"
3.8666666666666667,14,Human,0,14,11,383,-3.8666666666666667,"-3.8625971671002546,-3.8830188681978877,-3.9132262864551346,-3.9666891962626543"
3.4166666666666665,15,Human,0,15,4,601,-3.4166666666666665,"-3.4029394603550003,-3.651232540156196,-3.8415121770874086,-3.5926635453656313"
1.1666666666666667,16,Human,1,6,12,399,-1.1666666666666667,"-1.1956035591464114,-1.1567306876902468,-1.265807543975182,-1.197847311729013"
2.6166666666666667,17,Human,0,16,13,350,-2.6166666666666667,"-2.627630563241219,-2.6700831718931726,-2.651502618267044,-2.681428824281997"
2.0166666666666666,18,Human,0,17,3,950,-2.0166666666666666,"-2.012581933318689,-2.0365379279055924,-2.0732005414485295,-2.0477666271370123"
1.95,19,Human,0,18,14,1199,-1.95,"-1.9343664463127332,-1.9479678372518248,-2.2741540676745857,-2.099988000959923"
2.8333333333333335,20,Human,0,15,15,614,-2.8333333333333335,"-2.805889129244888,-4.420858730641122,-2.833807663630771,-3.0487316312624793"
2.4833333333333334,21,Human,1,19,16,339,-2.4833333333333334,"-2.4959274233549316,-2.479912277873073,-2.4873636215982726,-2.559796976241901"
3.3833333333333333,22,Human,1,20,17,112,-3.3833333333333333,"-3.4514983884629666,-3.3876164090221774,-3.4339248550015284,-3.4234109497735727"
0.8833333333333333,23,Human,0,21,18,492,-0.8833333333333333,"-0.8862705517568633,-0.9472449288125357,-1.0283700319059985,-0.9330716051648363"
0.9666666666666667,24,Human,2,22,19,1392,-0.9666666666666667,"-1.0124346527093313,-0.9957744816552107,-0.955718322107032,-1.1432524137942952"
4.216666666666667,25,Human,0,23,20,531,-4.216666666666667,"-4.216855744035175,-4.257677317700714,-4.239677506554798,-4.248555405229142"
5.633333333333334,26,Human,2,24,2,1667,-5.633333333333334,"-5.639509888044328,-5.636213426303894,-5.576857821227596,-5.591530803982806"
0.5,27,Human,0,15,14,736,-0.5,"-0.5026741899384641,-1.187616990640749,-0.8749220062395008,-1.4359491240700746"
1.55,28,Human,0,6,14,1792,-1.55,"-1.5524149157576612,-1.5739611231101516,-1.5723234941204707,-1.8790796736261104"
3.85,29,Human,1,25,21,1325,-3.85,"-3.927605298609018,-3.849671484791549,-4.295214951300745,-3.99063138362562"
1.15,30,Human,0,26,22,1252,-1.15,"-1.1494227227991018,-1.201691864650828,-1.2456081900002622,-1.2536957043436523"
2.65,31,Human,1,27,6,452,-2.65,"-2.67812162638369,-2.6418116933868,-2.682921823254879,-2.6999236903284283"
3.3666666666666667,32,Human,0,28,23,220,-3.3666666666666667,"-3.2827124653266835,-3.2999655994240467,-3.289253402521527,-3.2955338115716835"
2.75,33,Human,3,29,24,175,-2.75,"-3.389866903408427,-3.37376892949914,-3.3831125370518156,-2.7564508982701943"
2.8333333333333335,34,Human,0,30,25,1140,-2.8333333333333335,"-2.8613224393050394,-2.8925465648466657,-2.8948042376948413,-2.906588738341159"
1.9833333333333334,35,Human,0,31,26,308,-1.9833333333333334,"-2.003017591286243,-2.478033602496319,-2.178723363049048,-2.8103830145433544"
1.6166666666666667,36,Human,1,32,3,1776,-1.6166666666666667,"-1.6502316382648798,-1.624417680337407,-1.6740075876622655,-1.6476821798686687"
3.4833333333333334,37,Human,1,33,27,1161,-3.4833333333333334,"-3.5463580438354856,-3.4756013620308455,-3.5182290193736443,-3.581686120629342"
5.283333333333333,38,Human,1,34,28,1238,-5.283333333333333,"-5.353005316380882,-5.326598692885191,-5.346890372966168,-5.3382329680533935"
0.9,39,Human,0,35,2,188,-0.9,"-0.899595217217297,-0.9235376404679052,-0.940172498200144,-1.008039356851452"
2.466666666666667,40,Human,1,36,2,1336,-2.466666666666667,"-2.4782473093928488,-2.446073632538287,-2.487402412479002,-2.4639766685043534"
4.7,41,Human,0,37,29,396,-4.7,"-4.650909634524054,-4.708088970370602,-4.683876221534106,-4.6728613435588855"
0.8166666666666667,42,Human,0,38,22,1729,-0.8166666666666667,"-0.8193561774100255,-0.8975089963991355,-1.713647906966962,-1.4767508587308211"
0.8666666666666667,43,Human,0,38,14,701,-0.8666666666666667,"-0.8466667098644576,-1.0688504919606432,-1.3815454763618913,-1.2517758579313656"
4.983333333333333,44,Human,0,39,30,694,-4.983333333333333,"-4.987373771731597,-4.997835261862502,-4.998811079155195,-4.997783137442621"
