travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
4.85,41,AV,1,37,29,396,-4.85,"0,0,0,0"
2.533333333333333,31,AV,0,27,6,452,-2.533333333333333,"0,0,0,0"
2.7,255,AV,2,93,57,1673,-2.7,"0,0,0,0"
1.8666666666666667,206,AV,2,145,95,367,-1.8666666666666667,"0,0,0,0"
4.283333333333333,20,AV,3,15,15,614,-4.283333333333333,"0,0,0,0"
2.3,159,AV,2,115,57,456,-2.3,"0,0,0,0"
2.25,249,AV,3,170,137,1797,-2.25,"0,0,0,0"
1.1666666666666667,132,AV,0,3,78,974,-1.1666666666666667,"0,0,0,0"
1.95,492,AV,3,193,2,1226,-1.95,"0,0,0,0"
5.133333333333334,120,AV,2,92,79,1081,-5.133333333333334,"0,0,0,0"
2.566666666666667,230,AV,2,158,129,518,-2.566666666666667,"0,0,0,0"
7.75,486,AV,0,28,147,34,-7.75,"0,0,0,0"
2.183333333333333,368,AV,3,58,181,118,-2.183333333333333,"0,0,0,0"
4.416666666666667,136,AV,2,102,57,371,-4.416666666666667,"0,0,0,0"
1.2,404,AV,3,240,60,802,-1.2,"0,0,0,0"
1.65,195,AV,3,97,74,1084,-1.65,"0,0,0,0"
2.3833333333333333,88,AV,3,72,64,545,-2.3833333333333333,"0,0,0,0"
5.016666666666667,323,AV,1,85,165,688,-5.016666666666667,"0,0,0,0"
3.9833333333333334,324,AV,2,208,166,1323,-3.9833333333333334,"0,0,0,0"
2.2333333333333334,512,AV,1,282,152,1042,-2.2333333333333334,"0,0,0,0"
3.033333333333333,398,AV,2,239,174,592,-3.033333333333333,"0,0,0,0"
1.4833333333333334,383,AV,0,166,187,150,-1.4833333333333334,"0,0,0,0"
3.2333333333333334,61,AV,1,50,44,682,-3.2333333333333334,"0,0,0,0"
1.1333333333333333,418,AV,0,186,66,509,-1.1333333333333333,"0,0,0,0"
2.033333333333333,440,AV,0,256,60,454,-2.033333333333333,"0,0,0,0"
2.7333333333333334,87,AV,1,71,48,551,-2.7333333333333334,"0,0,0,0"
3.9166666666666665,519,AV,1,225,172,196,-3.9166666666666665,"0,0,0,0"
4.45,169,AV,1,58,2,101,-4.45,"0,0,0,0"
2.6166666666666667,58,AV,0,40,42,1336,-2.6166666666666667,"0,0,0,0"
5.1,313,AV,0,201,161,577,-5.1,"0,0,0,0"
5.833333333333333,13,AV,1,13,10,1617,-5.833333333333333,"0,0,0,0"
3.0166666666666666,504,AV,2,277,214,1001,-3.0166666666666666,"0,0,0,0"
1.8166666666666667,172,AV,0,126,49,1630,-1.8166666666666667,"0,0,0,0"
7.15,314,AV,2,202,144,226,-7.15,"0,0,0,0"
5.066666666666666,370,AV,0,234,185,231,-5.066666666666666,"0,0,0,0"
3.8833333333333333,496,AV,2,193,104,185,-3.8833333333333333,"0,0,0,0"
25.483333333333334,208,AV,0,146,118,1608,-25.483333333333334,"0,0,0,0"
2.6666666666666665,220,AV,1,153,77,904,-2.6666666666666665,"0,0,0,0"
5.516666666666667,520,AV,2,249,105,672,-5.516666666666667,"0,0,0,0"
0.95,394,AV,0,184,161,373,-0.95,"0,0,0,0"
0.5166666666666667,109,AV,2,84,63,450,-0.5166666666666667,"0,0,0,0"
2.1333333333333333,42,AV,3,38,22,1729,-2.1333333333333333,"0,0,0,0"
1.6166666666666667,330,AV,0,22,161,1546,-1.6166666666666667,"0,0,0,0"
1.0,384,AV,3,184,0,787,-1.0,"0,0,0,0"
1.6166666666666667,462,AV,1,184,130,37,-1.6166666666666667,"0,0,0,0"
1.5333333333333334,349,AV,3,225,177,1028,-1.5333333333333334,"0,0,0,0"
1.6333333333333333,137,AV,0,103,69,1800,-1.6333333333333333,"0,0,0,0"
1.1833333333333333,57,AV,1,43,41,736,-1.1833333333333333,"0,0,0,0"
1.7166666666666666,391,AV,1,219,46,1052,-1.7166666666666666,"0,0,0,0"
2.933333333333333,435,AV,3,254,95,1289,-2.933333333333333,"0,0,0,0"
1.9833333333333334,171,AV,0,125,105,904,-1.9833333333333334,"0,0,0,0"
5.3,479,AV,1,263,139,17,-5.3,"0,0,0,0"
4.75,386,AV,2,240,71,1248,-4.75,"0,0,0,0"
1.7666666666666666,338,AV,2,217,173,740,-1.7666666666666666,"0,0,0,0"
5.45,457,AV,1,260,172,370,-5.45,"0,0,0,0"
5.183333333333334,69,AV,2,58,50,133,-5.183333333333334,"0,0,0,0"
2.55,453,AV,1,258,125,681,-2.55,"0,0,0,0"
3.316666666666667,318,AV,1,204,135,1687,-3.316666666666667,"0,0,0,0"
2.15,447,AV,1,206,36,1116,-2.15,"0,0,0,0"
1.2333333333333334,23,AV,3,21,18,492,-1.2333333333333334,"0,0,0,0"
2.8666666666666667,199,AV,1,141,47,1603,-2.8666666666666667,"0,0,0,0"
2.7333333333333334,301,AV,0,193,83,1250,-2.7333333333333334,"0,0,0,0"
0.5166666666666667,246,AV,0,167,12,1351,-0.5166666666666667,"0,0,0,0"
