travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
1.7833333333333334,0,Human,3,0,0,70,-1.7833333333333334,"-1.8287189814442693,-1.983495961379512,-1.9721714315675871,-1.7833333333333343"
1.1,1,Human,0,1,1,569,-1.1,"-1.0973158856320913,-1.1659875813824452,-1.132275048310469,-1.15532225849303"
1.8833333333333333,2,Human,0,2,2,1548,-1.8833333333333333,"-1.8651812582369796,-2.574181739422517,-1.9302277012964497,-3.0472335500748353"
1.6166666666666667,3,Human,0,3,3,850,-1.6166666666666667,"-1.610414529800921,-2.4360866736903546,-2.40289339637943,-1.6374306800621765"
2.7,4,Human,0,4,4,1175,-2.7,"-2.6966559329461885,-2.7506725421802996,-2.741844050783741,-2.792385931190331"
1.5,5,Human,0,5,5,154,-1.5,"-1.5000000000000002,-1.5318389036971736,-1.5356840285430229,-1.5272647961992571"
7.433333333333334,6,Human,0,6,6,637,-7.433333333333334,"-7.433208955470704,-7.447706666870245,-7.44304311630119,-7.444902658147866"
4.583333333333333,7,Human,0,7,7,1679,-4.583333333333333,"-4.584386975885404,-4.616495475745165,-4.727408073092447,-4.615013081457313"
5.35,8,Human,0,8,8,271,-5.35,"-5.3500000000000005,-5.459802697972378,-5.3582462272195,-5.358323224333421"
3.5,9,Human,1,9,9,131,-3.5,"-3.528238994616835,-3.499999999999999,-4.10445210458284,-3.529560510356603"
3.6666666666666665,10,Human,3,10,10,360,-3.6666666666666665,"-3.669039570167359,-3.669188509567526,-3.6714759370575796,-3.666666666660819"
3.3,11,Human,0,11,11,1541,-3.3,"-3.2991298893524412,-3.3676455042448636,-3.4958004455484724,-3.352479932625611"
3.2333333333333334,12,Human,0,12,12,1197,-3.2333333333333334,"-3.2353493676872267,-3.267563732644679,-6.477291190054137,-3.647989908706464"
2.6666666666666665,13,Human,0,13,13,1317,-2.6666666666666665,"-2.6686533139805273,-2.7110189192428593,-2.7290887164599464,-2.7112733074898965"
2.55,14,Human,0,14,5,1526,-2.55,"-2.543759935943748,-2.587261590562054,-2.557941058410406,-2.5928951484872256"
2.9166666666666665,15,Human,0,15,5,852,-2.9166666666666665,"-2.9148053051877545,-2.918171167682884,-2.9191339782159673,-2.9409778712913077"
3.5166666666666666,16,Human,1,16,14,595,-3.5166666666666666,"-3.541582250961379,-3.5112897079324865,-3.5423952699772,-3.5703389555632192"
3.1666666666666665,17,Human,3,17,15,1745,-3.1666666666666665,"-3.172240699203747,-3.3482323959101277,-3.3183220317644695,-3.161481576171568"
6.05,18,Human,2,18,16,257,-6.05,"-6.141990474335165,-6.102154424196352,-6.052684112712653,-6.153766592964616"
6.016666666666667,19,Human,2,19,17,476,-6.016666666666667,"-6.061111528344751,-6.023338952492421,-6.016442289653971,-6.01640215330331"
2.433333333333333,20,Human,2,20,18,810,-2.433333333333333,"-2.4456840877866988,-2.5115330618232914,-2.4333252476732827,-2.45875750340453"
4.583333333333333,21,Human,1,21,15,1026,-4.583333333333333,"-4.638782494354588,-4.58709100271722,-4.736911161942597,-4.925599616915307"
4.933333333333334,22,Human,1,22,19,1539,-4.933333333333334,"-4.954343728085328,-4.936374835298523,-5.11042154802886,-4.982974759727961"
5.35,23,Human,0,23,5,1235,-5.35,"-5.349081102948754,-5.410620712321475,-5.40192925524235,-5.426347002837682"
6.166666666666667,24,Human,1,24,20,1283,-6.166666666666667,"-6.166148725490658,-6.14893570535076,-6.166447813217104,-6.183522499555401"
3.6,25,Human,1,14,18,1571,-3.6,"-3.6128763618703807,-3.593200515701204,-3.6740824018592315,-3.7375500351328435"
2.8666666666666667,26,Human,0,25,21,958,-2.8666666666666667,"-2.867830808653317,-2.953588820707884,-2.921860777433319,-2.9337617637863844"
1.4833333333333334,27,Human,0,26,2,853,-1.4833333333333334,"-1.485999996779737,-1.5521037599777134,-1.5622730373070757,-1.494283189067779"
2.433333333333333,28,Human,0,27,22,1518,-2.433333333333333,"-2.42629822736472,-2.467709165347925,-2.4735829614248326,-2.483857531493519"
1.35,29,Human,1,28,23,1411,-1.35,"-1.4842174226061915,-1.3604374542806166,-1.6664266858651309,-1.8971322294216464"
2.216666666666667,30,Human,1,29,24,15,-2.216666666666667,"-2.2287026777305594,-2.216666666666666,-2.278135498980009,-2.231418638328469"
1.6333333333333333,31,Human,0,30,12,1230,-1.6333333333333333,"-1.6445166339672672,-1.8042561848248362,-1.7818872097146996,-1.842346436976519"
1.6,32,Human,0,31,22,587,-1.6,"-1.5946317726229682,-1.606196939942284,-1.798859975955825,-1.820108475355585"
2.933333333333333,33,Human,0,32,25,1187,-2.933333333333333,"-2.94595548437064,-3.067925331065472,-2.9851934386136083,-2.9899591138676147"
6.266666666666667,34,Human,1,33,5,1615,-6.266666666666667,"-6.317064320513081,-6.270598299735333,-6.300672292573585,-6.346367283194226"
2.8,35,Human,2,34,26,357,-2.8,"-2.9713839056140814,-2.8168520205548027,-2.799999998270794,-2.8885522408934774"
3.783333333333333,36,Human,0,18,12,1627,-3.783333333333333,"-3.7828332489282985,-3.8556151484284085,-6.602061098017322,-4.05820785333572"
1.7,37,Human,3,35,27,1708,-1.7,"-1.760131796419072,-1.7407745531341408,-1.7636254303132344,-1.7120522325268572"
2.8333333333333335,38,Human,0,27,3,1644,-2.8333333333333335,"-2.835521901298591,-3.339808162285794,-2.890267567130409,-2.8663989192639248"
3.466666666666667,39,Human,0,36,28,1309,-3.466666666666667,"-3.478809921968706,-3.5095804062031126,-3.5271190519718605,-3.5215812783245695"
3.783333333333333,40,Human,1,37,27,1318,-3.783333333333333,"-3.818248190549384,-3.784291754212711,-3.8556334724396155,-3.8185902439453763"
2.8,41,Human,3,18,2,466,-2.8,"-2.8121158273209934,-2.8600676555719473,-3.0089663367146717,-2.802684117716132"
2.15,42,Human,0,38,29,1605,-2.15,"-2.153361705754845,-2.3433827180980384,-2.183348777359641,-2.1729416359370615"
4.0,43,Human,0,24,12,807,-4.0,"-4.001716031004317,-4.034711845659561,-4.090080868056367,-4.601257853753452"
5.433333333333334,44,Human,0,35,15,800,-5.433333333333334,"-5.430373461983406,-5.451730289089852,-5.441916423725084,-5.526188341948156"
1.9833333333333334,45,Human,2,39,29,1219,-1.9833333333333334,"-1.9967902580239785,-1.9993630031168754,-1.988137353227923,-2.015913821066226"
1.1833333333333333,46,Human,0,40,18,234,-1.1833333333333333,"-1.183333333333333,-1.1888696558537022,-1.2333191043444016,-1.2145919017398177"
0.9333333333333333,47,Human,0,41,30,1734,-0.9333333333333333,"-0.9180256993247118,-0.9475274924944781,-0.9553612531780172,-1.3079122649779855"
2.3666666666666667,48,Human,0,17,12,981,-2.3666666666666667,"-2.36567783361933,-2.48314054202473,-2.494124437391948,-2.434420797915134"
6.516666666666667,49,Human,0,42,31,1027,-6.516666666666667,"-6.517578432727246,-6.529940693692812,-6.556683757969135,-6.531504455089044"
0.8333333333333334,50,Human,0,13,32,731,-0.8333333333333334,"-0.8305026155267794,-0.8702112975355731,-0.8353734340476928,-0.8623401348790058"
1.3666666666666667,51,Human,3,43,9,1262,-1.3666666666666667,"-1.4517851015920553,-1.4959567827130855,-1.4645194174513003,-1.3618238512756267"
2.65,52,Human,1,44,33,1236,-2.65,"-2.674485694353735,-2.644399653041292,-2.7153292389144577,-2.6552452872979635"
2.0,53,Human,0,18,9,13,-2.0,"-1.9999999999999996,-2.023588087651061,-2.104797919167668,-2.4765306122448982"
3.5833333333333335,54,Human,1,45,5,385,-3.5833333333333335,"-3.687841489044862,-3.583333331624001,-3.5894711594316506,-3.7262933497891604"
1.2333333333333334,55,Human,0,46,29,188,-1.2333333333333334,"-1.2333333333333343,-1.2604804119801414,-5.283043051633901,-4.74472534874281"
3.066666666666667,56,Human,1,47,12,208,-3.066666666666667,"-3.174546521289813,-3.0666666666666895,-3.2240118362748995,-3.1635938764044145"
3.3,57,Human,0,48,34,1156,-3.3,"-3.310659541640133,-3.3823828876518833,-3.3229206665402558,-3.328039404575936"
2.8,58,Human,1,0,35,445,-2.8,"-2.8359760915188255,-2.7999999982680577,-2.9372054227018385,-2.8341503901200515"
3.2333333333333334,59,Human,0,49,5,574,-3.2333333333333334,"-3.230649215791199,-3.2757014062644494,-3.261461197312508,-3.2739739399863614"
2.8333333333333335,60,Human,1,13,36,1415,-2.8333333333333335,"-2.8928866720719655,-2.853424593402444,-4.122106307833821,-2.890950389613506"
3.5,61,Human,0,36,34,1461,-3.5,"-3.497752492725763,-3.576379091583078,-3.576198823195598,-3.51607477357575"
5.883333333333334,62,Human,2,36,37,1184,-5.883333333333334,"-6.017754525994704,-5.889379204562801,-5.871458448350896,-6.016509107507309"
1.55,63,Human,1,50,38,1553,-1.55,"-1.5881573552649462,-1.545940014099076,-1.6131923749084374,-2.406735048230956"
3.5833333333333335,64,Human,0,51,11,1356,-3.5833333333333335,"-3.571088859283362,-3.5812957918430897,-3.583479500770803,-3.6241120998200755"
4.75,65,Human,1,52,23,1693,-4.75,"-5.1209245221520705,-4.90716771473514,-5.108775636998009,-4.990797446749764"
2.85,66,Human,0,53,12,1737,-2.85,"-2.8531637897687174,-2.884981563539743,-2.873737900516579,-2.884851799544408"
3.35,67,Human,1,54,39,1388,-3.35,"-3.3661916806216277,-3.349925824742994,-3.426801010627434,-3.4660851647786552"
4.883333333333334,68,Human,2,55,40,589,-4.883333333333334,"-5.024768004635441,-5.057478688909152,-4.885031917292325,-8.29944041118993"
3.2666666666666666,69,Human,0,56,34,124,-3.2666666666666666,"-3.2666666666664885,-3.3500481907871063,-3.358335896887566,-3.268329136116396"
4.833333333333333,70,Human,1,57,41,598,-4.833333333333333,"-4.874305136866254,-4.8333414194793,-4.859081735543236,-7.456518872446349"
5.283333333333333,71,Human,1,58,42,1258,-5.283333333333333,"-5.486554189931697,-5.2825721547407385,-5.404420797740821,-5.447917416822454"
6.2,72,Human,0,59,5,231,-6.2,"-6.197315884002995,-6.21577459120621,-6.261507904829321,-6.271862126254886"
3.9833333333333334,73,Human,0,49,5,1391,-3.9833333333333334,"-3.973232739116267,-4.018155566675915,-3.991475673156674,-4.046233988257939"
3.3333333333333335,74,Human,0,13,43,1735,-3.3333333333333335,"-3.3339262204658446,-3.397806003258323,-3.3936165591606846,-3.4168503686571827"
2.033333333333333,75,Human,0,60,9,1662,-2.033333333333333,"-2.0328355963905476,-2.098260533621656,-2.0854262754720323,-2.0661517811167665"
2.6666666666666665,76,Human,1,61,44,400,-2.6666666666666665,"-2.691744053024144,-2.669350777336294,-2.724412923939197,-2.9441199637916187"
2.6666666666666665,77,Human,0,62,5,175,-2.6666666666666665,"-2.6666666666666674,-2.8456953983897364,-2.8570199282016615,-2.6755206440520545"
2.283333333333333,78,Human,2,63,44,1553,-2.283333333333333,"-2.472222899238889,-2.7245988100063636,-2.2782341108465003,-2.32615362366689"
2.05,79,Human,1,64,29,1655,-2.05,"-2.050372895856742,-2.043225321674039,-2.0543361056988214,-2.0916895184613065"
1.7,80,Human,0,65,44,626,-1.7,"-1.6973158854169983,-1.7671439274399465,-1.8211940499742012,-1.8549394847931973"
5.6,81,Human,0,66,45,486,-5.6,"-5.602684112667495,-5.617537754453833,-5.7114508704727704,-5.619735809548174"
