travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
1.7833333333333334,0,Human,3,0,0,70,-1.7833333333333334,"-1.8287189814442693,-1.983495961379512,-1.9721714315675876,-1.7837371135539448"
1.1,1,Human,0,1,1,569,-1.1,"-1.0957767855051928,-1.1649209147157784,-1.1315283816438024,-1.15532225849303"
1.85,2,Human,0,2,2,1548,-1.85,"-1.8644105933303685,-2.574181739422517,-1.9235610346297831,-3.0472335500748358"
1.6,3,Human,0,3,3,850,-1.6,"-1.6056500037931742,-2.4360866736903546,-2.40289339637943,-1.618080616744387"
2.7,4,Human,0,4,4,1175,-2.7,"-2.6967150789690177,-2.7382725421802996,-2.7435507174504075,-2.793052597856998"
1.5,5,Human,0,5,5,154,-1.5,"-1.499932546001577,-1.5318389036971736,-1.5323506952096895,-1.5272647961992571"
7.433333333333334,6,Human,0,6,6,637,-7.433333333333334,"-7.325184808413134,-7.300814916472526,-7.307702326027743,-7.307259867356038"
4.516666666666667,7,Human,0,7,7,1679,-4.516666666666667,"-4.562624227838878,-4.589257354352773,-4.730074739759114,-4.590403087125581"
5.4,8,Human,2,8,8,271,-5.4,"-5.330942429422263,-5.457920031305712,-5.342400338744318,-5.363591491000086"
3.4833333333333334,9,Human,1,9,9,131,-3.4833333333333334,"-3.501866913631518,-3.4869420664997,-4.10445210458284,-3.5308458436899364"
3.716666666666667,10,Human,2,10,10,360,-3.716666666666667,"-3.556334976074155,-3.5686579424620923,-3.5826951610085516,-3.5516716987233874"
3.3333333333333335,11,Human,0,11,11,1541,-3.3333333333333335,"-3.301436697367566,-3.3676455042448636,-3.5072671122151386,-3.3217398889020138"
3.2666666666666666,12,Human,0,12,12,1197,-3.2666666666666666,"-3.234086168618586,-3.2643637326446786,-6.477291190054137,-3.647989908706464"
2.6666666666666665,13,Human,0,13,13,1317,-2.6666666666666665,"-2.6769607949720906,-2.7287149192428597,-2.7309553831266133,-2.7170567741565623"
2.55,14,Human,0,14,5,1526,-2.55,"-2.5475835253156927,-2.580201537228721,-2.5715410584104053,-2.586415361820559"
2.8833333333333333,15,Human,0,15,5,852,-2.8833333333333333,"-2.8684720019122842,-2.8748740116569387,-2.9102721115493004,-2.888725795114134"
3.5,16,Human,1,16,14,595,-3.5,"-3.552750250961379,-3.5045211647476466,-3.5110539715888334,-3.556340022229886"
3.1666666666666665,17,Human,3,17,15,1745,-3.1666666666666665,"-3.1644295847188944,-3.3482323959101277,-3.3183220317644695,-3.1591309459198955"
