travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
1.8,0,Human,3,0,0,70,-1.8,"-1.8287189814442693,-1.983495961379512,-1.9721714315675876,-1.7917878818755333"
1.1,1,Human,0,1,1,569,-1.1,"-1.079662399774571,-1.0783178100613897,-1.0861771437214196,-1.15532225849303"
1.8666666666666667,2,Human,0,2,2,1548,-1.8666666666666667,"-1.8779317685356332,-2.574181739422517,-1.9302277012964497,-3.0472335500748358"
1.6,3,Human,0,3,3,850,-1.6,"-1.5992942964421146,-2.4360866736903546,-2.40289339637943,-1.6022354375971501"
2.7,4,Human,0,4,4,1175,-2.7,"-2.6542991860456704,-2.7506725421802996,-2.741844050783741,-2.792385931190331"
1.5,5,Human,0,5,5,154,-1.5,"-1.4857160602278454,-1.4981319629548002,-1.5356840285430229,-1.5272647961992571"
7.483333333333333,6,Human,1,6,6,637,-7.483333333333333,"-6.806444100360215,-6.835817987816537,-6.709308404955072,-6.7196420980372"
4.633333333333334,7,Human,3,7,7,1679,-4.633333333333334,"-4.442338340850482,-4.466221661941991,-4.550926758032226,-4.468316929284605"
5.333333333333333,8,Human,0,8,8,271,-5.333333333333333,"-5.082370339192717,-5.127816715581841,-5.063911799771388,-5.027588371354302"
3.533333333333333,9,Human,0,9,9,131,-3.533333333333333,"-3.3915294092993427,-3.4286335439634605,-4.10445210458284,-3.377787455123572"
3.6333333333333333,10,Human,3,10,10,360,-3.6333333333333333,"-3.22071810152547,-3.2222826692798283,-3.250574728277654,-3.29251540137197"
3.2666666666666666,11,Human,0,11,11,1541,-3.2666666666666666,"-3.22349577040995,-3.3676455042448636,-3.265583890268924,-3.2248957017427293"
3.5,12,Human,1,12,12,1197,-3.5,"-3.211011078064452,-3.267563732644679,-6.477291190054137,-3.647989908706464"
2.9,13,Human,3,13,13,1317,-2.9,"-2.620406671929117,-2.642940315720241,-2.6446942289082664,-2.6640916343623706"
2.816666666666667,14,Human,3,14,5,1526,-2.816666666666667,"-2.4729566078935967,-2.4655129019198756,-2.557941058410406,-2.5327856022756983"
3.1333333333333333,15,Human,3,15,5,852,-3.1333333333333333,"-2.701599155393635,-2.660955305021822,-2.6861468409624476,-2.751128654865835"
3.5,16,Human,1,16,14,595,-3.5,"-3.3316389337938204,-3.3637350450446024,-3.3508481953242986,-3.3713629514008634"
3.15,17,Human,3,17,15,1745,-3.15,"-3.081321345801272,-3.1602904948876596,-3.1270692063722536,-3.0816738666575914"
6.216666666666667,18,Human,1,18,16,257,-6.216666666666667,"-5.939988092918955,-5.936835345531457,-5.879799653772077,-5.988041574539103"
6.05,19,Human,2,19,17,476,-6.05,"-5.664262175614437,-5.642318580604309,-5.704785999832828,-5.6188262136078055"
2.466666666666667,20,Human,0,20,18,810,-2.466666666666667,"-2.374377646764306,-2.435249660612447,-2.3616570420900524,-2.3692802125889956"
4.666666666666667,21,Human,1,21,15,1026,-4.666666666666667,"-4.495790594941213,-4.496940424636426,-4.554472285761579,-4.925599616915307"
4.933333333333334,22,Human,1,22,19,1539,-4.933333333333334,"-4.863835547833259,-4.874810925888671,-5.11042154802886,-4.899439728741605"
5.35,23,Human,0,23,5,1235,-5.35,"-5.351494159481706,-5.410620712321475,-5.40192925524235,-5.426347002837682"
6.383333333333334,24,Human,3,24,20,1283,-6.383333333333334,"-5.953736811198953,-5.936703569742369,-5.958479247692167,-5.9995882152774715"
3.6166666666666667,25,Human,0,14,18,1571,-3.6166666666666667,"-3.5554727506858885,-3.549229444786085,-3.6740824018592315,-3.6052708772493873"
3.0833333333333335,26,Human,3,25,21,958,-3.0833333333333335,"-2.7378683665093932,-2.7080510821117514,-2.7604051642577843,-2.780524278228614"
1.55,27,Human,3,26,2,853,-1.55,"-1.4341794758737283,-1.4817963666388083,-1.4695079633005113,-1.4535674829184042"
2.566666666666667,28,Human,0,27,22,1518,-2.566666666666667,"-2.4344783359908764,-2.467709165347925,-2.417056710559634,-2.483857531493519"
1.3666666666666667,29,Human,1,28,23,1411,-1.3666666666666667,"-1.3761051115910727,-1.358395581778539,-1.6664266858651309,-1.8971322294216464"
2.316666666666667,30,Human,3,29,24,15,-2.316666666666667,"-2.2287026777305594,-2.1886160798410055,-2.278135498980009,-2.2101066312439195"
1.6333333333333333,31,Human,0,30,12,1230,-1.6333333333333333,"-1.6753528527210855,-1.7316502887888061,-1.694025678810041,-1.7445997128873152"
1.5833333333333333,32,Human,0,31,22,587,-1.5833333333333333,"-1.5815297305863445,-1.606196939942284,-1.798859975955825,-1.820108475355585"
2.933333333333333,33,Human,0,32,25,1187,-2.933333333333333,"-2.8394737989476138,-2.93490666383184,-2.853948081167096,-2.8811861154181475"
6.55,34,Human,3,33,5,1615,-6.55,"-6.148538000801688,-6.12408919293554,-6.1353001934576445,-6.173113183322053"
2.783333333333333,35,Human,2,34,26,357,-2.783333333333333,"-2.9713839056140814,-2.8168520205548027,-2.7564312241560627,-2.76902363445018"
3.8,36,Human,0,18,12,1627,-3.8,"-3.765674386804866,-3.790352268868844,-6.602061098017322,-3.772759816669649"
1.7166666666666666,37,Human,3,35,27,1708,-1.7166666666666666,"-1.7001647455238396,-1.7093015247510093,-1.7211984545582095,-1.699705238290075"
2.816666666666667,38,Human,0,27,3,1644,-2.816666666666667,"-2.789929187082933,-3.3398081622857934,-2.890267567130409,-2.814164978016549"
3.4833333333333334,39,Human,0,36,28,1309,-3.4833333333333334,"-3.3020751211165957,-3.2578890127842994,-3.2575166380977163,-3.2949412719512576"
3.8833333333333333,40,Human,3,37,27,1318,-3.8833333333333333,"-3.4916632934826923,-3.5030741915379147,-3.4735192198232787,-3.551634484122508"
2.8,41,Human,3,18,2,466,-2.8,"-2.8121158273209934,-2.8600676555719478,-3.008966336714672,-2.7971189081645234"
2.15,42,Human,0,38,29,1605,-2.15,"-2.0936270845534124,-2.141728397622548,-2.1250193050328847,-2.092403082528632"
4.0,43,Human,0,24,12,807,-4.0,"-3.9822586343696402,-4.034711845659561,-4.090080868056367,-4.601257853753452"
5.566666666666666,44,Human,1,35,15,800,-5.566666666666666,"-5.214221148366029,-5.270370171931604,-5.2037664682709375,-5.256544284293992"
1.9,45,Human,2,39,29,1219,-1.9,"-1.757721318285914,-1.7342582604864443,-1.7521235671086521,-1.727455101723915"
1.1666666666666667,46,Human,0,40,18,234,-1.1666666666666667,"-1.1654219705217908,-1.1888696558537022,-1.1833155470971686,-1.1724065438414388"
0.9,47,Human,0,41,30,1734,-0.9,"-0.9084716444886619,-0.9475274924944781,-0.9108682331391882,-1.3079122649779855"
2.35,48,Human,0,17,12,981,-2.35,"-2.3337281065809834,-2.4080923441975792,-2.3468222134066012,-2.368025997393918"
6.533333333333333,49,Human,3,42,31,1027,-6.533333333333333,"-6.156396862228395,-6.143682943805371,-6.134401705160106,-6.197886666008886"
0.8333333333333334,50,Human,0,13,32,731,-0.8333333333333334,"-0.8068126885158073,-0.8127641219194663,-0.8192167925596159,-0.8154251685987571"
1.3333333333333333,51,Human,3,43,9,1262,-1.3333333333333333,"-1.3388057264505802,-1.3949459783913567,-1.3737282564343234,-1.3280480191857593"
2.7666666666666666,52,Human,0,44,33,1236,-2.7666666666666666,"-2.4707693309134977,-2.4059025210701344,-2.413273253088133,-2.4359178563589587"
1.9833333333333334,53,Human,0,18,9,13,-1.9833333333333334,"-1.9825883079157258,-1.9836517762304924,-2.104797919167668,-2.4765306122448982"
3.6,54,Human,2,45,5,385,-3.6,"-3.5181351946394104,-3.4376723904776845,-3.4431242348924638,-3.549533353903117"
1.25,55,Human,0,46,29,188,-1.25,"-1.2295293502373739,-1.2256005149751767,-5.283043051633901,-4.74472534874281"
3.5833333333333335,56,Human,3,47,12,208,-3.5833333333333335,"-3.0931831516122656,-3.0654434651039457,-3.1383481286769572,-3.1635938764044145"
3.3,57,Human,0,48,34,1156,-3.3,"-3.1748481044615344,-3.2224732619560665,-3.148698424810747,-3.205882589053253"
2.816666666666667,58,Human,1,0,35,445,-2.816666666666667,"-2.7699701143985314,-2.769704772502991,-2.7798401117106315,-2.8341503901200515"
3.3666666666666667,59,Human,2,49,5,574,-3.3666666666666667,"-3.1560530866275123,-3.2757014062644494,-3.19707478746746,-3.1591340916496184"
2.8333333333333335,60,Human,1,13,36,1415,-2.8333333333333335,"-2.8204817813905567,-2.813629122810741,-4.122106307833821,-2.8909503896135065"
3.5,61,Human,0,36,34,1461,-3.5,"-3.447212751198684,-3.4579738644788476,-3.576198823195598,-3.51607477357575"
5.883333333333334,62,Human,2,36,37,1184,-5.883333333333334,"-5.628783113533391,-5.51114334533514,-5.563372138802567,-5.612253813813503"
1.6333333333333333,63,Human,0,50,38,1553,-1.6333333333333333,"-1.5305156678351806,-1.5131546127254256,-1.5623238019688799,-2.406735048230956"
4.133333333333334,64,Human,3,51,11,1356,-4.133333333333334,"-3.367393972041543,-3.358501403062497,-3.3447076463020826,-3.4843067914417607"
4.766666666666667,65,Human,1,52,23,1693,-4.766666666666667,"-4.766027899195944,-4.653497212940043,-4.747045266142722,-4.679161679849798"
2.85,66,Human,0,53,12,1737,-2.85,"-2.8374083201469498,-2.884981563539743,-2.873737900516579,-2.8350222970647962"
3.533333333333333,67,Human,1,54,39,1388,-3.533333333333333,"-3.254796871039954,-3.308369494099457,-3.321001263284292,-3.3326064559733184"
4.916666666666667,68,Human,2,55,40,589,-4.916666666666667,"-5.024768004635441,-5.057478688909152,-4.888251363176346,-8.29944041118993"
3.25,69,Human,0,56,34,124,-3.25,"-3.1950304171791246,-3.187560238483883,-3.358335896887566,-3.1885602421432306"
4.866666666666666,70,Human,2,57,41,598,-4.866666666666666,"-4.690514537148805,-4.680326811707755,-4.681316929319908,-7.456518872446349"
5.55,71,Human,2,58,42,1258,-5.55,"-5.085240921768276,-5.092708707107673,-5.152123953920875,-5.264063437694734"
6.283333333333333,72,Human,1,59,5,231,-6.283333333333333,"-5.947382654993396,-5.971198239159426,-6.047718214369983,-5.966451238939925"
3.933333333333333,73,Human,0,49,5,1391,-3.933333333333333,"-3.8332577964300265,-3.8393611250115596,-3.8257988408007937,-3.8911258186557562"
3.3333333333333335,74,Human,0,13,43,1735,-3.3333333333333335,"-3.27650742857547,-3.3347575040729036,-3.3378540322841883,-3.4168503686571827"
2.033333333333333,75,Human,0,60,9,1662,-2.033333333333333,"-1.9913368786901784,-2.0269923336937365,-2.023449511006707,-2.0160230597292914"
2.65,76,Human,1,61,44,400,-2.65,"-2.691744053024144,-2.6640741011276754,-2.6680161549239965,-2.9441199637916187"
2.7333333333333334,77,Human,3,62,5,175,-2.7333333333333334,"-2.6443426460210673,-2.8456953983897364,-2.857019928201661,-2.6617510063313348"
2.2666666666666666,78,Human,2,63,44,1553,-2.2666666666666666,"-2.472222899238889,-2.724598810006364,-2.2699473213736336,-2.32615362366689"
2.033333333333333,79,Human,1,64,29,1655,-2.033333333333333,"-1.893300740013408,-1.918588968698905,-1.9148179663870966,-1.902518590744739"
1.7,80,Human,0,65,44,626,-1.7,"-1.6772017270571573,-1.6922632426332664,-1.8211940499742008,-1.8549394847931973"
5.583333333333333,81,Human,0,66,45,486,-5.583333333333333,"-5.402288429903667,-5.376088859733958,-5.430391985113701,-5.387584056137309"
4.016666666666667,82,Human,2,67,12,1091,-4.016666666666667,"-3.747065193035053,-3.744698212505662,-3.796625534799879,-5.126451514190461"
3.7666666666666666,83,Human,1,54,23,191,-3.7666666666666666,"-3.7345836681983204,-3.7355351733840325,-5.150099598541385,-3.8213815630233112"
3.8333333333333335,84,Human,2,66,3,836,-3.8333333333333335,"-3.7819418986887143,-3.690862185730765,-3.7061019880673483,-3.6862179677945757"
4.216666666666667,85,Human,1,68,46,1436,-4.216666666666667,"-4.007357388826666,-4.030395500519562,-4.145245068457951,-4.047081289195345"
1.6333333333333333,86,Human,0,69,47,414,-1.6333333333333333,"-1.611371988292594,-1.6124724344789347,-1.6484261414861123,-1.672308808332548"
2.85,87,Human,1,70,29,1390,-2.85,"-2.7076343974209456,-2.7275431761715456,-2.7725893046923593,-2.8283604131357367"
2.783333333333333,88,Human,0,71,12,593,-2.783333333333333,"-2.7196328621400823,-2.7207046025660766,-2.77933690544115,-2.752220001313245"
3.25,89,Human,2,72,9,117,-3.25,"-3.1189366048613256,-3.1492174990791373,-3.119895418622089,-3.1048093858133607"
3.4,90,Human,0,20,48,1026,-3.4,"-3.2242662712723384,-3.191464288292711,-3.2375301037524475,-3.2285957808897496"
3.5,91,Human,0,73,49,1440,-3.5,"-3.454116227417652,-3.5890894394330806,-3.562550798634789,-3.4617017198286084"
2.9166666666666665,92,Human,1,74,50,1424,-2.9166666666666665,"-2.6236470244508148,-2.681402152625954,-2.624974421040048,-3.199372535165274"
1.2333333333333334,93,Human,0,41,51,1790,-1.2333333333333334,"-1.2378774543810132,-1.2597639055622252,-1.2426897084704387,-1.3681273805418497"
2.6333333333333333,94,Human,1,27,18,1027,-2.6333333333333333,"-2.6167144086309597,-2.611572950720647,-2.7605642256902767,-2.6579871948779514"
3.566666666666667,95,Human,3,75,52,494,-3.566666666666667,"-3.2582809106801656,-3.4396315812430083,-3.2684597203012413,-3.306698714884728"
3.9,96,Human,3,76,12,922,-3.9,"-3.3451037845027765,-3.3285628588388776,-3.3946981568725403,-3.4407140953314377"
3.183333333333333,97,Human,0,77,34,1433,-3.183333333333333,"-3.0138653012082477,-3.0186850584502496,-4.35550373582626,-3.0229914041053543"
1.95,98,Human,1,78,44,465,-1.95,"-1.5485044335401117,-1.6272592109442772,-2.0883988440588617,-1.5576277065181725"
