travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
3.7666666666666666,138,AV,0,68,70,1619,-3.8129129129129127,"0,0,0,0"
3.033333333333333,15,AV,1,15,5,852,-3.8129129129129127,"0,0,0,0"
5.883333333333334,193,AV,1,21,39,1708,-3.812912912912913,"0,0,0,0"
5.716666666666667,81,AV,3,66,45,486,-3.812912912912913,"0,0,0,0"
2.816666666666667,14,AV,3,14,5,1526,-3.8129129129129127,"0,0,0,0"
4.483333333333333,12,AV,3,12,12,1197,-3.812912912912913,"0,0,0,0"
4.633333333333334,154,AV,1,28,3,1616,-3.812912912912913,"0,0,0,0"
3.8833333333333333,126,AV,2,93,66,1485,-3.812912912912913,"0,0,0,0"
1.4,133,AV,2,13,25,640,-3.812912912912913,"0,0,0,0"
3.5166666666666666,142,AV,3,36,74,1338,-3.8129129129129122,"0,0,0,0"
4.05,43,AV,0,24,12,807,-3.8129129129129122,"0,0,0,0"
4.066666666666666,17,AV,2,17,15,1745,-3.8129129129129127,"0,0,0,0"
1.4,139,AV,3,41,71,1711,-3.8129129129129127,"0,0,0,0"
6.35,24,AV,3,24,20,1283,-3.8129129129129127,"0,0,0,0"
2.183333333333333,53,AV,1,18,9,13,-3.8129129129129127,"0,0,0,0"
4.716666666666667,21,AV,0,21,15,1026,-3.812912912912913,"0,0,0,0"
6.516666666666667,167,AV,0,64,84,1329,-3.812912912912913,"0,0,0,0"
5.066666666666666,22,AV,3,22,19,1539,-3.812912912912913,"0,0,0,0"
5.733333333333333,189,AV,0,128,40,1295,-3.812912912912913,"0,0,0,0"
3.2666666666666666,69,AV,3,56,34,124,-3.812912912912913,"0,0,0,0"
3.1,114,AV,1,89,58,791,-3.812912912912913,"0,0,0,0"
2.0166666666666666,37,AV,2,35,27,1708,-3.8129129129129127,"0,0,0,0"
2.7,164,AV,3,113,77,326,-3.812912912912913,"0,0,0,0"
4.566666666666666,74,AV,3,13,43,1735,-3.812912912912913,"0,0,0,0"
3.216666666666667,170,AV,2,100,85,162,-3.812912912912913,"0,0,0,0"
6.4,175,AV,3,120,28,17,-3.8129129129129127,"0,0,0,0"
3.65,10,AV,3,10,10,360,-3.812912912912913,"0,0,0,0"
2.1166666666666667,183,AV,3,124,57,1522,-3.8129129129129127,"0,0,0,0"
2.533333333333333,28,AV,2,27,22,1518,-3.8129129129129127,"0,0,0,0"
4.533333333333333,123,AV,1,17,4,830,-3.8129129129129127,"0,0,0,0"
2.6,198,AV,0,130,47,1777,-3.812912912912913,"0,0,0,0"
2.5166666666666666,176,AV,3,121,18,1747,-3.812912912912913,"0,0,0,0"
4.316666666666666,169,AV,3,116,15,399,-3.812912912912913,"0,0,0,0"
1.65,156,AV,3,108,63,162,-3.8129129129129136,"0,0,0,0"
