travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
2.816666666666667,138,AV,1,68,70,1619,-2.816666666666667,"0,0,0,0"
3.3666666666666667,15,AV,2,15,5,852,-3.3666666666666667,"0,0,0,0"
3.7,193,AV,2,21,39,1708,-3.7,"0,0,0,0"
6.566666666666666,81,AV,1,66,45,486,-6.566666666666666,"0,0,0,0"
3.1,14,AV,2,14,5,1526,-3.1,"0,0,0,0"
4.566666666666666,12,AV,3,12,12,1197,-4.566666666666666,"0,0,0,0"
3.816666666666667,154,AV,2,28,3,1616,-3.816666666666667,"0,0,0,0"
4.333333333333333,126,AV,3,93,66,1485,-4.333333333333333,"0,0,0,0"
1.1333333333333333,133,AV,1,13,25,640,-1.1333333333333333,"0,0,0,0"
5.0,142,AV,1,36,74,1338,-5.0,"0,0,0,0"
6.2,43,AV,3,24,12,807,-6.2,"0,0,0,0"
4.05,17,AV,2,17,15,1745,-4.05,"0,0,0,0"
1.1,139,AV,1,41,71,1711,-1.1,"0,0,0,0"
6.216666666666667,24,AV,0,24,20,1283,-6.216666666666667,"0,0,0,0"
2.7666666666666666,53,AV,2,18,9,13,-2.7666666666666666,"0,0,0,0"
5.416666666666667,21,AV,2,21,15,1026,-5.416666666666667,"0,0,0,0"
6.533333333333333,167,AV,3,64,84,1329,-6.533333333333333,"0,0,0,0"
4.966666666666667,22,AV,0,22,19,1539,-4.966666666666667,"0,0,0,0"
6.1,189,AV,2,128,40,1295,-6.1,"0,0,0,0"
3.2333333333333334,69,AV,0,56,34,124,-3.2333333333333334,"0,0,0,0"
3.6,114,AV,3,89,58,791,-3.6,"0,0,0,0"
2.033333333333333,37,AV,0,35,27,1708,-2.033333333333333,"0,0,0,0"
2.7,164,AV,3,113,77,326,-2.7,"0,0,0,0"
3.6333333333333333,74,AV,1,13,43,1735,-3.6333333333333333,"0,0,0,0"
3.25,170,AV,3,100,85,162,-3.25,"0,0,0,0"
4.816666666666666,175,AV,1,120,28,17,-4.816666666666666,"0,0,0,0"
3.65,10,AV,1,10,10,360,-3.65,"0,0,0,0"
1.9,183,AV,2,124,57,1522,-1.9,"0,0,0,0"
2.566666666666667,28,AV,0,27,22,1518,-2.566666666666667,"0,0,0,0"
3.7666666666666666,123,AV,0,17,4,830,-3.7666666666666666,"0,0,0,0"
2.5833333333333335,198,AV,0,130,47,1777,-2.5833333333333335,"0,0,0,0"
