travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
8.05,0,Human,0,0,0,5,-8.05,"-8.05170543616001,-8.070590215977697,-8.19187702938096,-8.253235539580146"
4.216666666666667,1,Human,1,1,1,5,-4.216666666666667,"-4.2383304931049555,-4.230143997514924,-4.241959085518211,-4.319432447310005"
0.65,2,Human,0,2,2,11,-0.65,"-0.6489440113309244,-1.310544909108352,-3.4010860355661343,-6.968603352067967"
3.1333333333333333,3,Human,0,0,3,11,-3.1333333333333333,"-3.1394716204487834,-3.194007740835856,-3.166473631226894,-3.1480582258753"
3.1,4,Human,0,3,3,11,-3.1,"-3.0999999999969687,-3.1100041610324483,-3.1257105369907086,-3.16233295732692"
5.483333333333333,5,Human,1,4,3,12,-5.483333333333333,"-5.4878907330694755,-5.42381366859717,-5.482314410690256,-5.457135620376521"
2.55,6,Human,0,4,4,13,-2.55,"-2.5499999839986707,-2.608908923052675,-2.549999980674171,-2.6460978615056114"
5.316666666666666,7,Human,1,4,3,15,-5.316666666666666,"-5.353495976366229,-5.304204327163658,-5.335500298446071,-5.335119742722551"
5.466666666666667,8,Human,1,4,3,17,-5.466666666666667,"-5.647821328840291,-5.456456309776527,-5.637056796336433,-5.513203211272746"
2.4833333333333334,9,Human,0,5,2,25,-2.4833333333333334,"-2.4833333333333205,-2.485490140252408,-2.6061428178355577,-2.5457245827517476"
5.233333333333333,10,Human,1,4,3,26,-5.233333333333333,"-5.242137596405568,-5.215807377542345,-5.27544492564607,-5.236456455214559"
5.15,11,Human,1,4,3,28,-5.15,"-5.236703827032897,-5.209051135678772,-5.259936637069147,-5.227976455214558"
2.8833333333333333,12,Human,3,0,3,30,-2.8833333333333333,"-2.8833333069813722,-2.9917063985250394,-3.005779227656692,-2.883333311382442"
4.566666666666666,13,Human,0,6,5,31,-4.566666666666666,"-4.566669308465622,-4.676269834413247,-4.713764025560224,-4.8210788576913854"
4.316666666666666,14,Human,2,1,1,33,-4.316666666666666,"-4.2835060395556726,-4.270559065358967,-4.277832921994181,-4.268715716958756"
5.016666666666667,15,Human,1,4,3,37,-5.016666666666667,"-5.077110396405567,-5.013164026975861,-5.064502129669767,-5.0882106807576"
0.8666666666666667,16,Human,0,7,6,39,-0.8666666666666667,"-0.8730180855532936,-1.050407967362611,-1.9828099562359145,-1.7689318636021725"
1.7,17,Human,0,8,7,55,-1.7,"-1.693945483702417,-1.8473539313493574,-1.7564462968772823,-2.4700871133190496"
1.9166666666666667,18,Human,0,9,8,56,-1.9166666666666667,"-1.9114437927225472,-2.2914863789314124,-1.9407669544709805,-2.02419510611813"
4.116666666666666,19,Human,0,8,9,57,-4.116666666666666,"-4.117149811059592,-4.161405672535118,-4.371394225468446,-4.143202815672102"
4.65,20,Human,1,4,3,57,-4.65,"-4.662930130457788,-4.634353801576963,-4.677267662087208,-4.892557877939414"
2.7666666666666666,21,Human,0,10,5,58,-2.7666666666666666,"-2.7821286146538213,-2.9592442633842597,-2.9450662495091633,-2.9023907936104614"
3.25,22,Human,0,11,4,60,-3.25,"-3.256723950708457,-3.2592781107930247,-3.5063778791678244,-3.269826149276531"
4.1,23,Human,0,7,9,61,-4.1,"-4.1002292415466295,-4.111589748450205,-4.106799598200616,-4.241343014274058"
4.216666666666667,24,Human,3,12,10,69,-4.216666666666667,"-4.474227314977038,-4.439119059398873,-4.816947161091992,-4.208039350437754"
2.8333333333333335,25,Human,1,11,3,72,-2.8333333333333335,"-3.0028407475301133,-2.8385514599773103,-3.0853057565718864,-2.9147564857476467"
2.4,26,Human,0,13,11,72,-2.4,"-2.401706759629604,-2.477549441662914,-2.4474306522655143,-2.4677665635893526"
4.433333333333334,27,Human,1,11,3,73,-4.433333333333334,"-4.440382018253868,-4.416311002634221,-4.471392990313477,-4.462856738583123"
4.3,28,Human,1,11,3,75,-4.3,"-4.385061454603095,-4.309650260685185,-4.375211813707168,-4.378965880845585"
3.933333333333333,29,Human,2,11,2,77,-3.933333333333333,"-4.226658430525559,-4.2038518267332865,-3.9250824210605146,-4.38183821539559"
4.433333333333334,30,Human,1,4,3,77,-4.433333333333334,"-4.5106633277170305,-4.455116036042318,-4.510217910942343,-4.487837347424266"
4.216666666666667,31,Human,1,11,3,79,-4.216666666666667,"-4.498762787936428,-4.26429173689611,-4.497874571225179,-4.46481758989557"
1.4166666666666667,32,Human,1,0,12,80,-1.4166666666666667,"-1.5797883387889395,-1.417758933347577,-1.7353931820616333,-1.713404386543426"
4.433333333333334,33,Human,1,4,3,81,-4.433333333333334,"-4.507783327717031,-4.3957310494530635,-4.589134328753875,-4.423163350946998"
3.4166666666666665,34,Human,2,13,4,82,-3.4166666666666665,"-3.4715486004336937,-3.4475044227626253,-3.4066736524457664,-3.5103755025984476"
2.316666666666667,35,Human,0,14,3,82,-2.316666666666667,"-2.307311549868046,-2.3473988038547606,-2.3495078940013325,-2.5031429159136662"
4.366666666666666,36,Human,1,11,3,82,-4.366666666666666,"-4.423963570188336,-4.387608435177606,-4.4308765473648055,-4.62337758989557"
5.1,37,Human,1,0,2,82,-5.1,"-5.355428967338973,-5.113556974382739,-5.265024143952439,-5.154882925523734"
4.316666666666666,38,Human,1,4,3,83,-4.316666666666666,"-4.405595826312955,-4.268029716072442,-4.345599570402481,-4.403163350946999"
4.35,39,Human,1,4,3,86,-4.35,"-4.408395826312955,-4.311734413178139,-4.43168457760901,-4.401696684280333"
1.95,40,Human,3,0,3,88,-1.95,"-2.2265827327770618,-2.2557912476953743,-2.2777800432135815,-1.9517369726998082"
4.333333333333333,41,Human,1,11,3,89,-4.333333333333333,"-4.579403570188335,-4.326164131506719,-4.374876547364806,-4.567164256562236"
4.333333333333333,42,Human,1,11,3,91,-4.333333333333333,"-4.353454462735419,-4.31590869606427,-4.374876547364806,-4.56689758989557"
6.55,43,Human,0,11,2,92,-6.55,"-6.534078403062589,-6.681178620620778,-6.53858990374448,-6.56832473921218"
