travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
8.066666666666666,0,Human,0,0,0,5,-8.066666666666666,"-7.837403532162873,-7.803344089866557,-7.847012953392866,-7.905411091141847"
4.283333333333333,1,Human,1,1,1,5,-4.283333333333333,"-4.054826395476493,-4.017209904355578,-3.9832362313875977,-3.970385498315439"
0.65,2,Human,0,2,2,11,-0.65,"-0.6432052048593899,-1.310544909108352,-3.4010860355661343,-6.968603352067967"
3.6,3,Human,2,0,3,11,-3.6,"-2.9408388487900448,-3.0121854283893588,-3.0536187057002833,-2.9501295988272047"
3.1,4,Human,0,3,3,11,-3.1,"-2.9839308365446358,-2.9959140870164984,-2.995599449033305,-2.984186912489979"
5.633333333333334,5,Human,2,4,3,12,-5.633333333333334,"-5.15253226379112,-5.0489787136401185,-5.139535570402481,-5.119557041881225"
2.55,6,Human,2,4,4,13,-2.55,"-2.4511968336685657,-2.608908923052675,-2.4609346666620917,-2.6460978615056114"
5.55,7,Human,3,4,3,15,-5.55,"-5.008815996405567,-5.026513822069427,-5.079597437069147,-5.107412188547892"
5.383333333333334,8,Human,1,4,3,17,-5.383333333333334,"-5.379169994383697,-5.291452750560497,-5.344414328753874,-5.361997877939412"
2.5,9,Human,1,5,2,25,-2.5,"-2.401181090479575,-2.411241722145242,-2.473385188961114,-2.397522395106351"
5.116666666666666,10,Human,1,4,3,26,-5.116666666666666,"-5.005911995506959,-5.011031971902854,-5.031041703735813,-5.045293877939413"
5.15,11,Human,1,4,3,28,-5.15,"-5.217458662173625,-5.009609727866246,-5.01392597040248,-5.080483211272746"
2.8333333333333335,12,Human,3,0,3,30,-2.8333333333333335,"-2.750558953622642,-2.9917063985250394,-3.005779227656692,-2.752158193514158"
4.566666666666666,13,Human,0,6,5,31,-4.566666666666666,"-4.555688766981052,-4.678936501079914,-4.719364025560223,-4.821612191024719"
4.283333333333333,14,Human,2,1,1,33,-4.283333333333333,"-3.9793202621431596,-3.97160000711114,-4.000821042054264,-3.9423601959856844"
5.0,15,Human,1,4,3,37,-5.0,"-5.16586332771703,-4.931591998278454,-5.001027662087209,-4.935624014090933"
0.8666666666666667,16,Human,0,7,6,39,-0.8666666666666667,"-0.8721841296601607,-1.050407967362611,-1.9828099562359145,-1.7689318636021725"
1.7166666666666666,17,Human,0,8,7,55,-1.7166666666666666,"-1.6876359989768646,-1.8480205980160243,-1.7557796302106157,-2.4700871133190496"
1.9,18,Human,0,9,8,56,-1.9,"-1.910266460968503,-2.2914863789314124,-1.9407669544709805,-2.0308617727847964"
4.116666666666666,19,Human,0,8,9,57,-4.116666666666666,"-4.065111480468677,-4.091511030002787,-4.378060892135113,-4.077253119590126"
4.633333333333334,20,Human,1,4,3,57,-4.633333333333334,"-4.624716661050364,-4.543237718643649,-4.5715741296697665,-4.544045877939413"
2.783333333333333,21,Human,0,10,5,58,-2.783333333333333,"-2.7623540104667588,-2.9592442633842597,-2.94573291617583,-2.9023907936104614"
3.25,22,Human,0,11,4,60,-3.25,"-3.0560448942001393,-3.045662578571058,-3.18297234895978,-3.0372789136131075"
4.1,23,Human,2,7,9,61,-4.1,"-3.854501975718244,-3.877339181953444,-3.8553184503448867,-3.9073084598032164"
4.216666666666667,24,Human,3,12,10,69,-4.216666666666667,"-4.392151527904257,-4.42364913694386,-4.549517284698323,-4.257103243930836"
2.8333333333333335,25,Human,1,11,3,72,-2.8333333333333335,"-3.0028407475301133,-2.8324910023301224,-3.0853057565718864,-2.9147564857476467"
2.4,26,Human,0,13,11,72,-2.4,"-2.393042240679016,-2.4942161083295806,-2.451825318932181,-2.4677665635893526"
4.383333333333334,27,Human,1,11,3,73,-4.383333333333334,"-4.390472189484002,-4.319959085724362,-4.3689145712251785,-4.34257758989557"
4.3,28,Human,1,11,3,75,-4.3,"-4.232493522817335,-4.190048460077662,-4.2437650589174485,-4.191197390866498"
3.9166666666666665,29,Human,2,11,2,77,-3.9166666666666665,"-3.9974897048236144,-3.953351812604092,-3.909099465931876,-3.9283305448889427"
4.416666666666667,30,Human,1,4,3,77,-4.416666666666667,"-4.364956661050364,-4.355702202003132,-4.497951244275676,-4.4556966842803325"
4.433333333333334,31,Human,1,11,3,79,-4.433333333333334,"-4.406443570188335,-4.308207244626585,-4.421943214031473,-4.36531540524979"
1.4166666666666667,32,Human,1,0,12,80,-1.4166666666666667,"-1.5824550054556061,-1.4131214367775036,-1.7353931820616333,-1.713404386543426"
4.333333333333333,33,Human,1,4,3,81,-4.333333333333333,"-4.451862492979622,-4.280123252910772,-4.274217910942342,-4.417563350946999"
3.4,34,Human,2,13,4,82,-3.4,"-3.4694152671003606,-3.4475044227626253,-3.3981801457358825,-3.5103755025984476"
2.45,35,Human,2,14,3,82,-2.45,"-2.2878514156695124,-2.2980602914851174,-2.316036802138019,-2.5031429159136662"
4.366666666666666,36,Human,1,11,3,82,-4.366666666666666,"-4.330121129402086,-4.3198696665024165,-4.428743214031472,-4.368088654036129"
5.1,37,Human,1,0,2,82,-5.1,"-4.987707231039865,-4.993047160117238,-5.087946846607215,-5.203057497868153"
4.25,38,Human,1,4,3,83,-4.25,"-4.234262492979622,-4.218649485196673,-4.398467662087208,-4.211696684280333"
4.283333333333333,39,Human,1,4,3,86,-4.283333333333333,"-4.395595826312955,-4.253352167014443,-4.455951244275676,-4.455963350946998"
1.9166666666666667,40,Human,3,0,3,88,-1.9166666666666667,"-1.9533950826379933,-2.2557912476953743,-2.2777800432135815,-1.9094531170709865"
4.3,41,Human,1,11,3,89,-4.3,"-4.3094544627354185,-4.243883482714077,-4.384076547364806,-4.3579553207027955"
4.266666666666667,42,Human,1,11,3,91,-4.266666666666667,"-4.353721129402086,-4.210812717186931,-4.37980988069814,-4.460621987369462"
6.583333333333333,43,Human,3,11,2,92,-6.583333333333333,"-5.923162663809936,-6.178891594719962,-5.960075871224383,-6.034146895692701"
4.116666666666666,44,Human,1,4,3,93,-4.116666666666666,"-4.334529159646289,-4.073553701487522,-4.242617910942343,-4.110096684280332"
4.233333333333333,45,Human,1,11,3,94,-4.233333333333333,"-4.2934544627354185,-4.1765652078714615,-4.34820988069814,-4.170110817545161"
5.766666666666667,46,Human,0,11,13,96,-5.766666666666667,"-5.38336972877718,-5.329879372906485,-5.402989180341995,-5.312527275467701"
1.15,47,Human,0,15,1,101,-1.15,"-1.135160052918188,-1.2948750559031437,-2.5921691175285866,-1.3116600672562104"
2.7,48,Human,2,4,4,101,-2.7,"-2.5865787842008325,-2.6637089230526754,-2.5930725068788387,-2.669431194838945"
5.45,49,Human,3,4,3,105,-5.45,"-5.023849596405567,-4.978610875773452,-5.10262037040248,-5.063218070838313"
0.95,50,Human,0,16,5,106,-0.95,"-0.9523386971301688,-1.694644092338159,-1.0860939048045422,-1.2390377173187488"
5.3,51,Human,1,4,3,109,-5.3,"-4.971921063072233,-4.9922038504427615,-5.062739837069147,-4.957056561881226"
1.6666666666666667,52,Human,0,0,12,112,-1.6666666666666667,"-1.6795513870899863,-1.7288926843768466,-1.7353931820616333,-1.713404386543426"
4.966666666666667,53,Human,1,17,5,119,-4.966666666666667,"-4.6041611990702656,-4.648330951675017,-4.575265236318033,-4.582619849110075"
4.683333333333334,54,Human,0,7,10,125,-4.683333333333334,"-4.502709218478401,-4.615560731762978,-4.525762403805626,-4.710981734642884"
5.9,55,Human,1,18,2,127,-5.9,"-4.2300041729519195,-4.549638653731328,-4.282066904914306,-4.409586665216065"
3.7666666666666666,56,Human,1,7,4,128,-3.7666666666666666,"-3.376126052463733,-3.4337158968142165,-3.427649995367501,-3.414808465157869"
5.333333333333333,57,Human,1,1,1,129,-5.333333333333333,"-4.524165062143159,-4.592802877777821,-4.557900678209788,-4.418580264544538"
4.1,58,Human,0,7,10,131,-4.1,"-4.0943477710037985,-4.153080310046318,-4.130296338090365,-4.387153834970272"
3.9833333333333334,59,Human,3,1,1,132,-3.9833333333333334,"-4.130327661012282,-4.2365085511111396,-4.2885387072347285,-4.08803541831544"
4.833333333333333,60,Human,1,4,3,133,-4.833333333333333,"-5.002343995506958,-4.805840038352632,-4.800617910942343,-4.803165877939413"
4.316666666666666,61,Human,3,1,1,134,-4.316666666666666,"-4.660486396381194,-4.556666344444489,-4.646333982567831,-4.448686715724172"
0.6666666666666666,62,Human,0,16,5,135,-0.6666666666666666,"-0.6600307719170158,-1.694644092338159,-1.0860939048045422,-1.2390377173187488"
4.333333333333333,63,Human,0,7,10,136,-4.333333333333333,"-4.269204369388051,-4.486806598429644,-4.318546403805626,-4.3451271683036055"
5.033333333333333,64,Human,3,1,1,136,-5.033333333333333,"-4.386539729714527,-4.37283293055561,-4.439618439387598,-4.470478758390838"
4.316666666666666,65,Human,2,7,9,139,-4.316666666666666,"-3.9923411980252617,-3.988036781953445,-4.016079113597776,-4.047511126469883"
2.85,66,Human,0,19,12,140,-2.85,"-2.8008820781855084,-2.794258430225942,-2.8430454189137144,-2.9511162279742713"
2.8333333333333335,67,Human,1,20,3,141,-2.8333333333333335,"-2.8143924472169086,-2.8164140303892693,-2.8478993930185466,-2.9602751539780776"
3.6,68,Human,1,7,4,141,-3.6,"-3.2496439191304005,-3.299998136814217,-3.3037711687008344,-3.261756689157869"
4.35,69,Human,0,8,9,142,-4.35,"-4.297025671863246,-4.296010984379354,-4.642009448502224,-4.2841912491994645"
0.75,70,Human,0,13,14,149,-0.75,"-0.7542778439738039,-1.550674985616997,-1.550975105665016,-1.713744489876584"
4.233333333333333,71,Human,0,8,9,149,-4.233333333333333,"-4.213985356883959,-4.252544317712687,-4.26401181062778,-4.242057915866131"
2.433333333333333,72,Human,0,8,15,150,-2.433333333333333,"-2.3670476188140825,-2.3569055358199957,-2.4371931493979884,-2.3523498462688917"
6.183333333333334,73,Human,1,4,16,152,-6.183333333333334,"-5.430041465448511,-5.518874119679275,-5.578567404343563,-5.425680485902477"
4.516666666666667,74,Human,1,4,3,154,-4.516666666666667,"-4.543862492979621,-4.4723456848451235,-4.549934328753874,-4.609651211272746"
4.95,75,Human,0,13,4,154,-4.95,"-4.528398090723448,-4.468803731563572,-4.440569658352601,-4.489472205864324"
3.5166666666666666,76,Human,1,4,3,155,-3.5166666666666666,"-4.508049994383698,-4.010402649315231,-4.294112796336433,-4.319023369018198"
3.95,77,Human,2,21,17,158,-3.95,"-3.949016204525612,-3.923148278536015,-3.916133511449119,-3.9472343299974693"
4.016666666666667,78,Human,0,22,9,160,-4.016666666666667,"-3.8232336967055827,-3.8974799490856737,-3.841866695520139,-3.8072829028077764"
2.566666666666667,79,Human,0,4,18,160,-2.566666666666667,"-2.574197932139376,-4.891784827263223,-3.1181637241457145,-2.64953399747828"
5.95,80,Human,1,11,3,164,-5.95,"-6.030344189484001,-5.817408168988132,-6.09623032364681,-6.037470071916456"
4.383333333333334,81,Human,1,11,3,166,-4.383333333333334,"-4.5087921894840015,-4.261362093883672,-4.2826463236468095,-4.3073260719164566"
1.9333333333333333,82,Human,0,23,2,167,-1.9333333333333333,"-1.895686677231372,-1.8970450968706407,-1.8946175355383335,-1.8877018279853344"
6.2,83,Human,0,11,3,169,-6.2,"-5.338114284920535,-5.237705250561611,-5.340663192250782,-5.147247524199832"
5.7,84,Human,2,11,3,171,-5.7,"-4.761136903521669,-4.810360964700509,-4.946683656980143,-4.949638019359867"
4.3,85,Human,1,11,3,172,-4.3,"-4.541110236855001,-4.418295240978098,-4.597355458917448,-4.750202190866498"
2.8333333333333335,86,Human,0,11,4,176,-2.8333333333333335,"-2.751515545361139,-2.736130072856145,-3.0309723489597804,-2.852575721068645"
4.183333333333334,87,Human,1,11,3,178,-4.183333333333334,"-4.938416903521668,-4.621855324775541,-4.847287904558511,-4.876414071916456"
5.566666666666666,88,Human,1,11,3,179,-5.566666666666666,"-5.084152189484001,-5.007013722075688,-5.044822323646811,-4.978014071916457"
4.116666666666666,89,Human,1,4,3,181,-4.116666666666666,"-4.3793291596462876,-4.10023627097971,-4.102105722011262,-4.308230017613666"
4.166666666666667,90,Human,1,11,3,181,-4.166666666666667,"-4.8529041894840015,-4.680686613567837,-4.857878323646809,-4.942934990866499"
4.966666666666667,91,Human,1,0,2,181,-4.966666666666667,"-4.900334038799831,-4.895405474558985,-5.0167308466072145,-4.90736315233519"
4.033333333333333,92,Human,1,4,3,183,-4.033333333333333,"-3.9987433277170306,-3.9981494856976734,-4.04368457760901,-4.240477877939414"
5.633333333333334,93,Human,1,4,3,186,-5.633333333333334,"-5.371317330457787,-5.3024502020437945,-5.389684903735814,-5.4120506807575985"
5.516666666666667,94,Human,1,4,3,188,-5.516666666666667,"-5.463249994383698,-5.466895760429246,-5.510787662087209,-5.620029877939414"
2.1166666666666667,95,Human,0,24,19,189,-2.1166666666666667,"-2.091767105930791,-2.2124365766464975,-2.187372674051622,-3.1657627485839543"
5.55,96,Human,1,4,3,189,-5.55,"-5.597933328840292,-5.378866870256203,-5.428360995420541,-5.34077590235153"
5.4,97,Human,1,4,3,191,-5.4,"-5.318306662173626,-5.298244838313205,-5.6023154630031,-5.585757877939414"
5.366666666666666,98,Human,1,4,3,192,-5.366666666666666,"-5.450183327717031,-5.327516249067426,-5.408198129669767,-5.329704014090932"
5.9,99,Human,0,1,1,194,-5.9,"-5.295861842438288,-5.197649875555591,-5.195483635901164,-5.282051587985686"
5.683333333333334,100,Human,3,11,3,195,-5.683333333333334,"-5.079321751587202,-5.111175754975477,-5.154267656980143,-5.1756542326932005"
3.45,101,Human,0,25,10,197,-3.45,"-3.4320755580934326,-3.5076877830601716,-3.548241538571482,-3.8828947432782814"
5.4,102,Human,1,4,3,199,-5.4,"-5.409383327717031,-5.306677373090074,-5.457694328753874,-5.531336544606081"
2.933333333333333,103,Human,3,0,3,201,-2.933333333333333,"-2.806916332425102,-2.813765118820032,-2.8454233821253543,-2.8072505155758964"
1.5833333333333333,104,Human,0,0,12,203,-1.5833333333333333,"-1.5762354592601115,-1.6025406843768466,-1.7353931820616333,-1.713404386543426"
5.366666666666666,105,Human,1,4,3,204,-5.366666666666666,"-5.205489994383698,-5.197687354441416,-5.173187662087209,-5.3175706807575995"
8.183333333333334,106,Human,2,17,3,204,-8.183333333333334,"-7.901398661810326,-7.919088362211997,-7.929630426197175,-7.941022417901049"
5.15,107,Human,1,4,3,212,-5.15,"-5.288423327717031,-5.125700564865016,-5.271400995420541,-5.2049306807576"
5.466666666666667,108,Human,3,4,20,213,-5.466666666666667,"-4.439728154474352,-4.650136989416065,-4.665035412428178,-4.627149016316445"
6.183333333333334,109,Human,3,1,10,220,-6.183333333333334,"-5.580320334143196,-5.572043233700045,-5.585837406937455,-5.678711699342086"
4.216666666666667,110,Human,0,4,20,221,-4.216666666666667,"-4.275542972222516,-4.5273369894160655,-4.578102079094845,-4.319802937062223"
3.3666666666666667,111,Human,1,26,3,221,-3.3666666666666667,"-3.359883906377462,-3.317915606372346,-3.3790753906133277,-3.313364079807699"
5.533333333333333,112,Human,1,7,9,223,-5.533333333333333,"-4.258566228304911,-4.45906504862011,-4.257096890878222,-4.225847126469883"
3.6666666666666665,113,Human,3,7,4,225,-3.6666666666666665,"-3.3871082391304004,-3.385861176814217,-3.4037526275427097,-3.4329064926596287"
5.066666666666666,114,Human,1,4,3,226,-5.066666666666666,"-5.1691433277170304,-4.9752865646736435,-5.159320995420542,-5.1423173474242665"
6.066666666666666,115,Human,2,7,10,226,-6.066666666666666,"-5.0287845664569515,-5.047787038743715,-5.216611876081814,-5.011538603504779"
4.883333333333334,116,Human,1,7,9,228,-4.883333333333334,"-4.134979927718244,-4.256801905562756,-4.10901078293111,-4.120375126469884"
7.783333333333333,117,Human,2,17,3,229,-7.783333333333333,"-7.7844005424119675,-7.8166883622119965,-7.644512023934193,-7.641298616301051"
3.8333333333333335,118,Human,1,7,4,230,-3.8333333333333335,"-3.518446905797067,-3.5373919714808824,-3.6029344942093764,-3.5193688627929616"
5.55,119,Human,3,7,10,231,-5.55,"-4.83170270621245,-4.803179931762977,-4.886906285102267,-4.94974084350478"
3.816666666666667,120,Human,1,7,4,233,-3.816666666666667,"-3.4293723939709864,-3.473644174147549,-3.3906894510950543,-3.3914191582596285"
4.916666666666667,121,Human,1,4,3,233,-4.916666666666667,"-5.30050332771703,-5.207901250766683,-5.726624796336433,-5.460850680757599"
5.733333333333333,122,Human,0,7,10,234,-5.733333333333333,"-4.651194131272684,-4.4879308650963115,-4.522727737138959,-4.588176401309552"
4.183333333333334,123,Human,0,0,21,235,-4.183333333333334,"-3.9698973511035076,-4.017198961697742,-3.9634632748580003,-4.132766090209307"
4.3,124,Human,0,7,10,236,-4.3,"-4.317726522449015,-4.410840310046318,-4.3788563380903645,-4.563477734642884"
4.2,125,Human,2,7,9,238,-4.2,"-3.9661104817449107,-4.024379181953445,-3.9955329100782215,-3.9871857931365495"
2.283333333333333,126,Human,0,8,21,238,-2.283333333333333,"-2.279490711765854,-2.3117352979147023,-2.2971184140040473,-2.3349944297373373"
5.6,127,Human,0,27,2,240,-5.6,"-5.094855218340872,-5.090913993344494,-5.171019256992935,-5.204595753283604"
5.8,128,Human,3,16,10,245,-5.8,"-5.283223307267361,-5.229681629585471,-5.46863644242669,-5.338764327570314"
3.8333333333333335,129,Human,0,4,20,245,-3.8333333333333335,"-3.9590469343980277,-4.234003656082731,-4.29046093220189,-4.218989016316445"
3.65,130,Human,2,17,22,245,-3.65,"-3.3994846342590925,-3.4052058764294433,-3.4438114001971782,-3.4070521169707337"
5.6,131,Human,1,16,10,246,-5.6,"-5.173863577984445,-5.223772478317305,-5.284502219700029,-5.245668860903647"
4.95,132,Human,3,11,3,248,-4.95,"-4.561454462735418,-4.457855931541749,-4.4730098806981395,-4.548936057533165"
4.15,133,Human,2,16,9,248,-4.15,"-3.9697966571675765,-4.056388810153291,-3.9533896477884745,-3.931697097597267"
4.466666666666667,134,Human,1,11,3,249,-4.466666666666667,"-4.137987796068752,-4.023586808191895,-4.0654212378918455,-3.940924256562236"
5.85,135,Human,1,4,3,258,-5.85,"-5.966573328840291,-5.79148297991131,-6.008864796336433,-5.836941877939412"
5.75,136,Human,1,11,3,260,-5.75,"-5.158763570188335,-4.981567587764256,-5.265047904558513,-5.039582071916456"
4.633333333333334,137,Human,3,28,9,261,-4.633333333333334,"-3.1076934666141627,-3.1550156254293027,-3.11862986472273,-3.374683397094697"
1.7,138,Human,1,0,23,262,-1.7,"-1.721068130446363,-1.7080653410206799,-1.7680195488281756,-1.9343259589160753"
1.4333333333333333,139,Human,0,29,3,264,-1.4333333333333333,"-1.3776158491561543,-1.5285910764593815,-1.5861685333600686,-1.4952748702072622"
3.45,140,Human,3,4,24,265,-3.45,"-3.254956891401337,-3.364214688549494,-3.263978639356745,-3.2271733506541262"
4.4,141,Human,1,11,3,267,-4.4,"-4.830521129402085,-4.729200393881566,-4.921056990313477,-4.9344442565622355"
4.15,142,Human,1,4,3,267,-4.15,"-4.842503327717031,-4.538198303475634,-4.720867662087208,-4.841693877939413"
1.8333333333333333,143,Human,0,30,25,268,-1.8333333333333333,"-1.8371783166351958,-1.890168274538037,-1.8787338612910969,-1.8728827453803696"
