travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
8.033333333333333,0,Human,0,0,0,5,-8.033333333333333,"-8.045194239558327,-8.07356317314185,-8.18427702938096,-8.250995539580146"
4.233333333333333,1,Human,1,1,1,5,-4.233333333333333,"-4.321755559771622,-4.233045737928061,-4.2359105055979684,-4.245709900110004"
0.6333333333333333,2,Human,0,2,2,11,-0.6333333333333333,"-0.6375011405580042,-1.310544909108352,-3.4010860355661343,-6.968603352067967"
3.1333333333333333,3,Human,3,0,3,11,-3.1333333333333333,"-3.1389357913453333,-3.1997986741691897,-3.162894964560227,-3.1352339752361864"
3.1,4,Human,0,3,3,11,-3.1,"-3.09619795770351,-3.1117746792191143,-3.1137469179050523,-3.1792129573269197"
5.416666666666667,5,Human,1,4,3,12,-5.416666666666667,"-5.469811105532409,-5.430874564942378,-5.476048349042819,-5.458835118150308"
2.55,6,Human,0,4,4,13,-2.55,"-2.548860877048133,-2.608908923052675,-2.548789707350715,-2.6460978615056114"
5.283333333333333,7,Human,1,4,3,15,-5.283333333333333,"-5.3294510321277215,-5.28716048793519,-5.317820554446071,-5.33539504053652"
5.4,8,Human,1,4,3,17,-5.4,"-5.656669328840292,-5.431195135621432,-5.642198129669767,-5.44959830235153"
2.4833333333333334,9,Human,0,5,2,25,-2.4833333333333334,"-2.4832682456208564,-2.485320677379291,-2.605374817835558,-2.5413512494184145"
5.2,10,Human,1,4,3,26,-5.2,"-5.184450343791121,-5.167253473347406,-5.22186669039092,-5.198988081881224"
5.133333333333334,11,Human,1,4,3,28,-5.133333333333334,"-5.217458662173625,-5.173060468430364,-5.217579287724253,-5.233509255214558"
2.8833333333333333,12,Human,3,0,3,30,-2.8833333333333333,"-2.8796479127549857,-2.9917063985250394,-3.005779227656692,-2.8779710959260143"
4.566666666666666,13,Human,0,6,5,31,-4.566666666666666,"-4.568988261980889,-4.678936501079914,-4.719364025560223,-4.821612191024719"
4.25,14,Human,1,1,1,33,-4.25,"-4.2648823301657375,-4.248895770297043,-4.254852414665562,-4.252454547479322"
5.016666666666667,15,Human,1,4,3,37,-5.016666666666667,"-5.16586332771703,-5.001727232454069,-5.087488796336434,-5.046799369018197"
0.85,16,Human,0,7,6,39,-0.85,"-0.8593703717049496,-1.050407967362611,-1.9828099562359145,-1.7689318636021725"
1.7,17,Human,0,8,7,55,-1.7,"-1.693049601721999,-1.8480205980160243,-1.7557796302106157,-2.4700871133190496"
1.9166666666666667,18,Human,0,9,8,56,-1.9166666666666667,"-1.90848704357731,-2.2914863789314124,-1.9407669544709805,-2.0308617727847964"
4.116666666666666,19,Human,0,8,9,57,-4.116666666666666,"-4.122489832447441,-4.169875490668896,-4.378060892135113,-4.1584691623387675"
4.616666666666666,20,Human,1,4,3,57,-4.616666666666666,"-4.679773328840292,-4.6195172237022035,-4.650592637069146,-4.704189361881224"
2.783333333333333,21,Human,0,10,5,58,-2.783333333333333,"-2.783012660890353,-2.9592442633842597,-2.94573291617583,-2.9023907936104614"
3.25,22,Human,0,11,4,60,-3.25,"-3.2505292673691355,-3.2514486532744433,-3.529711212501158,-3.2699382210794106"
4.1,23,Human,2,7,9,61,-4.1,"-4.099238263146623,-4.120163743116872,-4.09887526862439,-4.246677414274059"
4.2,24,Human,1,12,10,69,-4.2,"-4.500514915620315,-4.256884638493147,-4.549517284698323,-4.447940397169463"
2.8333333333333335,25,Human,1,11,3,72,-2.8333333333333335,"-3.0028407475301133,-2.834965160927092,-3.0853057565718864,-2.9147564857476467"
2.4,26,Human,0,13,11,72,-2.4,"-2.4080047297326668,-2.4942161083295806,-2.451825318932181,-2.4677665635893526"
4.366666666666666,27,Human,1,11,3,73,-4.366666666666666,"-4.479044418253868,-4.393009812092483,-4.4717983236468095,-4.640728738583123"
4.283333333333333,28,Human,1,11,3,75,-4.283333333333333,"-4.329328151587202,-4.3047513855971316,-4.325012047133959,-4.367626397456981"
3.9166666666666665,29,Human,2,11,2,77,-3.9166666666666665,"-4.424393411087114,-4.382199569109303,-3.9166914706134808,-4.384131548728924"
4.45,30,Human,1,4,3,77,-4.45,"-4.458631995506958,-4.432241640789405,-4.497951244275676,-4.4556966842803325"
4.466666666666667,31,Human,1,11,3,79,-4.466666666666667,"-4.691821522817335,-4.424338093746411,-4.499376990313476,-4.47130815415456"
1.4166666666666667,32,Human,1,0,12,80,-1.4166666666666667,"-1.5824550054556061,-1.416944647341519,-1.7353931820616333,-1.713404386543426"
4.366666666666666,33,Human,1,4,3,81,-4.366666666666666,"-4.451862492979622,-4.383271874179571,-4.4214994630031,-4.417563350946999"
3.4,34,Human,2,13,4,82,-3.4,"-3.4694152671003606,-3.4475044227626253,-3.402868056076045,-3.5103755025984476"
2.2666666666666666,35,Human,0,14,3,82,-2.2666666666666666,"-2.2886999301458726,-2.328448233188094,-2.332930220034999,-2.5031429159136662"
4.4,36,Human,1,11,3,82,-4.4,"-4.400763570188335,-4.385472955004825,-4.428743214031472,-4.427804256562236"
5.133333333333334,37,Human,1,0,2,82,-5.133333333333334,"-5.331465961198847,-5.1263333392119,-5.260357477285773,-5.203057497868153"
4.283333333333333,38,Human,1,4,3,83,-4.283333333333333,"-4.314076661050365,-4.267904203174009,-4.398467662087208,-4.309357347424267"
4.316666666666666,39,Human,1,4,3,86,-4.316666666666666,"-4.395595826312955,-4.320530835728272,-4.455951244275676,-4.455963350946998"
1.95,40,Human,3,0,3,88,-1.95,"-2.2293827327770614,-2.2557912476953743,-2.2777800432135815,-1.9539126220274605"
4.316666666666666,41,Human,1,11,3,89,-4.316666666666666,"-4.587563570188335,-4.324794447666804,-4.384076547364806,-4.3579553207027955"
4.283333333333333,42,Human,1,11,3,91,-4.283333333333333,"-4.353721129402086,-4.288740523414419,-4.37980988069814,-4.460621987369462"
6.533333333333333,43,Human,2,11,2,92,-6.533333333333333,"-6.51994692002001,-6.606490620620777,-6.521005359630846,-6.546917601139838"
4.15,44,Human,1,4,3,93,-4.15,"-4.334529159646289,-4.125967091507114,-4.242617910942343,-4.144744014090933"
4.266666666666667,45,Human,1,11,3,94,-4.266666666666667,"-4.2934544627354185,-4.257485126511622,-4.34820988069814,-4.459421987369462"
6.1,46,Human,1,11,13,96,-6.1,"-5.7902032498375275,-5.847262872913998,-5.811411494614466,-5.7843738054141465"
1.15,47,Human,0,15,1,101,-1.15,"-1.1399948884240991,-1.2948750559031437,-2.5921691175285866,-1.3116600672562104"
2.7,48,Human,2,4,4,101,-2.7,"-2.6985012270606417,-2.964300471775474,-2.698776271646738,-3.2688782892044896"
5.283333333333333,49,Human,1,4,3,105,-5.283333333333333,"-5.341288794687721,-5.288192232654378,-5.308343703724255,-5.314507455148707"
0.95,50,Human,0,16,5,106,-0.95,"-0.9537645324072908,-1.694644092338159,-1.0860939048045422,-1.2390377173187488"
5.433333333333334,51,Human,2,4,3,109,-5.433333333333334,"-5.2630322007677215,-5.254814470041776,-5.287191570596857,-5.2557703677465515"
1.6833333333333333,52,Human,0,0,12,112,-1.6833333333333333,"-1.6820503660398074,-1.7288926843768466,-1.7353931820616333,-1.713404386543426"
4.966666666666667,53,Human,2,17,5,119,-4.966666666666667,"-4.927932865547714,-4.931014919780719,-4.932833798391121,-4.928790327040986"
4.533333333333333,54,Human,0,7,10,125,-4.533333333333333,"-4.6510146526892475,-4.8424485854103825,-4.817457017415148,-4.710981734642884"
4.35,55,Human,0,18,2,127,-4.35,"-4.362973787678515,-4.549638653731328,-4.462320190598112,-4.409586665216065"
3.75,56,Human,3,7,4,128,-3.75,"-3.750748829484774,-3.7451107836809765,-3.74873383278013,-3.745727778827188"
4.35,57,Human,3,1,1,129,-4.35,"-4.931839178483965,-4.938715073422245,-4.9037784805767455,-4.673654339196607"
4.116666666666666,58,Human,0,7,10,131,-4.116666666666666,"-4.125877666141844,-4.239130914703721,-4.227570403805625,-4.387153834970272"
3.9833333333333334,59,Human,2,1,1,132,-3.9833333333333334,"-4.367595462143159,-4.406698806044463,-3.9741670764179053,-4.303761667985685"
4.933333333333334,60,Human,1,4,3,133,-4.933333333333334,"-5.002343995506958,-4.90506404422198,-5.0123954630031,-4.950692828547891"
5.183333333333334,61,Human,2,1,1,134,-5.183333333333334,"-5.167098386797754,-5.161574848272074,-5.156499415519009,-5.1503993038171965"
0.6666666666666666,62,Human,0,16,5,135,-0.6666666666666666,"-0.6600905894000587,-1.694644092338159,-1.0860939048045422,-1.2390377173187488"
4.5,63,Human,0,7,10,136,-4.5,"-4.368020387245375,-4.486806598429644,-4.604536365102268,-4.5827684013095515"
