travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
8.033333333333333,0,Human,0,0,0,5,-8.033333333333333,"-8.042937401449835,-8.058620633093978,-8.18427702938096,-8.250995539580146"
4.266666666666667,1,Human,1,1,1,5,-4.266666666666667,"-4.210527783047861,-4.2208357835409265,-4.224054798664127,-4.219637375137505"
0.6333333333333333,2,Human,0,2,2,11,-0.6333333333333333,"-0.6405003328778069,-1.310544909108352,-3.4010860355661343,-6.968603352067967"
3.1166666666666667,3,Human,3,0,3,11,-3.1166666666666667,"-3.111960060165403,-3.1164150093781537,-3.162894964560227,-3.11181147560951"
3.1333333333333333,4,Human,0,3,3,11,-3.1333333333333333,"-3.1034179707935676,-3.1117746792191143,-3.1137469179050523,-3.1792129573269197"
5.383333333333334,5,Human,1,4,3,12,-5.383333333333334,"-5.428930548582177,-5.379962302613688,-5.387575545379404,-5.415210564354551"
2.55,6,Human,0,4,4,13,-2.55,"-2.5445682384878765,-2.608908923052675,-2.543879476897702,-2.6460978615056114"
5.583333333333333,7,Human,3,4,3,15,-5.583333333333333,"-5.3294510321277215,-5.273849907662687,-5.317820554446071,-5.33539504053652"
5.383333333333334,8,Human,1,4,3,17,-5.383333333333334,"-5.656669328840292,-5.3866746210198055,-5.642198129669767,-5.44959830235153"
2.4833333333333334,9,Human,0,5,2,25,-2.4833333333333334,"-2.47972023948271,-2.4812302250718092,-2.605374817835558,-2.5413512494184145"
5.15,10,Human,1,4,3,26,-5.15,"-5.184450343791121,-5.14870401483878,-5.22186669039092,-5.198988081881224"
5.15,11,Human,1,4,3,28,-5.15,"-5.217458662173625,-5.169721308556987,-5.217579287724253,-5.233509255214558"
2.8833333333333333,12,Human,0,0,3,30,-2.8833333333333333,"-2.866291476947456,-2.9917063985250394,-3.005779227656692,-2.8646684173573775"
4.566666666666666,13,Human,0,6,5,31,-4.566666666666666,"-4.566458618928559,-4.678936501079914,-4.719364025560223,-4.821612191024719"
4.233333333333333,14,Human,3,1,1,33,-4.233333333333333,"-4.231102912707172,-4.213362916477981,-4.2042690390603425,-4.209997194862835"
5.016666666666667,15,Human,1,4,3,37,-5.016666666666667,"-5.16586332771703,-5.005253975760944,-5.087488796336434,-5.046799369018197"
0.8666666666666667,16,Human,0,7,6,39,-0.8666666666666667,"-0.8693033538407617,-1.050407967362611,-1.9828099562359145,-1.7689318636021725"
1.6833333333333333,17,Human,0,8,7,55,-1.6833333333333333,"-1.6895179095048993,-1.8480205980160243,-1.7557796302106157,-2.4700871133190496"
1.9166666666666667,18,Human,0,9,8,56,-1.9166666666666667,"-1.9126361820102251,-2.2914863789314124,-1.9407669544709805,-2.0308617727847964"
4.116666666666666,19,Human,0,8,9,57,-4.116666666666666,"-4.120670036444972,-4.169875490668896,-4.378060892135113,-4.1584691623387675"
4.666666666666667,20,Human,1,4,3,57,-4.666666666666667,"-4.679773328840292,-4.642681951022121,-4.650592637069146,-4.704189361881224"
2.783333333333333,21,Human,0,10,5,58,-2.783333333333333,"-2.7855630345761866,-2.9592442633842597,-2.94573291617583,-2.9023907936104614"
3.25,22,Human,0,11,4,60,-3.25,"-3.230266495759101,-3.2280594364403434,-3.529711212501158,-3.2415894430159296"
4.116666666666666,23,Human,0,7,9,61,-4.116666666666666,"-4.084378546956212,-4.120163743116872,-4.079541255459268,-4.095846767842573"
4.2,24,Human,1,12,10,69,-4.2,"-4.500514915620315,-4.208570832808841,-4.549517284698323,-4.447940397169463"
2.8333333333333335,25,Human,1,11,3,72,-2.8333333333333335,"-3.0028407475301133,-2.836579810896723,-3.0853057565718864,-2.9147564857476467"
2.433333333333333,26,Human,0,13,11,72,-2.433333333333333,"-2.4184307322867205,-2.4942161083295806,-2.451825318932181,-2.4677665635893526"
4.333333333333333,27,Human,1,11,3,73,-4.333333333333333,"-4.390472189484002,-4.369151247667318,-4.4717983236468095,-4.640728738583123"
4.3,28,Human,1,11,3,75,-4.3,"-4.329328151587202,-4.303544865441412,-4.325012047133959,-4.313699663487892"
3.9166666666666665,29,Human,2,11,2,77,-3.9166666666666665,"-4.424393411087114,-4.382199569109303,-3.988047502681228,-4.384131548728924"
4.433333333333334,30,Human,1,4,3,77,-4.433333333333334,"-4.458631995506958,-4.428410506896946,-4.497951244275676,-4.4556966842803325"
4.433333333333334,31,Human,1,11,3,79,-4.433333333333334,"-4.691821522817335,-4.392025541001127,-4.440887904558512,-4.47130815415456"
