travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
8.05,0,Human,0,0,0,5,-8.05,"-8.053905481522936,-8.07356317314185,-8.18427702938096,-8.250995539580146"
4.233333333333333,1,Human,1,1,1,5,-4.233333333333333,"-4.321755559771622,-4.237186795830103,-4.2409827235827,-4.245709900110004"
0.6333333333333333,2,Human,0,2,2,11,-0.6333333333333333,"-0.6382070398962121,-1.310544909108352,-3.4010860355661343,-6.968603352067967"
3.1333333333333333,3,Human,3,0,3,11,-3.1333333333333333,"-3.1427474006024787,-3.1997986741691897,-3.162894964560227,-3.1367531620139957"
3.0833333333333335,4,Human,0,3,3,11,-3.0833333333333335,"-3.0927965617353723,-3.1117746792191143,-3.1137469179050523,-3.1792129573269197"
5.45,5,Human,1,4,3,12,-5.45,"-5.469811105532409,-5.431165238974553,-5.476048349042819,-5.458835118150308"
2.55,6,Human,2,4,4,13,-2.55,"-2.549921720066811,-2.608908923052675,-2.549933463457956,-2.6460978615056114"
5.283333333333333,7,Human,1,4,3,15,-5.283333333333333,"-5.3294510321277215,-5.292930286240122,-5.317820554446071,-5.33539504053652"
5.433333333333334,8,Human,1,4,3,17,-5.433333333333334,"-5.656669328840292,-5.433998590433143,-5.642198129669767,-5.44959830235153"
2.4833333333333334,9,Human,0,5,2,25,-2.4833333333333334,"-2.483333087438908,-2.485320677379291,-2.605374817835558,-2.5413512494184145"
5.25,10,Human,1,4,3,26,-5.25,"-5.184450343791121,-5.177522363115296,-5.22186669039092,-5.198988081881224"
5.116666666666666,11,Human,1,4,3,28,-5.116666666666666,"-5.217458662173625,-5.187816775841062,-5.217579287724253,-5.233509255214558"
2.8666666666666667,12,Human,3,0,3,30,-2.8666666666666667,"-2.8829376143119334,-2.9917063985250394,-3.005779227656692,-2.875971333043833"
4.566666666666666,13,Human,0,6,5,31,-4.566666666666666,"-4.568316636517806,-4.678936501079914,-4.719364025560223,-4.821612191024719"
4.25,14,Human,1,1,1,33,-4.25,"-4.2648823301657375,-4.2453950844855095,-4.260548598399116,-4.260904243720099"
5.0,15,Human,1,4,3,37,-5.0,"-5.16586332771703,-5.017028671511109,-5.087488796336434,-5.046799369018197"
0.85,16,Human,0,7,6,39,-0.85,"-0.8586422282727907,-1.050407967362611,-1.9828099562359145,-1.7689318636021725"
1.7,17,Human,0,8,7,55,-1.7,"-1.7005035483179394,-1.8480205980160243,-1.7557796302106157,-2.4700871133190496"
1.9,18,Human,0,9,8,56,-1.9,"-1.9064136512750443,-2.2914863789314124,-1.9407669544709805,-2.0308617727847964"
4.116666666666666,19,Human,0,8,9,57,-4.116666666666666,"-4.118753049964994,-4.169875490668896,-4.378060892135113,-4.1584691623387675"
4.6,20,Human,1,4,3,57,-4.6,"-4.679773328840292,-4.626069406328352,-4.650592637069146,-4.704189361881224"
2.783333333333333,21,Human,0,10,5,58,-2.783333333333333,"-2.7831840960533443,-2.9592442633842597,-2.94573291617583,-2.9023907936104614"
3.25,22,Human,1,11,4,60,-3.25,"-3.256902910114662,-3.251259695181392,-3.529711212501158,-3.2699382210794106"
4.1,23,Human,2,7,9,61,-4.1,"-4.103328836832603,-4.120163743116872,-4.101946838586277,-4.246677414274059"
4.2,24,Human,1,12,10,69,-4.2,"-4.500514915620315,-4.194947769438164,-4.549517284698323,-4.447940397169463"
2.8333333333333335,25,Human,1,11,3,72,-2.8333333333333335,"-3.0028407475301133,-2.8369537567184717,-3.0853057565718864,-2.9147564857476467"
2.4,26,Human,0,13,11,72,-2.4,"-2.402968634955249,-2.4942161083295806,-2.451825318932181,-2.4677665635893526"
4.4,27,Human,1,11,3,73,-4.4,"-4.479044418253868,-4.399326172173198,-4.4717983236468095,-4.640728738583123"
4.333333333333333,28,Human,1,11,3,75,-4.333333333333333,"-4.329328151587202,-4.31908892054092,-4.325012047133959,-4.367626397456981"
3.933333333333333,29,Human,2,11,2,77,-3.933333333333333,"-4.424393411087114,-4.382199569109303,-3.975302989333124,-4.384131548728924"
4.416666666666667,30,Human,1,4,3,77,-4.416666666666667,"-4.458631995506958,-4.440333945719499,-4.497951244275676,-4.507890680757599"
4.45,31,Human,1,11,3,79,-4.45,"-4.691821522817335,-4.397764142356262,-4.499376990313476,-4.47130815415456"
1.4166666666666667,32,Human,1,0,12,80,-1.4166666666666667,"-1.5824550054556061,-1.4170256307892983,-1.7353931820616333,-1.713404386543426"
4.4,33,Human,1,4,3,81,-4.4,"-4.451862492979622,-4.366727616063335,-4.4214994630031,-4.417563350946999"
3.4,34,Human,2,13,4,82,-3.4,"-3.4694152671003606,-3.4475044227626253,-3.402490108332817,-3.5103755025984476"
2.283333333333333,35,Human,0,14,3,82,-2.283333333333333,"-2.2861605489554675,-2.328448233188094,-2.332930220034999,-2.5031429159136662"
4.366666666666666,36,Human,1,11,3,82,-4.366666666666666,"-4.453944189484002,-4.390407815640889,-4.428743214031472,-4.427804256562236"
5.1,37,Human,1,0,2,82,-5.1,"-5.331465961198847,-5.117769832912618,-5.260357477285773,-5.203057497868153"
4.25,38,Human,1,4,3,83,-4.25,"-4.314076661050365,-4.290807033386805,-4.398467662087208,-4.309357347424267"
4.35,39,Human,1,4,3,86,-4.35,"-4.395595826312955,-4.336616869048124,-4.455951244275676,-4.455963350946998"
1.9333333333333333,40,Human,3,0,3,88,-1.9333333333333333,"-2.2293827327770614,-2.2557912476953743,-2.2777800432135815,-1.9502986943610463"
4.333333333333333,41,Human,1,11,3,89,-4.333333333333333,"-4.587563570188335,-4.322359972065963,-4.384076547364806,-4.3579553207027955"
4.283333333333333,42,Human,1,11,3,91,-4.283333333333333,"-4.353721129402086,-4.297387258331116,-4.37980988069814,-4.460621987369462"
6.516666666666667,43,Human,2,11,2,92,-6.516666666666667,"-6.533163306019018,-6.606490620620777,-6.528445549842959,-6.546917601139838"
4.116666666666666,44,Human,1,4,3,93,-4.116666666666666,"-4.334529159646289,-4.106772299601188,-4.242617910942343,-4.144744014090933"
4.266666666666667,45,Human,1,11,3,94,-4.266666666666667,"-4.2934544627354185,-4.26491427910274,-4.34820988069814,-4.459421987369462"
5.833333333333333,46,Human,0,11,13,96,-5.833333333333333,"-5.798836199839114,-5.847262872913998,-5.811411494614466,-5.807499044331317"
1.15,47,Human,0,15,1,101,-1.15,"-1.1422457676891096,-1.2948750559031437,-2.5921691175285866,-1.3116600672562104"
2.7,48,Human,2,4,4,101,-2.7,"-2.6997485476266148,-2.964300471775474,-2.697159175870185,-3.2688782892044896"
5.3,49,Human,1,4,3,105,-5.3,"-5.341288794687721,-5.292748271969687,-5.308343703724255,-5.314507455148707"
0.9666666666666667,50,Human,0,16,5,106,-0.9666666666666667,"-0.9537212104976075,-1.694644092338159,-1.0860939048045422,-1.2390377173187488"
5.233333333333333,51,Human,1,4,3,109,-5.233333333333333,"-5.2630322007677215,-5.2499427580603495,-5.287191570596857,-5.287949627530574"
1.6666666666666667,52,Human,0,0,12,112,-1.6666666666666667,"-1.6787599486064146,-1.7288926843768466,-1.7353931820616333,-1.713404386543426"
4.95,53,Human,2,17,5,119,-4.95,"-4.953974374716009,-4.95498430224708,-4.951665316578776,-4.954027099217152"
4.533333333333333,54,Human,0,7,10,125,-4.533333333333333,"-4.60383284011604,-4.8424485854103825,-4.817457017415148,-4.710981734642884"
4.383333333333334,55,Human,0,18,2,127,-4.383333333333334,"-4.368054122697129,-4.549638653731328,-4.462320190598112,-4.409586665216065"
3.7666666666666666,56,Human,3,7,4,128,-3.7666666666666666,"-3.7663067205569636,-3.7671925682632494,-3.7623203995574377,-3.75938282169561"
4.383333333333334,57,Human,3,1,1,129,-4.383333333333334,"-4.931839178483965,-4.938715073422245,-4.97635611779473,-4.617548388893256"
4.116666666666666,58,Human,0,7,10,131,-4.116666666666666,"-4.119306048515968,-4.239130914703721,-4.227570403805625,-4.387153834970272"
3.95,59,Human,2,1,1,132,-3.95,"-4.367595462143159,-4.406698806044463,-3.9890768160021848,-4.303761667985685"
4.9,60,Human,1,4,3,133,-4.9,"-5.002343995506958,-4.900434726489309,-5.0123954630031,-4.950692828547891"
5.25,61,Human,3,1,1,134,-5.25,"-5.195442799385889,-5.193701057852242,-5.202746698313696,-5.200114053397241"
0.65,62,Human,0,16,5,135,-0.65,"-0.6578280017275591,-1.694644092338159,-1.0860939048045422,-1.2390377173187488"
4.5,63,Human,0,7,10,136,-4.5,"-4.416160454271174,-4.486806598429644,-4.604536365102268,-4.5827684013095515"
5.05,64,Human,2,1,1,136,-5.05,"-4.7729529105365485,-4.77355656135113,-4.461366529575566,-4.802603812882844"
4.316666666666666,65,Human,2,7,9,139,-4.316666666666666,"-4.337195236916354,-4.3397414990268315,-4.316068422996148,-4.4084071209407245"
2.8333333333333335,66,Human,0,19,12,140,-2.8333333333333335,"-2.834860372656621,-2.9620734108474203,-2.8430454189137144,-2.9511162279742713"
2.8333333333333335,67,Human,1,20,3,141,-2.8333333333333335,"-2.861307112099779,-2.8522700463108044,-3.2416528477481705,-2.9602751539780776"
3.6,68,Human,3,7,4,141,-3.6,"-3.5933292370467877,-3.595774917217451,-3.59733103139833,-3.594570093435756"
4.366666666666666,69,Human,0,8,9,142,-4.366666666666666,"-4.35936340042151,-4.596808787503483,-4.642009448502224,-4.587352999359572"
0.75,70,Human,0,13,14,149,-0.75,"-0.7501194573143303,-1.550674985616997,-1.550975105665016,-1.713744489876584"
4.216666666666667,71,Human,0,8,9,149,-4.216666666666667,"-4.228544960856947,-4.252544317712687,-4.26401181062778,-4.556979666026239"
2.5,72,Human,1,8,15,150,-2.5,"-2.5953305488782097,-2.497779965056349,-2.6697545195183907,-2.5056256919050353"
6.0,73,Human,0,4,16,152,-6.0,"-5.985473327488127,-6.003987737229204,-6.0966265110239055,-6.024278651963087"
4.516666666666667,74,Human,1,4,3,154,-4.516666666666667,"-4.625089994383697,-4.5466501340950645,-4.633280796336433,-4.609651211272746"
4.916666666666667,75,Human,2,13,4,154,-4.916666666666667,"-4.941638027483107,-4.926790371666167,-4.918395658896808,-4.938931361547279"
4.65,76,Human,2,4,3,155,-4.65,"-4.5264399955069585,-4.528183676673371,-4.545521547770189,-4.5373386386165215"
3.95,77,Human,2,21,17,158,-3.95,"-3.99921296362049,-4.228518622828812,-3.950342064066308,-4.047787463997976"
4.066666666666666,78,Human,0,22,9,160,-4.066666666666666,"-4.059458270922882,-4.096387167414832,-4.07776687878804,-4.146661057796977"
2.5833333333333335,79,Human,0,4,18,160,-2.5833333333333335,"-2.5723248563195296,-4.891784827263223,-3.1181637241457145,-2.64953399747828"
5.95,80,Human,1,11,3,164,-5.95,"-6.030344189484001,-5.949932433159875,-6.09623032364681,-6.037470071916456"
4.416666666666667,81,Human,1,11,3,166,-4.416666666666667,"-4.5087921894840015,-4.331643601563666,-4.459648251040501,-4.396688686026533"
1.95,82,Human,0,23,2,167,-1.95,"-1.9406064081831786,-1.948551737342572,-1.9690273617640002,-1.963494795721601"
5.75,83,Human,1,11,3,169,-5.75,"-5.63705980901581,-5.206125630512681,-5.6260244430405,-5.816457399056983"
4.366666666666666,84,Human,1,11,3,171,-4.366666666666666,"-5.333127618253868,-5.0632656125119215,-5.438835365707169,-5.3237683323903155"
4.35,85,Human,1,11,3,172,-4.35,"-4.813048441269762,-4.473736750224345,-4.877884367133959,-4.750202190866498"
2.8333333333333335,86,Human,0,11,4,176,-2.8333333333333335,"-2.8337470433938865,-2.839484852364034,-3.0309723489597804,-2.852575721068645"
