travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
8.033333333333333,0,Human,0,0,0,5,-8.033333333333333,"-8.044016916734822,-8.070590215977697,-8.19187702938096,-8.253235539580146"
4.233333333333333,1,Human,1,1,1,5,-4.233333333333333,"-4.2383304931049555,-4.228591900719904,-4.241959085518211,-4.319432447310005"
0.65,2,Human,0,2,2,11,-0.65,"-0.6417296690944075,-1.310544909108352,-3.4010860355661343,-6.968603352067967"
3.1333333333333333,3,Human,0,0,3,11,-3.1333333333333333,"-3.138943178807028,-3.194007740835856,-3.166473631226894,-3.1417436708683266"
3.1,4,Human,0,3,3,11,-3.1,"-3.098401504174499,-3.1100041610324483,-3.1257105369907086,-3.16233295732692"
5.45,5,Human,1,4,3,12,-5.45,"-5.4878907330694755,-5.435429118884751,-5.444559680029486,-5.457135620376521"
2.55,6,Human,0,4,4,13,-2.55,"-2.549632627480899,-2.608908923052675,-2.549556300693892,-2.6460978615056114"
5.283333333333333,7,Human,1,4,3,15,-5.283333333333333,"-5.30020330379112,-5.2891313183990265,-5.335500298446071,-5.335119742722551"
5.433333333333334,8,Human,1,4,3,17,-5.433333333333334,"-5.647821328840291,-5.426831805836961,-5.637056796336433,-5.513203211272746"
2.4833333333333334,9,Human,0,5,2,25,-2.4833333333333334,"-2.4833262065309416,-2.485490140252408,-2.6061428178355577,-2.5457245827517476"
5.1,10,Human,1,4,3,26,-5.1,"-5.242137596405568,-5.158820345660793,-5.210972823724254,-5.236456455214559"
5.216666666666667,11,Human,1,4,3,28,-5.216666666666667,"-5.236703827032897,-5.190907354320398,-5.199920796336433,-5.227976455214558"
2.8833333333333333,12,Human,0,0,3,30,-2.8833333333333333,"-2.881486985140454,-2.9917063985250394,-3.005779227656692,-2.8831681931791917"
4.566666666666666,13,Human,0,6,5,31,-4.566666666666666,"-4.567002076851264,-4.676269834413247,-4.713764025560224,-4.8210788576913854"
4.266666666666667,14,Human,1,1,1,33,-4.266666666666667,"-4.2835060395556726,-4.259859968675368,-4.260155607282575,-4.264659974414722"
4.983333333333333,15,Human,1,4,3,37,-4.983333333333333,"-5.077110396405567,-5.002537058543014,-5.064502129669767,-5.0882106807576"
0.8833333333333333,16,Human,0,7,6,39,-0.8833333333333333,"-0.8669973181262127,-1.050407967362611,-1.9828099562359145,-1.7689318636021725"
1.6833333333333333,17,Human,0,8,7,55,-1.6833333333333333,"-1.6898093729677723,-1.8473539313493574,-1.7564462968772823,-2.4700871133190496"
1.9,18,Human,0,9,8,56,-1.9,"-1.9125328471475624,-2.2914863789314124,-1.9407669544709805,-2.02419510611813"
4.15,19,Human,0,8,9,57,-4.15,"-4.13074799890569,-4.161405672535118,-4.371394225468446,-4.143202815672102"
4.616666666666666,20,Human,1,4,3,57,-4.616666666666666,"-4.662930130457788,-4.616472879542109,-4.677267662087208,-4.892557877939414"
2.783333333333333,21,Human,0,10,5,58,-2.783333333333333,"-2.7797206310667777,-2.9592442633842597,-2.9450662495091633,-2.9023907936104614"
3.2666666666666666,22,Human,0,11,4,60,-3.2666666666666666,"-3.2547051731596666,-3.253624237250668,-3.5063778791678244,-3.269826149276531"
4.1,23,Human,2,7,9,61,-4.1,"-4.10132059304433,-4.111589748450205,-4.099806870225758,-4.241343014274058"
4.2,24,Human,3,12,10,69,-4.2,"-4.474227314977038,-4.439119059398873,-4.816947161091992,-4.203378270399406"
2.8333333333333335,25,Human,1,11,3,72,-2.8333333333333335,"-3.0028407475301133,-2.8333361732741196,-3.0853057565718864,-2.9147564857476467"
2.4,26,Human,0,13,11,72,-2.4,"-2.4052397101252136,-2.477549441662914,-2.4474306522655143,-2.4677665635893526"
4.4,27,Human,1,11,3,73,-4.4,"-4.440382018253868,-4.394566697048674,-4.471392990313477,-4.462856738583123"
4.333333333333333,28,Human,1,11,3,75,-4.333333333333333,"-4.385061454603095,-4.315579888871653,-4.375211813707168,-4.327874017723648"
3.933333333333333,29,Human,2,11,2,77,-3.933333333333333,"-4.226658430525559,-4.2038518267332865,-3.924289929192458,-4.38183821539559"
4.433333333333334,30,Human,1,4,3,77,-4.433333333333334,"-4.5106633277170305,-4.444730354176713,-4.510217910942343,-4.487837347424266"
4.45,31,Human,1,11,3,79,-4.45,"-4.498762787936428,-4.414505874961643,-4.497874571225179,-4.46481758989557"
1.4166666666666667,32,Human,1,0,12,80,-1.4166666666666667,"-1.5797883387889395,-1.4189659659808749,-1.7353931820616333,-1.713404386543426"
4.4,33,Human,1,4,3,81,-4.4,"-4.507783327717031,-4.381463636249513,-4.589134328753875,-4.423163350946998"
3.4166666666666665,34,Human,2,13,4,82,-3.4166666666666665,"-3.4715486004336937,-3.4475044227626253,-3.4142046767276018,-3.5103755025984476"
2.316666666666667,35,Human,0,14,3,82,-2.316666666666667,"-2.3032940374196067,-2.3473988038547606,-2.3495078940013325,-2.5031429159136662"
4.366666666666666,36,Human,1,11,3,82,-4.366666666666666,"-4.423963570188336,-4.382095528526742,-4.4308765473648055,-4.62337758989557"
5.1,37,Human,1,0,2,82,-5.1,"-5.355428967338973,-5.109073962903452,-5.265024143952439,-5.154882925523734"
4.25,38,Human,1,4,3,83,-4.25,"-4.405595826312955,-4.271813267392419,-4.345599570402481,-4.403163350946999"
4.35,39,Human,1,4,3,86,-4.35,"-4.408395826312955,-4.330534515555967,-4.43168457760901,-4.401696684280333"
3.316666666666667,40,Human,0,0,3,88,-3.316666666666667,"-2.2265827327770618,-2.2557912476953743,-2.2777800432135815,-1.9550974884336374"
4.333333333333333,41,Human,1,11,3,89,-4.333333333333333,"-4.579403570188335,-4.324561257289991,-4.374876547364806,-4.567164256562236"
4.283333333333333,42,Human,1,11,3,91,-4.283333333333333,"-4.353454462735419,-4.28880652201405,-4.374876547364806,-4.56689758989557"
6.516666666666667,43,Human,0,11,2,92,-6.516666666666667,"-6.52762335019227,-6.681178620620778,-6.533474514898319,-6.535405924015224"
4.116666666666666,44,Human,1,4,3,93,-4.116666666666666,"-4.175649994383697,-4.1204100673102175,-4.1792594630031,-4.314096684280333"
4.266666666666667,45,Human,1,11,3,94,-4.266666666666667,"-4.271454462735419,-4.259946503796222,-4.33020988069814,-4.296221987369462"
5.766666666666667,46,Human,0,11,13,96,-5.766666666666667,"-5.784212764156213,-5.841267263825998,-5.844345886422465,-5.802449563407284"
1.1333333333333333,47,Human,0,15,1,101,-1.1333333333333333,"-1.1383615068375552,-1.2948750559031437,-2.5921691175285866,-1.3116600672562104"
2.7,48,Human,2,4,4,101,-2.7,"-2.719897159398646,-2.9660071384421407,-2.701133343256672,-3.2628782892044894"
5.3,49,Human,1,4,3,105,-5.3,"-5.30057553735965,-5.293705879747614,-5.349762758179405,-5.3297828842717125"
0.9666666666666667,50,Human,0,16,5,106,-0.9666666666666667,"-0.9565298802029265,-1.694644092338159,-1.0860939048045422,-1.2390377173187488"
5.266666666666667,51,Human,1,4,3,109,-5.266666666666667,"-5.279798437781054,-5.2389829736180795,-5.265498593103523,-5.256395952403108"
1.6666666666666667,52,Human,0,0,12,112,-1.6666666666666667,"-1.6755026194244516,-1.7267593510435133,-1.7353931820616333,-1.713404386543426"
4.966666666666667,53,Human,0,17,5,119,-4.966666666666667,"-4.94749464762038,-4.943777393704153,-4.943647308244313,-4.947232794673422"
4.683333333333334,54,Human,1,7,10,125,-4.683333333333334,"-4.682923760304544,-4.682462668667751,-4.719276589711167,-4.724315067976217"
4.383333333333334,55,Human,0,18,2,127,-4.383333333333334,"-4.378690663079993,-4.504246802977107,-4.464561257264779,-4.409586665216065"
3.75,56,Human,3,7,4,128,-3.75,"-3.7633405522278194,-3.7548344885766305,-3.756848780373371,-3.7518496882045285"
4.35,57,Human,3,1,1,129,-4.35,"-4.959402869150631,-4.952031510755578,-4.976300958328063,-4.68719003657712"
4.116666666666666,58,Human,0,7,10,131,-4.116666666666666,"-4.120262705310053,-4.4396322480370545,-4.286963004757031,-4.387580501636938"
3.966666666666667,59,Human,2,1,1,132,-3.966666666666667,"-4.485853040493838,-4.389265095108391,-4.076529970515658,-4.435516803985685"
4.933333333333334,60,Human,1,4,3,133,-4.933333333333334,"-4.9474266621736245,-4.9013091966723765,-4.962475463003099,-4.959634450270651"
5.183333333333334,61,Human,2,1,1,134,-5.183333333333334,"-5.167938463378225,-5.1844363048452085,-5.161889467294592,-5.159817152475602"
0.6666666666666666,62,Human,0,16,5,135,-0.6666666666666666,"-0.6587262096896869,-1.694644092338159,-1.0860939048045422,-1.2390377173187488"
4.333333333333333,63,Human,0,7,10,136,-4.333333333333333,"-4.332853762590501,-4.512010914703721,-4.639519768799029,-4.598667067976218"
5.183333333333334,64,Human,2,1,1,136,-5.183333333333334,"-4.944837204192405,-4.921395248924464,-4.708330347806774,-4.901480247288672"
4.316666666666666,65,Human,2,7,9,139,-4.316666666666666,"-4.3297429167163,-4.397161029408131,-4.312707257723217,-4.327811776752581"
2.8333333333333335,66,Human,0,19,12,140,-2.8333333333333335,"-2.834100397747738,-2.966606744180754,-2.844530901580381,-2.9429828946409375"
2.8333333333333335,67,Human,1,20,3,141,-2.8333333333333335,"-2.855707051773419,-2.8465170420915307,-3.248986181081504,-2.9269418206447444"
