detid,flow
-1024000539#0,0
-1024000539#1,0
-1024000539#2,0
-1024000539#3,0
-1024000548,0
-1057740876,0
-1088466838#0,0
-1088466838#1,0
-1109771198#0,0
-1109771198#1,0
-1119243207,0
-1119245056,0
-1119245057#0,0
-1119245057#1,0
-1119245057#2,0
-1119245057#3,0
-1119245058,0
-1119245060#0,0
-1119245060#1,0
-1119245060#2,0
-1119245061,0
-1119245070,0
-1119245071,0
-1119245074,0
-1119245692,0
-1119245693,0
-1162674260,0
-1237369283,0
-1238426234#0,0
-1238426236,0
-1238426242,0
-1238426243,0
-1238948418#0,0
-1239117016#0,0
-1239117016#1,0
-1239117016#2,0
-1239117021,0
-1239117024,0
-1239117045,0
-1299820133,0
-1339478328#0,0
-1339510606#0,0
-1339510606#1,0
-1339510609#0,0
-1339510610,0
-1371061454,0
-13937774#0,0
-13937774#1,0
-153730008#0,0
-153730008#1,0
-153730008#2,0
-153730010#0,0
-153730010#1,0
-153730010#2,0
-153730011,0
-153730013#0,0
-153730013#1,0
-153730013#2,0
-153730014#0,0
-153730014#1,0
-153730015#0,0
-153730015#1,0
-153730015#2,0
-153730015#3,0
-153730016#0,0
-153730016#1,0
-153730017,0
-153730018,0
-153730020#0,0
-153730020#1,0
-153730020#2,0
-153730020#3,0
-153730022#0,0
-153730022#1,0
-153730022#2,0
-153730022#3,0
-153730925#0,0
-153730925#1,0
-153730928,0
-153730933#0,0
-153730933#1,0
-153730934,0
-153730935,0
-153730937,0
-153730938,0
-153730939#0,0
-153730939#1,0
-153732960#0,0
-153732963#0,0
-153732963#1,0
-153732963#2,0
-153732965,0
-153732966,0
-153732967#0,0
-156456329,0
-156460671,0
-156460672,0
-156460677,0
-156460680#0,0
-156460680#1,0
-156460681#0,0
-156460681#1,0
-156460681#2,0
-156460682#0,0
-156460683#0,0
-156460683#1,0
-156460683#2,0
-156460683#3,0
-156460683#4,0
-156460683#5,0
-156460683#6,0
-156460683#7,0
-156460683#8,0
-156460688,0
-156460691,0
-156466987,0
-156466988#3,0
-156466990,0
-156466992#0,0
-156466992#1,0
-156466994#0,0
-156466994#1,0
-156466994#2,0
-156466996#0,0
-156466997#0,0
-156466997#1,0
-156466997#3,0
-156466999#0,0
-156466999#1,0
-156467655#1,0
-156467656#0,0
-156467657,0
-156480735,0
-156480737#1,0
-156480737#2,0
-156480737#3,0
-156480752,0
-156480755,0
-157553230,0
-157553232,0
-157553234,0
-157553237#0,0
-157553237#1,0
-157553238,0
-157555050#0,0
-157555050#1,0
-157555050#2,0
-157555050#3,0
-157555050#4,0
-157555050#5,0
-157574536#0,0
-157574536#1,0
-157574537#0,0
-159922662#0,0
-159922662#1,0
-165168675,0
-165170681#0,0
-165170681#1,0
-165170684#0,0
-165170684#1,0
-165170815#0,0
-165170815#1,0
-165170818#0,0
-165170818#1,0
-165170818#2,0
-165170818#3,0
-165170818#4,0
-165170818#5,0
-165170818#6,0
-165170818#7,0
-165170818#8,0
-165170994#0,0
-165170994#1,0
-165170994#2,0
-165170994#3,0
-165170994#4,0
-165170994#5,0
-165170994#6,0
-165171446,0
-165171448#0,0
-165171448#1,0
-165171782,0
-165171783#0,0
-165171783#1,0
-165171783#2,0
-165172165#0,0
-165172165#1,0
-165172165#2,0
-165172307#0,0
-165172307#1,0
-165172642#0,0
-165172642#1,0
-165172642#2,0
-168924811,0
-187827274,0
-187827280#0,0
-187827281,0
-187827282#0,0
-187827282#1,0
-187827282#2,0
-187827283#0,0
-187827283#1,0
-187827283#2,0
-187827283#3,0
-187827283#4,0
-187827288,0
-187827289,0
-196288048,0
-201772616#1,0
-201772616#2,0
-201772616#3,0
-202422660#0,0
-202422660#1,0
-202422660#2,0
-215094374,0
-218916903,0
-243836884#0,0
-243836884#1,0
-243836884#2,0
-243836884#3,0
-243836884#4,0
-243836884#5,0
-243836890#0,0
-243836890#1,0
-243836890#2,0
-243957897#0,0
-243957897#1,0
-243957897#2,0
-243957897#3,0
-243957899#0,0
-243957899#1,0
-269702559,0
-269702560,0
-269702562,0
-269702565#0,0
-269702565#1,0
-270968314,0
-270968319,0
-270968320,0
-270968323#1,0
-270968324,0
-314422857,0
-319058586,0
-319058587#0,0
-319058587#1,0
-319058587#2,0
-319058589#0,0
-319058589#1,0
-319058589#2,0
-319058589#3,0
-319058590#0,0
-319058591,0
-319058593,0
-319058599,0
-319058600#0,0
-319058600#1,0
-319058602#0,0
-319058602#1,0
-319058604#0,0
-319058604#1,0
-319058608#0,0
-319058608#1,0
-319058611,0
-319058613#0,0
-319058613#1,0
-319058613#2,0
-319058625,0
-319058626,0
-319058629,0
-319058645#0,0
-319058645#1,0
-319058646#0,0
-319058646#1,0
-319779150#0,0
-319779150#1,0
-319779150#2,0
-319779150#3,0
-319779153,0
-319779154,0
-327342938,0
-327343082,0
-327343096,0
-328471845#0,0
-328471845#1,0
-339700984,0
-339701637,0
-339940214,0
-35801597#3,0
-35801597#4,0
-35801699#0,0
-35801699#1,0
-35802071#0,0
-35802071#1,0
-35802071#2,0
-35802097#0,0
-35802097#1,0
-35802097#2,0
-35802097#3,0
-35802097#4,0
-35802097#5,0
-36284844,0
-36285797#0,0
-36285797#1,0
-36285797#2,0
-36287006,0
-36288851#0,0
-36288851#1,0
-36288851#2,0
-36288851#3,0
-36288941#0,0
-36288941#1,0
-36288941#2,0
-36289599#0,0
-36289599#1,0
-36290738#0,0
-36290738#1,0
-36290738#2,0
-36291218,0
-36291828#0,0
-36291828#1,0
-36292047#0,0
-36292047#1,0
-36292047#2,0
-36292047#3,0
-36292142#0,0
-36292142#1,0
-36292142#2,0
-36292324,0
-36292768#0,0
-36292768#1,0
-36292830#0,0
-36292830#1,0
-36293029#1,0
-36293283#1,0
-36293459#0,0
-36293459#1,0
-36293459#10,0
-36293459#2,0
-36293459#3,0
-36293459#4,0
-36293459#5,0
-36293459#6,0
-36293459#7,0
-36293459#8,0
-36293459#9,0
-36293752#0,0
-36293752#1,0
-36293752#2,0
-36293752#3,0
-36293752#4,0
-36293752#5,0
-36293752#6,0
-36293752#7,0
-36294081#0,0
-36294081#1,0
-36294081#2,0
-36294081#3,0
-36294081#4,0
-36294383#0,0
-36294383#1,0
-36294383#10,0
-36294383#2,0
-36294383#3,0
-36294383#4,0
-36294383#5,0
-36294383#6,0
-36294383#7,0
-36294383#8,0
-36294383#9,0
-36933126#0,0
-36933126#1,0
-36933126#2,0
-36933151#0,0
-36933282#0,0
-36933306,0
-36933307#0,0
-36933307#1,0
-36933307#2,0
-36934835#0,0
-36934835#1,0
-36936220,0
-36936288,0
-36936392#0,0
-36936392#1,0
-36936749#0,0
-36936749#1,0
-36936749#2,0
-36936749#3,0
-36936749#4,0
-36936749#5,0
-36950439#0,0
-36950439#1,0
-36950447#0,0
-36950447#1,0
-36950506#0,0
-36950506#1,0
-36950506#2,0
-36950506#3,0
-36950518#0,0
-36950518#1,0
-36950525,0
-36950657#0,0
-36950657#1,0
-37049908,0
-37051625#0,0
-37051625#1,0
-37051625#2,0
-37051872#0,0
-37051872#1,0
-37052277#0,0
-37052277#1,0
-37052277#2,0
-37052277#3,0
-37052381#0,0
-37052381#1,0
-37052381#2,0
-37053056#4,0
-37053056#5,0
-37053056#6,0
-37053056#7,0
-37053056#8,0
-37054066,0
-37054132,0
-37054319,0
-37055188#0,0
-37055217#0,0
-37055563#0,0
-37055563#1,0
-37055563#2,0
-37055902#1,0
-37055902#2,0
-37056002,0
-37066023,0
-37088258#0,0
-37088258#1,0
-37088332#0,0
-37088332#1,0
-37088332#2,0
-37088332#3,0
-37088447#0,0
-37088447#1,0
-37088447#2,0
-37088673#0,0
-37088673#1,0
-37640678#0,0
-37640678#1,0
-37640678#2,0
-37640679#0,0
-37640679#1,0
-37640679#2,0
-37640683,0
-394443146,0
-394443147#0,0
-394443147#1,0
-394443149#0,0
-394443149#1,0
-394443151#0,0
