travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
4.616666666666666,41,AV,0,37,29,396,-4.616666666666666,"0,0,0,0"
2.7666666666666666,31,AV,1,27,6,452,-2.7666666666666666,"0,0,0,0"
2.95,255,AV,3,93,57,1673,-2.95,"0,0,0,0"
1.9666666666666666,206,AV,1,145,95,367,-1.9666666666666666,"0,0,0,0"
2.966666666666667,20,AV,2,15,15,614,-2.966666666666667,"0,0,0,0"
2.0166666666666666,159,AV,3,115,57,456,-2.0166666666666666,"0,0,0,0"
2.5166666666666666,249,AV,2,170,137,1797,-2.5166666666666666,"0,0,0,0"
1.2,132,AV,1,3,78,974,-1.2,"0,0,0,0"
1.7833333333333334,492,AV,1,193,2,1226,-1.7833333333333334,"0,0,0,0"
5.2,120,AV,3,92,79,1081,-5.2,"0,0,0,0"
2.8333333333333335,230,AV,0,158,129,518,-2.8333333333333335,"0,0,0,0"
7.983333333333333,486,AV,1,28,147,34,-7.983333333333333,"0,0,0,0"
2.2,368,AV,1,58,181,118,-2.2,"0,0,0,0"
3.933333333333333,136,AV,3,102,57,371,-3.933333333333333,"0,0,0,0"
1.1833333333333333,404,AV,3,240,60,802,-1.1833333333333333,"0,0,0,0"
1.6833333333333333,195,AV,1,97,74,1084,-1.6833333333333333,"0,0,0,0"
2.183333333333333,88,AV,0,72,64,545,-2.183333333333333,"0,0,0,0"
5.033333333333333,323,AV,3,85,165,688,-5.033333333333333,"0,0,0,0"
3.966666666666667,324,AV,1,208,166,1323,-3.966666666666667,"0,0,0,0"
2.1333333333333333,512,AV,2,282,152,1042,-2.1333333333333333,"0,0,0,0"
2.1666666666666665,398,AV,1,239,174,592,-2.1666666666666665,"0,0,0,0"
1.8666666666666667,383,AV,1,166,187,150,-1.8666666666666667,"0,0,0,0"
3.3666666666666667,61,AV,1,50,44,682,-3.3666666666666667,"0,0,0,0"
1.65,418,AV,2,186,66,509,-1.65,"0,0,0,0"
2.2666666666666666,440,AV,1,256,60,454,-2.2666666666666666,"0,0,0,0"
3.15,87,AV,2,71,48,551,-3.15,"0,0,0,0"
3.7,519,AV,2,225,172,196,-3.7,"0,0,0,0"
5.516666666666667,169,AV,2,58,2,101,-5.516666666666667,"0,0,0,0"
1.7833333333333334,58,AV,3,40,42,1336,-1.7833333333333334,"0,0,0,0"
4.533333333333333,313,AV,0,201,161,577,-4.533333333333333,"0,0,0,0"
5.833333333333333,13,AV,3,13,10,1617,-5.833333333333333,"0,0,0,0"
3.216666666666667,504,AV,0,277,214,1001,-3.216666666666667,"0,0,0,0"
1.8166666666666667,172,AV,2,126,49,1630,-1.8166666666666667,"0,0,0,0"
7.366666666666666,314,AV,2,202,144,226,-7.366666666666666,"0,0,0,0"
5.616666666666666,370,AV,3,234,185,231,-5.616666666666666,"0,0,0,0"
3.85,496,AV,2,193,104,185,-3.85,"0,0,0,0"
7.166666666666667,208,AV,3,146,118,1608,-7.166666666666667,"0,0,0,0"
2.6166666666666667,220,AV,2,153,77,904,-2.6166666666666667,"0,0,0,0"
5.816666666666666,520,AV,1,249,105,672,-5.816666666666666,"0,0,0,0"
1.1833333333333333,394,AV,2,184,161,373,-1.1833333333333333,"0,0,0,0"
0.4666666666666667,109,AV,0,84,63,450,-0.4666666666666667,"0,0,0,0"
1.4666666666666666,42,AV,1,38,22,1729,-1.4666666666666666,"0,0,0,0"
1.85,330,AV,3,22,161,1546,-1.85,"0,0,0,0"
0.9833333333333333,384,AV,3,184,0,787,-0.9833333333333333,"0,0,0,0"
1.6166666666666667,462,AV,1,184,130,37,-1.6166666666666667,"0,0,0,0"
1.5333333333333334,349,AV,3,225,177,1028,-1.5333333333333334,"0,0,0,0"
1.1166666666666667,137,AV,3,103,69,1800,-1.1166666666666667,"0,0,0,0"
2.7,57,AV,0,43,41,736,-2.7,"0,0,0,0"
1.6666666666666667,391,AV,1,219,46,1052,-1.6666666666666667,"0,0,0,0"
2.9166666666666665,435,AV,3,254,95,1289,-2.9166666666666665,"0,0,0,0"
1.8833333333333333,171,AV,1,125,105,904,-1.8833333333333333,"0,0,0,0"
4.733333333333333,479,AV,1,263,139,17,-4.733333333333333,"0,0,0,0"
4.216666666666667,386,AV,1,240,71,1248,-4.216666666666667,"0,0,0,0"
1.65,338,AV,3,217,173,740,-1.65,"0,0,0,0"
