travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
1.7833333333333334,0,Human,3,0,0,70,-1.7833333333333334,"-1.8287189814442693,-1.983495961379512,-1.9721714315675876,-1.7833333333404682"
1.1,1,Human,0,1,1,569,-1.1,"-1.0987789796191516,-1.1659875813824452,-1.132275048310469,-1.15532225849303"
1.8666666666666667,2,Human,0,2,2,1548,-1.8666666666666667,"-1.8618304319883192,-2.574181739422517,-1.9302277012964497,-3.0472335500748358"
1.6166666666666667,3,Human,0,3,3,850,-1.6166666666666667,"-1.6129984552412586,-2.4360866736903546,-2.40289339637943,-1.6374306800621765"
2.7,4,Human,0,4,4,1175,-2.7,"-2.7007388229632596,-2.7506725421802996,-2.741844050783741,-2.792385931190331"
1.5,5,Human,0,5,5,154,-1.5,"-1.4999999999988087,-1.5318389036971736,-1.5356840285430229,-1.5272647961992571"
7.433333333333334,6,Human,0,6,6,637,-7.433333333333334,"-7.430179860984957,-7.447706666870245,-7.44304311630119,-7.444902658147866"
4.6,7,Human,0,7,7,1679,-4.6,"-4.5859524099425135,-4.616495475745165,-4.727408073092447,-4.615013081457313"
5.35,8,Human,0,8,8,271,-5.35,"-5.349999999913073,-5.459802697972378,-5.3582462272195,-5.358323224333421"
3.5,9,Human,1,9,9,131,-3.5,"-3.528238994616835,-3.4999999981390433,-4.10445210458284,-3.529560510356603"
3.6666666666666665,10,Human,3,10,10,360,-3.6666666666666665,"-3.669039570167359,-3.669188509567526,-3.6714759370575796,-3.6666628501688363"
3.283333333333333,11,Human,0,11,11,1541,-3.283333333333333,"-3.3046829799900515,-3.3676455042448636,-3.4958004455484724,-3.352479932625611"
3.2333333333333334,12,Human,0,12,12,1197,-3.2333333333333334,"-3.233468378592322,-3.267563732644679,-6.477291190054137,-3.647989908706464"
2.6666666666666665,13,Human,0,13,13,1317,-2.6666666666666665,"-2.674043359746458,-2.7110189192428593,-2.7290887164599464,-2.7112733074898965"
2.55,14,Human,0,14,5,1526,-2.55,"-2.545031311414008,-2.587261590562054,-2.557941058410406,-2.5928951484872256"
2.9166666666666665,15,Human,0,15,5,852,-2.9166666666666665,"-2.910534151553318,-2.918171167682884,-2.9191339782159673,-2.9409778712913077"
3.5166666666666666,16,Human,1,16,14,595,-3.5166666666666666,"-3.541582250961379,-3.5110153548755756,-3.5154940874714997,-3.5703389555632192"
3.183333333333333,17,Human,3,17,15,1745,-3.183333333333333,"-3.172240699203747,-3.3482323959101277,-3.3183220317644695,-3.16677453234683"
6.05,18,Human,2,18,16,257,-6.05,"-6.141990474335165,-6.102154424196352,-6.050140914483268,-6.153766592964616"
6.016666666666667,19,Human,2,19,17,476,-6.016666666666667,"-6.061111528344751,-6.023338952492421,-6.012110240566248,-6.012817490626313"
2.433333333333333,20,Human,2,20,18,810,-2.433333333333333,"-2.4456840877866988,-2.5115330618232914,-2.4321612410329463,-2.45875750340453"
4.583333333333333,21,Human,1,21,15,1026,-4.583333333333333,"-4.638782494354588,-4.586634452189117,-4.736911161942597,-4.925599616915307"
4.95,22,Human,1,22,19,1539,-4.95,"-4.951262993439992,-4.940659836401355,-5.11042154802886,-4.982974759727961"
5.333333333333333,23,Human,0,23,5,1235,-5.333333333333333,"-5.347550479092262,-5.410620712321475,-5.40192925524235,-5.426347002837682"
6.166666666666667,24,Human,1,24,20,1283,-6.166666666666667,"-6.166148725490658,-6.148144209719653,-6.166447813217104,-6.183522499555401"
3.5833333333333335,25,Human,1,14,18,1571,-3.5833333333333335,"-3.6077621190046427,-3.5937351959651824,-3.6740824018592315,-3.7375500351328435"
2.8666666666666667,26,Human,0,25,21,958,-2.8666666666666667,"-2.8715458640309652,-2.887819359218188,-2.921860777433319,-2.89220220473298"
1.4833333333333334,27,Human,0,26,2,853,-1.4833333333333334,"-1.4812320136187451,-1.5521037599777134,-1.5622730373070757,-1.494283189067779"
2.4166666666666665,28,Human,0,27,22,1518,-2.4166666666666665,"-2.415986803387884,-2.467709165347925,-2.4735829614248326,-2.483857531493519"
1.3666666666666667,29,Human,1,28,23,1411,-1.3666666666666667,"-1.4842174226061915,-1.3629185235088304,-1.6664266858651309,-1.8971322294216464"
2.216666666666667,30,Human,1,29,24,15,-2.216666666666667,"-2.2287026777305594,-2.2166666666643264,-2.278135498980009,-2.231418638328469"
1.6333333333333333,31,Human,0,30,12,1230,-1.6333333333333333,"-1.652994242383133,-1.7316502887888061,-1.7818872097146996,-1.7445997128873152"
1.6,32,Human,0,31,22,587,-1.6,"-1.5984446081822499,-1.606196939942284,-1.798859975955825,-1.820108475355585"
2.933333333333333,33,Human,0,32,25,1187,-2.933333333333333,"-2.9366206394654206,-3.067925331065472,-2.9851934386136083,-2.9899591138676147"
6.25,34,Human,1,33,5,1615,-6.25,"-6.317064320513081,-6.270641865449196,-6.300672292573585,-6.346367283194226"
2.8,35,Human,2,34,26,357,-2.8,"-2.9713839056140814,-2.8168520205548027,-2.798871639974944,-2.8885522408934774"
3.783333333333333,36,Human,0,18,12,1627,-3.783333333333333,"-3.7961624211374065,-3.8556151484284085,-6.602061098017322,-4.05820785333572"
1.7166666666666666,37,Human,3,35,27,1708,-1.7166666666666666,"-1.760131796419072,-1.7407745531341408,-1.7636254303132344,-1.7183969649196833"
2.816666666666667,38,Human,0,27,3,1644,-2.816666666666667,"-2.829812113102984,-3.3398081622857934,-2.890267567130409,-2.8663989192639248"
3.4833333333333334,39,Human,1,36,28,1309,-3.4833333333333334,"-3.493141885604597,-3.479963664575034,-3.5271190519718605,-3.5215812783245695"
3.816666666666667,40,Human,1,37,27,1318,-3.816666666666667,"-3.818248190549384,-3.8113694119388537,-3.8556334724396155,-3.8185902439453763"
2.8,41,Human,3,18,2,466,-2.8,"-2.8121158273209934,-2.8600676555719478,-3.008966336714672,-2.8034058373593065"
2.183333333333333,42,Human,0,38,29,1605,-2.183333333333333,"-2.1646365218594994,-2.3433827180980384,-2.183348777359641,-2.1729416359370615"
4.0,43,Human,0,24,12,807,-4.0,"-4.001547437280705,-4.034711845659561,-4.090080868056367,-4.601257853753452"
5.433333333333334,44,Human,0,35,15,800,-5.433333333333334,"-5.432300689141729,-5.451730289089852,-5.441916423725084,-5.526188341948156"
1.9833333333333334,45,Human,2,39,29,1219,-1.9833333333333334,"-1.9937309727030823,-1.9950370872294274,-1.9840259551689912,-2.015913821066226"
1.1833333333333333,46,Human,0,40,18,234,-1.1833333333333333,"-1.1833333327269675,-1.1888696558537022,-1.2333191043444016,-1.2145919017398177"
0.9333333333333333,47,Human,0,41,30,1734,-0.9333333333333333,"-0.9235065251859266,-0.9475274924944781,-0.9553612531780172,-1.3079122649779855"
2.3666666666666667,48,Human,0,17,12,981,-2.3666666666666667,"-2.3652441235594113,-2.48314054202473,-2.494124437391948,-2.434420797915134"
6.516666666666667,49,Human,0,42,31,1027,-6.516666666666667,"-6.511750071160721,-6.529940693692812,-6.556683757969135,-6.522713902194638"
0.8333333333333334,50,Human,0,13,32,731,-0.8333333333333334,"-0.8308801560604768,-0.8702112975355731,-0.8353734340476928,-0.8623401348790058"
1.3666666666666667,51,Human,3,43,9,1262,-1.3666666666666667,"-1.4368451373503954,-1.4959567827130855,-1.4645194174513003,-1.408450669968723"
2.65,52,Human,1,44,33,1236,-2.65,"-2.674485694353735,-2.64586270820147,-2.7153292389144577,-2.6552452872979635"
2.0,53,Human,0,18,9,13,-2.0,"-1.9999999999972213,-2.023588087651061,-2.104797919167668,-2.4765306122448982"
3.5833333333333335,54,Human,1,45,5,385,-3.5833333333333335,"-3.687841489044862,-3.5822179407774737,-3.5894711594316506,-3.7262933497891604"
1.2333333333333334,55,Human,0,46,29,188,-1.2333333333333334,"-1.2333333333626655,-1.2604804119801414,-5.283043051633901,-4.74472534874281"
3.066666666666667,56,Human,1,47,12,208,-3.066666666666667,"-3.174546521289813,-3.0666666810477174,-3.2240118362748995,-3.1635938764044145"
3.3,57,Human,0,48,34,1156,-3.3,"-3.3047882488963527,-3.3823828876518833,-3.3229206665402558,-3.328039404575936"
2.8,58,Human,1,0,35,445,-2.8,"-2.8359760915188255,-2.7988698546044337,-2.9372054227018385,-2.8341503901200515"
3.2333333333333334,59,Human,0,49,5,574,-3.2333333333333334,"-3.2300410333236176,-3.2757014062644494,-3.261461197312508,-3.2739739399863614"
2.816666666666667,60,Human,1,13,36,1415,-2.816666666666667,"-2.8928866720719655,-2.8473708336704253,-4.122106307833821,-2.8909503896135065"
3.466666666666667,61,Human,0,36,34,1461,-3.466666666666667,"-3.4843034077998785,-3.576379091583078,-3.576198823195598,-3.51607477357575"
5.866666666666666,62,Human,2,36,37,1184,-5.866666666666666,"-6.017754525994704,-5.889379204562801,-5.881572309895045,-6.016509107507309"
1.5833333333333333,63,Human,1,50,38,1553,-1.5833333333333333,"-1.5881573552649462,-1.5722127922987126,-1.6131923749084374,-2.406735048230956"
3.55,64,Human,0,51,11,1356,-3.55,"-3.565308040204217,-3.5812957918430897,-3.583479500770803,-3.6241120998200755"
4.766666666666667,65,Human,1,52,23,1693,-4.766666666666667,"-5.1209245221520705,-4.822239720864985,-5.108775636998009,-4.990797446749764"
2.8666666666666667,66,Human,0,53,12,1737,-2.8666666666666667,"-2.859429518248498,-2.884981563539743,-2.873737900516579,-2.884851799544408"
3.35,67,Human,1,54,39,1388,-3.35,"-3.3661916806216277,-3.3568125178283643,-3.426801010627434,-3.4660851647786552"
4.883333333333334,68,Human,2,55,40,589,-4.883333333333334,"-5.024768004635441,-5.057478688909152,-4.8840877558768705,-8.29944041118993"
3.2666666666666666,69,Human,0,56,34,124,-3.2666666666666666,"-3.266666549872415,-3.3500481907871063,-3.358335896887566,-3.268329136116396"
4.833333333333333,70,Human,1,57,41,598,-4.833333333333333,"-4.874305136866254,-4.834822500066096,-4.859081735543236,-7.456518872446349"
5.283333333333333,71,Human,1,58,42,1258,-5.283333333333333,"-5.486554189931697,-5.30097478919729,-5.404420797740821,-5.447917416822454"
6.2,72,Human,0,59,5,231,-6.2,"-6.1977159434248845,-6.21577459120621,-6.261507904829321,-6.271862126254886"
3.9833333333333334,73,Human,0,49,5,1391,-3.9833333333333334,"-3.9716679809784354,-4.018155566675915,-3.991475673156674,-4.046233988257939"
3.316666666666667,74,Human,0,13,43,1735,-3.316666666666667,"-3.3202953398706194,-3.3347575040729036,-3.3378540322841883,-3.4168503686571827"
2.0166666666666666,75,Human,0,60,9,1662,-2.0166666666666666,"-2.025240114232591,-2.098260533621656,-2.0854262754720323,-2.0661517811167665"
2.6666666666666665,76,Human,1,61,44,400,-2.6666666666666665,"-2.691744053024144,-2.6654744458052386,-2.724412923939197,-2.9441199637916187"
2.6666666666666665,77,Human,0,62,5,175,-2.6666666666666665,"-2.666666666688296,-2.8456953983897364,-2.857019928201661,-2.6755206440520545"
2.2666666666666666,78,Human,2,63,44,1553,-2.2666666666666666,"-2.472222899238889,-2.724598810006364,-2.282755224661496,-2.32615362366689"
2.033333333333333,79,Human,1,64,29,1655,-2.033333333333333,"-2.050372895856742,-2.0410615638377183,-2.0543361056988214,-2.0916895184613065"
1.7,80,Human,0,65,44,626,-1.7,"-1.698638624581324,-1.7671439274399465,-1.8211940499742008,-1.8549394847931973"
5.6,81,Human,0,66,45,486,-5.6,"-5.600111447262943,-5.617537754453833,-5.7114508704727704,-5.619735809548174"
3.783333333333333,82,Human,0,67,12,1091,-3.783333333333333,"-3.778892770159863,-3.8119401893369576,-3.796625534799879,-5.126451514190461"
3.8,83,Human,1,54,23,191,-3.8,"-3.8026350425905218,-3.7999999982336075,-5.150099598541385,-3.8213815630233112"
3.683333333333333,84,Human,3,66,3,836,-3.683333333333333,"-3.7819418986887143,-3.889356415251279,-3.7248815904538786,-3.68960995126492"
4.083333333333333,85,Human,0,68,46,1436,-4.083333333333333,"-4.09967579403941,-4.138229162932683,-4.145245068457951,-4.287665031356276"
1.6333333333333333,86,Human,0,69,47,414,-1.6333333333333333,"-1.6333275554909468,-1.6499823580665183,-1.6484261414861123,-1.672308808332548"
2.85,87,Human,0,70,29,1390,-2.85,"-2.820357806650887,-2.817757878374314,-2.9414047770872207,-2.8283604131357367"
2.783333333333333,88,Human,0,71,12,593,-2.783333333333333,"-2.783155808285257,-2.805253938544398,-2.8701361910195864,-2.8684426677172628"
3.25,89,Human,2,72,9,117,-3.25,"-3.2766288750223325,-3.2715993595285195,-3.249999999986525,-3.300514175317355"
3.4,90,Human,0,20,48,1026,-3.4,"-3.39846889756809,-3.5392038111740023,-3.4101814598811324,-3.4228766247118"
3.4833333333333334,91,Human,0,73,49,1440,-3.4833333333333334,"-3.4996247950484345,-3.5890894394330806,-3.562550798634789,-3.549361375862887"
2.7,92,Human,0,74,50,1424,-2.7,"-2.6897744634920437,-2.7284550554340967,-2.7082535702391715,-3.199372535165274"
1.2333333333333334,93,Human,0,41,51,1790,-1.2333333333333334,"-1.241002776494358,-1.2597639055622252,-1.2608184334430177,-1.3681273805418497"
2.6333333333333333,94,Human,1,27,18,1027,-2.6333333333333333,"-2.6507249774201926,-2.635714291523594,-2.7605642256902767,-2.6579871948779514"
3.4,95,Human,0,75,52,494,-3.4,"-3.398680948219106,-3.4396315812430083,-3.449632881148311,-3.4342297420209813"
3.45,96,Human,0,76,12,922,-3.45,"-3.450055081340769,-3.453855477584324,-3.542425192164699,-3.53257127626515"
2.8833333333333333,97,Human,0,77,34,1433,-2.8833333333333333,"-2.8889015905342506,-3.199291770741494,-4.35550373582626,-3.1385715989019416"
1.55,98,Human,0,78,44,465,-1.55,"-1.5526060377459057,-1.6272592109442772,-2.0883988440588617,-1.6627688318812048"
2.8833333333333333,99,Human,1,7,34,395,-2.8833333333333333,"-2.901941021508713,-2.8833244862317584,-2.9204190966419774,-2.928584536245965"
2.683333333333333,100,Human,1,79,1,583,-2.683333333333333,"-2.692389119411704,-2.6833216661478256,-2.724547754305063,-2.6945604363538664"
4.45,101,Human,0,80,53,76,-4.45,"-4.450000000604355,-4.524964670389394,-4.519706359721716,-6.031543027578202"
3.15,102,Human,1,75,54,316,-3.15,"-3.167628470486642,-3.150019015351767,-4.5590071161654,-3.604784390358015"
6.2,103,Human,3,81,55,278,-6.2,"-6.2595500121597505,-6.319180879120142,-6.201366185045412,-6.199985489223145"
7.65,104,Human,0,82,56,356,-7.65,"-7.651372744643633,-7.797276080655445,-7.79147217060774,-7.669148224655283"
5.8,105,Human,0,83,39,187,-5.8,"-5.80000000091287,-5.852729565958345,-5.885825077839735,-6.130175119744642"
3.033333333333333,106,Human,0,84,10,1087,-3.033333333333333,"-3.0306165930484426,-4.399489925300781,-3.1187801526738186,-3.085212535971809"
3.1,107,Human,2,85,29,137,-3.1,"-3.1096387502159355,-3.3191463205872704,-3.100000002175909,-3.1338559180850165"
5.533333333333333,108,Human,0,35,20,1129,-5.533333333333333,"-5.5263546699563015,-5.540549912086796,-5.546902419957184,-5.53871175432968"
3.683333333333333,109,Human,1,86,9,282,-3.683333333333333,"-3.700370686461747,-3.683314909778409,-3.7112647873689624,-3.744055329002131"
2.4166666666666665,110,Human,0,87,34,487,-2.4166666666666665,"-2.4175596486094992,-2.4554693992704997,-2.4762452867282168,-2.44887211137336"
1.7166666666666666,111,Human,0,88,57,1503,-1.7166666666666666,"-1.7156816941827238,-1.8695766571567431,-1.735503562358338,-2.3294576289839197"
1.5166666666666666,112,Human,0,27,9,1787,-1.5166666666666666,"-1.519133428751008,-1.5440605337069315,-1.5899615846338537,-1.9324129651860744"
1.6166666666666667,113,Human,0,45,12,1565,-1.6166666666666667,"-1.6090061931896669,-1.642970042732716,-1.621513920563186,-1.6180055212415438"
3.033333333333333,114,Human,2,89,58,791,-3.033333333333333,"-3.15623453386617,-3.0463316295316156,-3.0293377066012583,-3.134383964391108"
3.033333333333333,115,Human,3,62,59,1691,-3.033333333333333,"-3.0993445294052755,-3.050588416370416,-3.07471586647618,-3.0367545284036996"
4.883333333333334,116,Human,0,29,60,122,-4.883333333333334,"-4.883333333262214,-5.163991699487571,-4.921963466452095,-5.979169652022076"
0.9833333333333333,117,Human,0,90,61,143,-0.9833333333333333,"-0.983333333367361,-1.1685637249860346,-2.6376313520368555,-1.0152677204964062"
3.5166666666666666,118,Human,3,91,15,16,-3.5166666666666666,"-3.520712089806328,-3.692289889317858,-3.659096612006933,-3.516666666662992"
1.9666666666666666,119,Human,0,1,62,798,-1.9666666666666666,"-1.964499861984114,-1.9832173796628596,-2.0118621572576623,-1.9815022008803522"
3.3666666666666667,120,Human,0,48,12,688,-3.3666666666666667,"-3.363645605492182,-3.521948593519482,-3.384166418873564,-3.4979018821351437"
2.9833333333333334,121,Human,0,76,12,1551,-2.9833333333333334,"-2.9791435975875182,-3.0348527234588385,-3.1025393627573417,-3.1000259524976297"
3.933333333333333,122,Human,2,78,63,1721,-3.933333333333333,"-3.9774621540659343,-3.9633723582696474,-3.9437724423506633,-3.970686446607382"
3.75,123,Human,0,17,4,830,-3.75,"-3.7533582321859873,-3.8113898373172166,-3.7751911223448067,-3.791426182618064"
6.366666666666666,124,Human,0,92,64,1240,-6.366666666666666,"-6.349553046122766,-6.354770494757783,-6.453336593034335,-6.365488270310358"
4.05,125,Human,1,13,65,787,-4.05,"-4.093514940380743,-4.046164512107184,-4.518209425339816,-4.1769682996393165"
2.966666666666667,126,Human,1,93,66,1485,-2.966666666666667,"-3.084882197659482,-2.9863420882920333,-3.013440567011542,-3.5098480716980816"
2.0166666666666666,127,Human,0,15,5,1748,-2.0166666666666666,"-2.01555743011056,-2.043661549880633,-2.0529168845363923,-2.0305001519156263"
2.6666666666666665,128,Human,3,25,29,1444,-2.6666666666666665,"-2.6873746354450097,-2.687359895995085,-2.6863835267029614,-2.6661022391517863"
2.6166666666666667,129,Human,0,94,9,145,-2.6166666666666667,"-2.6166666666370317,-2.632746858478152,-2.680691213505763,-2.7032384218424594"
0.8333333333333334,130,Human,1,95,12,753,-0.8333333333333334,"-0.894516358595274,-0.8348383484054094,-0.8645070004885469,-1.3869450155872285"
6.133333333333334,131,Human,0,96,67,667,-6.133333333333334,"-6.137659215420901,-6.173160059468021,-6.178450192605735,-6.219763741720197"
1.85,132,Human,0,97,5,1294,-1.85,"-1.8563190830793295,-2.028240914796444,-2.6472045261589154,-1.935577802035141"
0.9833333333333333,133,Human,0,13,25,640,-0.9833333333333333,"-0.9765028328882414,-1.0001901948456275,-1.0079082604964233,-0.9851126371734727"
2.5,134,Human,0,96,68,586,-2.5,"-2.5030285961682455,-2.5204479148832752,-2.513989524995405,-2.5466117738787384"
1.1,135,Human,0,98,5,347,-1.1,"-1.0999999999913073,-1.1449032328842264,-1.140187960062355,-1.2210144331310637"
3.0,136,Human,0,36,69,1798,-3.0,"-2.978812094911334,-2.989651834461158,-3.029286930175383,-3.0171407214393318"
3.4166666666666665,137,Human,1,99,18,394,-3.4166666666666665,"-3.440798781236011,-3.416667110279972,-3.4609254903942865,-3.462279424656832"
2.816666666666667,138,Human,1,68,70,1619,-2.816666666666667,"-2.850532035283568,-2.8152157547016574,-2.947403426028491,-2.8520803890082598"
0.7,139,Human,0,41,71,1711,-0.7,"-0.6858077725543075,-0.7999329033269176,-1.9754668606103347,-1.2149013385051648"
6.05,140,Human,3,100,72,983,-6.05,"-6.084639728768999,-6.074951558875931,-6.146823213711946,-6.0481985511606755"
2.9833333333333334,141,Human,1,45,73,776,-2.9833333333333334,"-3.0065736675388903,-2.9884079803428363,-3.0190890872863987,-3.3358444601742785"
0.6666666666666666,142,Human,0,36,74,1338,-0.6666666666666666,"-0.6703100932058191,-4.0792076165384525,-2.885555857778793,-2.74941474906749"
3.0833333333333335,143,Human,0,101,75,63,-3.0833333333333335,"-3.0833333328974297,-3.0933866940683767,-3.09107707493806,-3.113910164290504"
3.8833333333333333,144,Human,0,49,76,1563,-3.8833333333333333,"-3.8863836132091665,-3.9387820939785136,-3.927631293151072,-3.9029667347263546"
1.6666666666666667,145,Human,0,41,15,1013,-1.6666666666666667,"-1.6656343480853182,-1.7164195411786023,-1.8167075181404455,-1.832530564421593"
2.433333333333333,146,Human,0,102,3,331,-2.433333333333333,"-2.4333495955009985,-3.0389878341545407,-5.364815919168243,-2.45848452303277"
