travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
1.7833333333333334,0,Human,3,0,0,70,-1.7833333333333334,"-1.8287189814442693,-1.983495961379512,-1.9721714315675871,-1.783347540086858"
1.1,1,Human,0,1,1,569,-1.1,"-1.093567395840943,-1.1659875813824452,-1.132275048310469,-1.15532225849303"
1.8666666666666667,2,Human,0,2,2,1548,-1.8666666666666667,"-1.8698284848741273,-2.574181739422517,-1.9302277012964497,-3.0472335500748353"
1.6,3,Human,0,3,3,850,-1.6,"-1.602368361204185,-2.4360866736903546,-2.40289339637943,-1.6374306800621765"
2.7,4,Human,0,4,4,1175,-2.7,"-2.702012465352598,-2.7506725421802996,-2.741844050783741,-2.792385931190331"
1.5,5,Human,0,5,5,154,-1.5,"-1.499997626673421,-1.5318389036971736,-1.5356840285430229,-1.5272647961992571"
7.433333333333334,6,Human,0,6,6,637,-7.433333333333334,"-7.392445400632315,-7.39368489633035,-7.4060622956572,-7.385294989351498"
4.583333333333333,7,Human,0,7,7,1679,-4.583333333333333,"-4.5998126968406,-4.616495475745165,-4.727408073092447,-4.615013081457313"
5.4,8,Human,2,8,8,271,-5.4,"-5.349826892626824,-5.459802697972378,-5.3582462272195,-5.358323224333421"
3.5,9,Human,1,9,9,131,-3.5,"-3.528238994616835,-3.4962941522711306,-4.10445210458284,-3.529560510356603"
3.6666666666666665,10,Human,0,10,10,360,-3.6666666666666665,"-3.628196192585743,-3.6292319118222793,-3.61946188473789,-3.624247022620046"
3.3833333333333333,11,Human,0,11,11,1541,-3.3833333333333333,"-3.343624895637683,-3.3676455042448636,-3.4958004455484724,-3.352479932625611"
3.2,12,Human,0,12,12,1197,-3.2,"-3.2191628221786712,-3.267563732644679,-6.477291190054137,-3.647989908706464"
2.6666666666666665,13,Human,0,13,13,1317,-2.6666666666666665,"-2.679026512268601,-2.7110189192428593,-2.7290887164599464,-2.7112733074898965"
2.533333333333333,14,Human,0,14,5,1526,-2.533333333333333,"-2.538183217961357,-2.587261590562054,-2.557941058410406,-2.5928951484872256"
