travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
4.816666666666666,41,AV,1,37,29,396,-3.225493945188018,"0,0,0,0"
3.033333333333333,31,AV,2,27,6,452,-3.225493945188018,"0,0,0,0"
2.55,255,AV,2,93,57,1673,-3.225493945188018,"0,0,0,0"
1.8166666666666667,206,AV,0,145,95,367,-3.225493945188018,"0,0,0,0"
4.166666666666667,20,AV,3,15,15,614,-3.225493945188018,"0,0,0,0"
2.3333333333333335,159,AV,1,115,57,456,-3.225493945188018,"0,0,0,0"
2.25,249,AV,3,170,137,1797,-3.225493945188018,"0,0,0,0"
1.7666666666666666,132,AV,3,3,78,974,-3.225493945188018,"0,0,0,0"
1.9333333333333333,492,AV,3,193,2,1226,-3.225493945188018,"0,0,0,0"
4.566666666666666,120,AV,1,92,79,1081,-3.225493945188018,"0,0,0,0"
2.9,230,AV,3,158,129,518,-3.225493945188018,"0,0,0,0"
8.016666666666667,486,AV,1,28,147,34,-3.225493945188018,"0,0,0,0"
2.4,368,AV,1,58,181,118,-3.225493945188018,"0,0,0,0"
4.0,136,AV,3,102,57,371,-3.225493945188018,"0,0,0,0"
1.4833333333333334,404,AV,1,240,60,802,-3.225493945188018,"0,0,0,0"
1.65,195,AV,3,97,74,1084,-3.225493945188018,"0,0,0,0"
2.3666666666666667,88,AV,3,72,64,545,-3.225493945188018,"0,0,0,0"
4.983333333333333,323,AV,0,85,165,688,-3.225493945188018,"0,0,0,0"
4.416666666666667,324,AV,3,208,166,1323,-3.225493945188018,"0,0,0,0"
2.216666666666667,512,AV,1,282,152,1042,-3.225493945188018,"0,0,0,0"
2.3,398,AV,3,239,174,592,-3.225493945188018,"0,0,0,0"
1.8166666666666667,383,AV,2,166,187,150,-3.225493945188018,"0,0,0,0"
3.7,61,AV,3,50,44,682,-3.225493945188018,"0,0,0,0"
1.1333333333333333,418,AV,0,186,66,509,-3.225493945188018,"0,0,0,0"
2.3,440,AV,3,256,60,454,-3.225493945188018,"0,0,0,0"
3.7666666666666666,87,AV,3,71,48,551,-3.225493945188018,"0,0,0,0"
3.7666666666666666,519,AV,0,225,172,196,-3.225493945188018,"0,0,0,0"
4.766666666666667,169,AV,3,58,2,101,-3.225493945188018,"0,0,0,0"
1.9,58,AV,3,40,42,1336,-3.225493945188018,"0,0,0,0"
4.933333333333334,313,AV,0,201,161,577,-3.225493945188018,"0,0,0,0"
5.8,13,AV,0,13,10,1617,-3.225493945188018,"0,0,0,0"
3.0166666666666666,504,AV,2,277,214,1001,-3.225493945188018,"0,0,0,0"
1.8333333333333333,172,AV,3,126,49,1630,-3.225493945188018,"0,0,0,0"
6.216666666666667,314,AV,3,202,144,226,-3.225493945188018,"0,0,0,0"
5.083333333333333,370,AV,0,234,185,231,-3.225493945188018,"0,0,0,0"
4.05,496,AV,3,193,104,185,-3.2254939451880174,"0,0,0,0"
6.8,208,AV,1,146,118,1608,-3.225493945188018,"0,0,0,0"
2.55,220,AV,0,153,77,904,-3.225493945188018,"0,0,0,0"
5.533333333333333,520,AV,2,249,105,672,-3.225493945188018,"0,0,0,0"
1.25,394,AV,3,184,161,373,-3.225493945188018,"0,0,0,0"
2.3333333333333335,109,AV,3,84,63,450,-3.225493945188018,"0,0,0,0"
3.15,42,AV,2,38,22,1729,-3.225493945188018,"0,0,0,0"
2.066666666666667,330,AV,2,22,161,1546,-3.2254939451880174,"0,0,0,0"
1.0166666666666666,384,AV,3,184,0,787,-3.225493945188018,"0,0,0,0"
1.5,462,AV,3,184,130,37,-3.2254939451880174,"0,0,0,0"
1.55,349,AV,3,225,177,1028,-3.225493945188018,"0,0,0,0"
1.0666666666666667,137,AV,3,103,69,1800,-3.225493945188018,"0,0,0,0"
2.5833333333333335,57,AV,3,43,41,736,-3.225493945188018,"0,0,0,0"
1.2833333333333334,391,AV,2,219,46,1052,-3.2254939451880174,"0,0,0,0"
2.966666666666667,435,AV,3,254,95,1289,-3.225493945188018,"0,0,0,0"
1.8833333333333333,171,AV,1,125,105,904,-3.2254939451880174,"0,0,0,0"
5.166666666666667,479,AV,3,263,139,17,-3.225493945188018,"0,0,0,0"
4.766666666666667,386,AV,2,240,71,1248,-3.225493945188018,"0,0,0,0"
1.4666666666666666,338,AV,0,217,173,740,-3.225493945188018,"0,0,0,0"
2.8833333333333333,457,AV,2,260,172,370,-3.2254939451880174,"0,0,0,0"
4.733333333333333,69,AV,3,58,50,133,-3.225493945188018,"0,0,0,0"
2.716666666666667,453,AV,3,258,125,681,-3.225493945188018,"0,0,0,0"
3.6166666666666667,318,AV,3,204,135,1687,-3.225493945188018,"0,0,0,0"
1.9666666666666666,447,AV,0,206,36,1116,-3.225493945188018,"0,0,0,0"
1.2333333333333334,23,AV,3,21,18,492,-3.225493945188018,"0,0,0,0"
4.066666666666666,199,AV,2,141,47,1603,-3.225493945188018,"0,0,0,0"
2.05,301,AV,3,193,83,1250,-3.225493945188018,"0,0,0,0"
0.7666666666666667,246,AV,3,167,12,1351,-3.225493945188018,"0,0,0,0"
1.65,379,AV,3,217,188,1434,-3.225493945188018,"0,0,0,0"
4.3,214,AV,3,151,48,1453,-3.225493945188018,"0,0,0,0"
0.9833333333333333,39,AV,1,35,2,188,-3.225493945188018,"0,0,0,0"
5.566666666666666,291,AV,3,58,155,832,-3.225493945188018,"0,0,0,0"
1.05,375,AV,0,47,181,1136,-3.225493945188018,"0,0,0,0"
0.9666666666666667,197,AV,3,140,95,76,-3.225493945188018,"0,0,0,0"
1.2333333333333334,6,AV,1,6,5,43,-3.225493945188018,"0,0,0,0"
5.5,500,AV,0,274,78,515,-3.225493945188018,"0,0,0,0"
1.95,247,AV,2,168,57,1517,-3.225493945188018,"0,0,0,0"
4.383333333333334,485,AV,2,268,78,489,-3.2254939451880174,"0,0,0,0"
6.433333333333334,285,AV,3,185,152,289,-3.2254939451880174,"0,0,0,0"
2.566666666666667,65,AV,3,54,3,786,-3.225493945188018,"0,0,0,0"
1.9833333333333334,257,AV,3,173,140,385,-3.2254939451880174,"0,0,0,0"
2.25,215,AV,3,98,45,424,-3.225493945188018,"0,0,0,0"
1.7,377,AV,3,186,132,818,-3.2254939451880174,"0,0,0,0"
1.9,497,AV,2,272,71,563,-3.225493945188018,"0,0,0,0"
2.716666666666667,273,AV,3,134,147,1074,-3.2254939451880174,"0,0,0,0"
3.05,425,AV,0,184,126,1771,-3.225493945188018,"0,0,0,0"
4.133333333333334,93,AV,0,70,66,1298,-3.225493945188018,"0,0,0,0"
4.583333333333333,261,AV,3,8,143,101,-3.225493945188018,"0,0,0,0"
4.083333333333333,106,AV,2,82,58,1454,-3.225493945188018,"0,0,0,0"
2.7666666666666666,444,AV,3,79,202,246,-3.225493945188018,"0,0,0,0"
3.75,312,AV,3,200,40,1079,-3.225493945188018,"0,0,0,0"
1.45,397,AV,3,105,60,1252,-3.225493945188018,"0,0,0,0"
1.4166666666666667,161,AV,3,117,2,1152,-3.225493945188018,"0,0,0,0"
4.05,372,AV,3,34,14,50,-3.225493945188018,"0,0,0,0"
1.3166666666666667,495,AV,1,271,2,912,-3.225493945188018,"0,0,0,0"
6.9,327,AV,0,210,148,1347,-3.225493945188018,"0,0,0,0"
2.5833333333333335,475,AV,3,12,16,1006,-3.225493945188018,"0,0,0,0"
3.5166666666666666,292,AV,3,190,31,106,-3.2254939451880174,"0,0,0,0"
5.283333333333333,281,AV,3,182,31,293,-3.225493945188018,"0,0,0,0"
1.4,265,AV,0,134,57,1143,-3.225493945188018,"0,0,0,0"
6.566666666666666,515,AV,3,186,177,503,-3.225493945188018,"0,0,0,0"
2.5833333333333335,454,AV,0,227,108,646,-3.225493945188018,"0,0,0,0"
2.533333333333333,362,AV,3,233,31,417,-3.225493945188018,"0,0,0,0"
2.5833333333333335,160,AV,3,116,99,79,-3.225493945188018,"0,0,0,0"
4.95,193,AV,3,6,0,1652,-3.225493945188018,"0,0,0,0"
4.35,147,AV,3,94,93,1443,-3.225493945188018,"0,0,0,0"
3.3833333333333333,52,AV,3,46,36,846,-3.225493945188018,"0,0,0,0"
4.7,170,AV,3,124,47,1775,-3.225493945188018,"0,0,0,0"
8.433333333333334,279,AV,1,82,143,126,-3.225493945188018,"0,0,0,0"
1.1166666666666667,148,AV,0,49,83,1629,-3.225493945188018,"0,0,0,0"
2.05,476,AV,3,262,208,1485,-3.225493945188018,"0,0,0,0"
3.783333333333333,290,AV,1,189,2,1792,-3.225493945188018,"0,0,0,0"
1.4833333333333334,358,AV,3,104,182,677,-3.225493945188018,"0,0,0,0"
3.816666666666667,390,AV,3,184,155,1311,-3.225493945188018,"0,0,0,0"
3.15,428,AV,0,251,172,490,-3.225493945188018,"0,0,0,0"
6.233333333333333,236,AV,0,162,31,319,-3.225493945188018,"0,0,0,0"
3.05,210,AV,0,148,120,184,-3.225493945188018,"0,0,0,0"
1.65,16,AV,3,6,12,399,-3.225493945188018,"0,0,0,0"
2.65,316,AV,3,203,57,1652,-3.225493945188018,"0,0,0,0"
2.2,203,AV,3,143,116,1578,-3.2254939451880174,"0,0,0,0"
