episode,instability_humans,instability_CAVs,avg_time_lost
5,0,222,24.36
10,0,0,24.36
15,0,0,24.36
20,0,0,24.36
25,0,0,24.36
30,0,0,24.36
35,0,0,24.36
40,0,0,24.36
45,0,0,24.36
50,0,0,24.36
55,0,0,24.36
60,0,0,24.36
65,0,0,24.36
70,0,0,24.36
75,0,0,24.36
80,0,0,24.36
85,0,0,24.36
90,0,0,24.36
95,0,0,24.36
100,0,0,24.36
105,0,0,24.36
110,0,0,24.36
115,0,0,24.36
120,0,0,24.36
125,0,0,24.36
130,0,0,24.36
135,0,0,24.36
140,0,0,24.36
145,0,0,24.36
150,0,0,24.36
155,0,0,24.36
160,0,0,24.36
165,0,0,24.36
170,0,0,24.36
175,0,0,24.36
180,0,0,24.36
185,0,0,24.36
190,0,0,24.36
195,0,0,24.36
200,0,0,24.36
205,0,0,24.36
210,0,0,24.36
215,0,0,24.36
220,0,0,24.36
225,0,0,24.36
230,0,0,24.36
235,0,0,24.36
240,0,0,24.36
245,0,0,24.36
250,0,0,24.36
255,0,0,24.36
260,0,0,24.36
265,0,0,24.36
270,0,0,24.36
275,0,0,24.36
280,0,0,24.36
285,0,0,24.36
290,0,0,24.36
295,0,0,24.36
300,0,0,24.36
