episode,instability_humans,instability_CAVs,avg_time_lost
5,0,222,30.29
10,0,174,29.299999999999997
15,0,163,29.349999999999998
20,0,172,28.84
25,0,163,29.81
30,0,172,28.919999999999998
35,0,171,28.5
40,0,166,35.38
45,0,159,29.57
50,0,174,29.08
55,0,162,29.62
60,0,168,28.77
65,0,171,29.25
70,0,163,28.98
75,0,181,29.37
80,0,168,28.48
85,0,179,28.34
90,0,170,29.14
95,0,162,29.11
100,0,161,29.05
105,0,167,29.12
110,0,168,29.25
115,0,170,29.13
120,0,171,30.43
125,0,180,28.54
130,0,165,28.77
135,0,169,47.1
140,0,168,28.029999999999998
145,0,172,29.279999999999998
150,0,164,28.8
155,0,168,29.279999999999998
160,0,158,28.619999999999997
165,0,168,28.9
170,0,162,29.209999999999997
175,0,167,28.9
180,0,160,28.24
185,0,167,28.759999999999998
190,0,166,28.9
195,0,177,28.59
200,0,167,29.02
205,0,158,29.939999999999998
210,0,164,29.41
215,0,172,29.33
220,0,161,28.990000000000002
225,0,164,28.89
230,0,164,28.96
235,0,172,29.599999999999998
240,0,171,29.03
245,0,172,29.53
250,0,166,30.05
255,0,155,29.48
260,0,165,28.97
265,0,163,29.54
270,0,174,28.61
275,0,180,29.0
280,0,182,28.919999999999998
285,0,159,29.51
290,0,156,29.27
295,0,162,28.88
300,0,161,29.64
305,0,169,28.63
310,0,160,28.830000000000002
315,0,163,29.9
320,0,152,29.36
325,0,167,28.54
330,0,151,29.2
335,0,171,29.13
340,0,168,29.42
345,0,159,29.7
350,0,164,29.37
355,0,168,29.009999999999998
360,0,155,29.27
365,0,172,29.619999999999997
370,0,160,35.559999999999995
375,0,162,29.28
380,0,160,29.44
385,0,176,28.83
390,0,152,28.7
395,0,159,29.330000000000002
400,0,161,29.66
405,0,174,29.11
410,0,162,29.02
415,0,164,29.83
420,0,167,29.529999999999998
425,0,162,29.32
430,0,152,29.9
435,0,165,29.31
440,0,163,29.44
445,0,168,28.84
450,0,154,29.18
455,0,161,29.24
460,0,160,28.47
465,0,170,28.720000000000002
470,0,166,29.32
475,0,160,30.310000000000002
480,0,163,29.54
485,0,161,29.099999999999998
490,0,156,29.099999999999998
495,0,163,28.08
500,0,157,29.88
505,0,171,28.59
510,0,156,28.42
515,0,168,28.61
520,0,156,28.82
525,0,161,28.2
530,0,154,29.0
535,0,173,29.65
540,0,160,28.68
545,0,165,28.319999999999997
550,0,144,28.27
555,0,163,29.46
560,0,149,29.96
565,0,165,29.0
570,0,164,29.689999999999998
575,0,151,29.419999999999998
580,0,159,29.24
585,0,165,28.89
590,0,173,29.34
595,0,176,28.61
600,0,151,29.06
605,0,165,29.439999999999998
610,0,163,29.19
615,0,169,42.269999999999996
620,0,153,29.909999999999997
625,0,160,28.2
630,0,152,30.13
635,0,166,29.13
640,0,150,29.0
645,0,168,29.150000000000002
650,0,161,28.599999999999998
655,0,160,29.95
660,0,150,29.88
665,0,171,29.29
670,0,168,29.15
675,0,162,29.26
680,0,152,29.3
685,0,160,29.22
690,0,159,29.07
695,0,157,29.05
700,0,147,29.150000000000002
705,0,172,28.94
710,0,158,29.400000000000002
715,0,165,28.8
720,0,148,29.099999999999998
725,0,171,28.22
730,0,156,29.25
735,0,169,30.1
740,0,148,28.74
745,0,169,29.11
750,0,157,29.59
755,0,166,29.48
760,0,152,29.62
765,0,175,30.17
770,0,145,28.93
775,0,173,35.919999999999995
780,0,135,29.35
785,0,162,28.69
790,0,156,28.11
795,0,176,28.64
800,0,164,28.9
805,0,180,29.77
810,0,159,28.970000000000002
815,0,169,29.01
820,0,138,28.83
825,0,167,28.96
830,0,147,44.54
835,0,157,29.49
840,0,140,29.36
845,0,165,28.66
850,0,156,29.33
855,0,167,29.08
860,0,136,28.63
865,0,169,29.279999999999998
870,0,140,29.22
875,0,174,29.49
880,0,147,28.49
885,0,171,29.3
890,0,143,29.240000000000002
895,0,172,29.99
900,0,142,29.94
905,0,159,40.48
910,0,131,29.13
915,0,179,29.23
920,0,151,29.52
925,0,170,29.509999999999998
930,0,143,29.21
935,0,168,29.5
940,0,142,28.89
945,0,165,29.66
950,0,141,29.49
955,0,180,29.6
960,0,148,29.8
965,0,157,29.12
970,0,146,29.16
975,0,168,29.419999999999998
980,0,144,28.96
985,0,172,28.88
990,0,146,28.959999999999997
995,0,156,29.75
1000,0,143,28.69
1005,0,173,28.95
1010,0,125,29.209999999999997
1015,0,166,29.14
1020,0,142,28.939999999999998
1025,0,172,28.959999999999997
1030,0,132,29.37
1035,0,162,29.33
1040,0,128,28.939999999999998
1045,0,162,28.98
1050,0,142,28.95
1055,0,171,28.62
1060,0,133,29.63
1065,0,177,29.41
1070,0,138,28.86
1075,0,159,29.509999999999998
1080,0,129,28.73
1085,0,156,29.66
1090,0,119,28.869999999999997
1095,0,173,29.049999999999997
1100,0,123,29.52
1105,0,176,28.68
1110,0,127,28.97
1115,0,177,28.8
1120,0,136,28.79
1125,0,168,29.31
1130,0,126,29.619999999999997
1135,0,175,28.82
1140,0,136,29.229999999999997
1145,0,174,29.5
1150,0,129,29.17
1155,0,170,29.669999999999998
1160,0,137,28.68
1165,0,164,28.98
1170,0,118,28.71
1175,0,171,29.06
1180,0,118,29.49
1185,0,163,28.88
1190,0,136,28.310000000000002
1195,0,176,29.4
1200,0,121,29.11
1205,0,163,29.39
1210,0,129,29.439999999999998
1215,0,158,28.44
1220,0,123,28.38
1225,0,163,28.05
1230,0,117,29.18
1235,0,178,29.0
1240,0,117,29.59
1245,0,152,28.4
1250,0,138,29.05
1255,0,173,29.439999999999998
1260,0,130,29.28
1265,0,161,29.11
1270,0,117,28.98
1275,0,166,29.110000000000003
1280,0,118,29.07
1285,0,147,28.61
1290,0,126,28.85
1295,0,164,29.52
1300,0,128,29.779999999999998
1305,0,181,28.25
1310,0,120,28.36
1315,0,175,29.65
1320,0,119,28.599999999999998
1325,0,170,29.94
1330,0,113,29.549999999999997
1335,0,162,29.82
1340,0,116,29.91
1345,0,178,28.74
1350,0,116,28.82
