episode,instability_humans,instability_CAVs,avg_time_lost
5,0,222,29.97
10,0,159,29.35
15,0,162,29.639999999999997
20,0,157,28.26
25,0,171,29.580000000000002
30,0,164,29.73
35,0,137,29.51
40,0,154,29.66
45,0,164,29.67
50,0,154,36.800000000000004
55,0,161,29.06
60,0,160,29.310000000000002
65,0,160,29.22
70,0,164,29.33
75,0,151,28.83
80,0,150,29.29
85,0,160,29.21
90,0,159,28.86
95,0,155,29.41
100,0,158,29.36
105,0,144,29.33
110,0,149,28.78
115,0,165,29.43
120,0,148,28.919999999999998
125,0,161,28.73
130,0,157,29.81
135,0,158,29.200000000000003
140,0,147,29.529999999999998
145,0,154,29.099999999999998
150,0,149,28.779999999999998
155,0,146,29.310000000000002
160,0,145,28.8
165,0,150,29.13
170,0,155,29.36
175,0,142,29.7
180,0,149,28.88
185,0,145,29.28
190,0,142,29.939999999999998
195,0,148,29.720000000000002
200,0,140,29.61
205,0,151,28.71
210,0,154,30.66
215,0,153,29.45
220,0,144,28.849999999999998
225,0,152,29.78
230,0,151,28.38
235,0,149,28.78
240,0,147,28.86
245,0,151,29.6
250,0,135,29.35
255,0,146,29.12
260,0,155,29.419999999999998
265,0,153,29.08
270,0,150,28.970000000000002
275,0,151,29.88
280,0,152,28.91
285,0,144,29.61
290,0,151,29.849999999999998
295,0,136,30.049999999999997
300,0,144,29.459999999999997
305,0,152,29.259999999999998
310,0,141,29.27
315,0,159,29.65
320,0,145,29.6
325,0,133,30.23
330,0,136,30.04
335,0,155,28.67
340,0,147,29.599999999999998
345,0,145,28.65
350,0,151,29.32
355,0,144,29.41
360,0,147,29.48
365,0,137,29.049999999999997
370,0,150,29.24
375,0,135,28.85
380,0,151,29.37
385,0,146,29.43
390,0,143,30.4
395,0,147,29.2
400,0,146,29.080000000000002
405,0,136,30.01
410,0,144,29.78
415,0,152,29.13
420,0,139,29.64
425,0,146,29.25
430,0,139,29.62
435,0,136,29.93
440,0,137,29.450000000000003
445,0,142,29.11
450,0,151,28.32
455,0,140,28.55
460,0,142,29.6
465,0,140,29.919999999999998
470,0,135,29.23
475,0,135,29.19
480,0,140,29.77
485,0,135,29.279999999999998
490,0,137,29.1
495,0,135,29.52
500,0,134,29.04
505,0,133,30.18
510,0,149,28.52
515,0,136,28.51
520,0,140,29.05
525,0,145,29.36
530,0,144,28.94
535,0,147,30.220000000000002
540,0,133,28.150000000000002
545,0,153,29.12
550,0,151,29.7
555,0,145,29.34
560,0,150,29.279999999999998
565,0,142,28.619999999999997
570,0,138,28.529999999999998
575,0,142,29.45
580,0,141,29.39
585,0,144,28.119999999999997
590,0,132,29.849999999999998
595,0,132,29.580000000000002
600,0,139,29.44
605,0,143,29.8
610,0,146,28.650000000000002
615,0,133,29.830000000000002
620,0,136,30.45
625,0,150,29.92
630,0,148,29.29
635,0,138,29.81
640,0,135,28.98
645,0,147,28.47
650,0,145,29.48
655,0,135,28.66
660,0,138,28.549999999999997
665,0,148,29.55
670,0,146,29.82
675,0,137,29.790000000000003
680,0,142,29.29
685,0,138,35.39
690,0,138,29.43
695,0,136,29.51
700,0,146,29.55
705,0,142,28.57
710,0,131,29.34
715,0,142,29.59
720,0,149,28.68
725,0,144,28.83
730,0,140,29.3
735,0,136,29.18
740,0,154,28.849999999999998
745,0,140,29.720000000000002
750,0,138,28.52
755,0,131,28.47
760,0,144,28.779999999999998
765,0,147,30.009999999999998
770,0,151,29.18
775,0,144,28.71
780,0,145,29.2
785,0,151,28.64
790,0,140,29.77
795,0,152,30.13
800,0,148,28.89
805,0,141,29.14
810,0,164,29.95
815,0,136,29.79
820,0,142,28.549999999999997
825,0,153,29.22
830,0,140,29.490000000000002
835,0,128,28.86
840,0,145,29.05
845,0,144,29.36
850,0,142,28.88
855,0,146,28.65
860,0,147,29.14
865,0,124,28.869999999999997
870,0,137,29.84
875,0,142,30.08
880,0,137,29.86
885,0,153,29.1
890,0,138,29.18
895,0,147,28.53
900,0,144,29.26
905,0,148,28.909999999999997
910,0,144,29.24
915,0,157,30.1
920,0,144,29.25
925,0,150,29.220000000000002
930,0,139,29.119999999999997
935,0,142,29.6
940,0,140,29.349999999999998
945,0,138,30.01
950,0,134,29.900000000000002
955,0,141,28.990000000000002
960,0,146,29.97
965,0,153,28.75
970,0,146,29.869999999999997
975,0,156,29.81
980,0,145,28.77
985,0,145,29.209999999999997
990,0,138,29.0
995,0,141,29.71
1000,0,144,29.42
1005,0,138,28.740000000000002
1010,0,139,29.240000000000002
1015,0,144,29.69
1020,0,133,29.4
1025,0,147,28.74
1030,0,126,29.099999999999998
1035,0,132,29.04
1040,0,150,29.099999999999998
1045,0,149,29.53
1050,0,140,28.86
1055,0,132,28.03
1060,0,137,29.91
1065,0,140,29.05
1070,0,143,29.009999999999998
1075,0,138,28.490000000000002
1080,0,153,29.51
1085,0,157,28.5
1090,0,139,28.92
1095,0,132,29.119999999999997
1100,0,144,28.799999999999997
1105,0,140,29.07
1110,0,150,29.51
1115,0,153,28.89
1120,0,145,29.04
1125,0,142,29.009999999999998
1130,0,150,28.8
1135,0,141,28.15
1140,0,143,28.57
1145,0,140,29.04
1150,0,139,29.37
1155,0,139,29.02
1160,0,143,28.68
1165,0,134,28.76
1170,0,139,28.81
1175,0,150,29.02
1180,0,138,29.37
1185,0,141,29.81
1190,0,132,28.81
1195,0,150,29.16
1200,0,156,28.96
1205,0,149,29.220000000000002
1210,0,144,28.979999999999997
1215,0,155,29.31
1220,0,133,29.4
1225,0,143,29.03
1230,0,145,28.88
1235,0,147,28.009999999999998
1240,0,150,29.069999999999997
1245,0,145,28.66
1250,0,145,28.72
1255,0,149,29.93
1260,0,158,28.64
1265,0,143,28.919999999999998
1270,0,134,29.12
1275,0,145,29.39
1280,0,140,28.87
1285,0,138,28.3
1290,0,152,29.21
1295,0,145,29.17
1300,0,142,29.06
1305,0,139,28.87
1310,0,138,28.77
1315,0,149,29.02
1320,0,144,29.479999999999997
1325,0,153,28.900000000000002
1330,0,141,29.599999999999998
1335,0,146,29.06
1340,0,155,29.569999999999997
1345,0,150,28.83
1350,0,146,29.31
1355,0,148,28.650000000000002
1360,0,138,28.74
1365,0,135,28.82
1370,0,150,28.459999999999997
1375,0,143,28.61
1380,0,149,28.74
1385,0,145,36.5
1390,0,135,28.299999999999997
1395,0,148,29.52
1400,0,147,28.79
1405,0,141,28.86
1410,0,149,28.759999999999998
1415,0,139,29.380000000000003
1420,0,158,28.84
1425,0,148,29.2
1430,0,157,29.540000000000003
1435,0,135,29.83
1440,0,151,29.34
1445,0,140,29.169999999999998
1450,0,143,29.79
1455,0,150,29.419999999999998
1460,0,143,28.53
1465,0,140,30.08
1470,0,137,28.73
1475,0,144,28.73
1480,0,139,29.21
1485,0,144,28.89
1490,0,139,29.130000000000003
1495,0,135,29.59
1500,0,157,28.96
1505,0,164,29.07
1510,0,134,29.75
1515,0,137,29.05
1520,0,138,29.39
1525,0,152,29.32
1530,0,148,29.169999999999998
1535,0,150,29.28
1540,0,156,29.64
1545,0,154,28.529999999999998
1550,0,139,28.59
1555,0,141,29.619999999999997
1560,0,145,29.21
1565,0,142,29.29
1570,0,151,29.47
1575,0,142,29.76
1580,0,141,30.05
1585,0,142,29.580000000000002
1590,0,152,28.97
1595,0,147,27.92
1600,0,144,28.89
1605,0,149,29.16
1610,0,155,29.11
1615,0,149,29.77
1620,0,144,27.92
1625,0,150,29.290000000000003
1630,0,135,28.75
1635,0,144,29.549999999999997
1640,0,156,29.02
1645,0,151,29.16
1650,0,158,30.23
1655,0,161,28.94
1660,0,152,29.54
1665,0,147,29.41
1670,0,156,29.009999999999998
1675,0,154,29.9
1680,0,155,28.19
1685,0,139,29.34
1690,0,140,29.45
1695,0,140,29.16
1700,0,146,29.24
1705,0,154,28.43
1710,0,148,29.529999999999998
1715,0,153,29.28
1720,0,156,28.11
1725,0,145,28.69
1730,0,138,29.29
1735,0,141,29.7
1740,0,143,28.47
1745,0,158,28.919999999999998
1750,0,149,28.49
1755,0,146,28.52
1760,0,147,29.22
1765,0,151,28.959999999999997
1770,0,136,29.17
1775,0,151,28.58
1780,0,157,29.1
1785,0,154,28.799999999999997
1790,0,150,28.75
1795,0,151,28.68
1800,0,138,28.7
1805,0,155,28.479999999999997
1810,0,152,28.950000000000003
1815,0,148,28.52
1820,0,150,29.03
1825,0,138,28.64
1830,0,146,29.099999999999998
1835,0,151,28.85
1840,0,150,29.32
1845,0,141,29.029999999999998
1850,0,147,29.47
1855,0,140,28.95
1860,0,145,29.59
1865,0,135,28.669999999999998
1870,0,147,29.0
1875,0,145,29.389999999999997
1880,0,139,29.43
1885,0,153,28.27
1890,0,132,28.83
1895,0,150,29.49
1900,0,156,28.87
1905,0,154,28.97
1910,0,153,29.21
1915,0,144,28.98
1920,0,150,29.18
1925,0,155,29.2
1930,0,153,29.81
1935,0,154,28.85
1940,0,145,28.87
1945,0,139,28.09
1950,0,141,29.13
1955,0,141,29.15
1960,0,148,28.84
1965,0,147,28.91
1970,0,150,29.55
1975,0,153,29.19
1980,0,138,28.76
1985,0,143,28.96
1990,0,144,29.490000000000002
1995,0,134,29.05
2000,0,135,28.85
2005,0,145,29.67
2010,0,146,28.33
2015,0,141,28.89
2020,0,152,28.96
2025,0,144,29.62
2030,0,128,29.669999999999998
2035,0,149,28.74
2040,0,150,29.169999999999998
2045,0,139,29.119999999999997
2050,0,149,28.88
2055,0,150,28.889999999999997
2060,0,146,30.23
2065,0,152,29.119999999999997
2070,0,156,29.19
2075,0,152,29.34
2080,0,145,29.659999999999997
2085,0,133,29.79
2090,0,150,29.05
2095,0,156,28.560000000000002
2100,0,145,29.2
2105,0,142,28.990000000000002
2110,0,141,29.259999999999998
2115,0,147,29.330000000000002
2120,0,139,29.74
2125,0,156,30.0
2130,0,139,29.9
2135,0,145,28.93
2140,0,138,28.49
2145,0,137,29.740000000000002
2150,0,153,28.66
2155,0,147,29.08
2160,0,148,30.200000000000003
2165,0,151,28.83
2170,0,149,29.26
2175,0,148,28.67
2180,0,160,29.259999999999998
2185,0,142,28.580000000000002
2190,0,155,29.189999999999998
2195,0,139,29.32
2200,0,135,28.61
2205,0,149,29.119999999999997
2210,0,159,28.849999999999998
2215,0,153,28.79
2220,0,144,28.84
2225,0,144,29.21
2230,0,137,28.74
2235,0,146,29.209999999999997
2240,0,150,28.709999999999997
2245,0,141,29.669999999999998
2250,0,151,28.919999999999998
2255,0,149,29.24
2260,0,136,28.310000000000002
2265,0,152,29.169999999999998
2270,0,154,29.200000000000003
2275,0,141,29.290000000000003
2280,0,148,28.990000000000002
2285,0,153,29.080000000000002
2290,0,149,29.71
2295,0,136,29.06
2300,0,150,29.41
2305,0,153,27.73
2310,0,139,29.509999999999998
2315,0,149,28.67
2320,0,154,28.78
2325,0,149,29.099999999999998
2330,0,132,29.41
2335,0,148,29.02
2340,0,133,28.93
2345,0,136,28.86
2350,0,149,29.74
2355,0,142,29.029999999999998
2360,0,144,28.75
2365,0,140,29.259999999999998
2370,0,155,28.57
2375,0,144,28.7
2380,0,142,27.97
2385,0,146,29.279999999999998
2390,0,137,28.95
2395,0,138,29.349999999999998
2400,0,142,29.049999999999997
2405,0,137,29.37
2410,0,146,29.2
2415,0,143,29.27
2420,0,144,29.220000000000002
2425,0,147,28.909999999999997
2430,0,144,29.529999999999998
2435,0,158,28.93
2440,0,146,29.27
2445,0,164,29.41
2450,0,153,29.0
2455,0,141,29.07
2460,0,147,29.29
2465,0,137,29.32
2470,0,144,28.68
2475,0,153,29.02
2480,0,145,28.77
2485,0,155,28.88
2490,0,138,28.439999999999998
2495,0,134,28.01
2500,0,135,29.39
2505,0,156,29.330000000000002
2510,0,140,29.05
2515,0,139,28.87
2520,0,129,28.639999999999997
2525,0,143,29.13
2530,0,139,28.880000000000003
2535,0,139,29.23
2540,0,146,29.16
2545,0,148,29.95
2550,0,140,28.75
2555,0,151,29.599999999999998
2560,0,133,29.779999999999998
2565,0,145,30.09
2570,0,123,28.98
2575,0,147,29.79
2580,0,152,29.96
2585,0,149,29.56
2590,0,149,28.8
2595,0,132,28.43
2600,0,133,28.8
2605,0,139,29.53
2610,0,143,29.13
2615,0,141,29.09
2620,0,139,28.909999999999997
2625,0,137,29.47
2630,0,143,28.97
2635,0,140,29.09
2640,0,143,29.33
2645,0,140,29.23
2650,0,152,29.119999999999997
2655,0,147,28.79
2660,0,148,28.59
2665,0,156,28.41
2670,0,139,29.28
2675,0,134,28.38
2680,0,151,29.39
2685,0,145,28.919999999999998
2690,0,137,29.04
2695,0,144,28.669999999999998
2700,0,149,29.59
2705,0,150,28.619999999999997
2710,0,131,29.7
2715,0,134,29.39
2720,0,139,29.55
2725,0,147,29.700000000000003
2730,0,147,28.95
2735,0,138,28.98
2740,0,136,29.05
2745,0,134,28.77
2750,0,146,29.28
2755,0,143,28.99
2760,0,146,29.12
2765,0,141,29.220000000000002
2770,0,152,29.66
2775,0,131,29.73
2780,0,144,29.7
2785,0,150,30.08
2790,0,140,29.76
2795,0,138,30.49
2800,0,138,29.44
2805,0,138,29.220000000000002
2810,0,157,28.95
2815,0,151,29.419999999999998
2820,0,144,29.12
2825,0,139,29.369999999999997
2830,0,141,28.63
2835,0,140,29.240000000000002
2840,0,130,29.35
2845,0,145,28.95
2850,0,153,29.04
2855,0,151,29.1
2860,0,140,28.29
2865,0,145,29.82
2870,0,141,28.58
2875,0,140,29.25
2880,0,144,28.99
2885,0,151,29.88
2890,0,151,29.06
2895,0,147,29.759999999999998
2900,0,139,28.48
2905,0,153,28.889999999999997
2910,0,146,29.12
2915,0,139,29.13
2920,0,143,29.61
2925,0,147,29.189999999999998
2930,0,152,29.669999999999998
2935,0,143,29.09
2940,0,145,29.34
2945,0,142,28.98
2950,0,142,29.58
2955,0,144,28.98
2960,0,136,28.419999999999998
2965,0,146,28.45
2970,0,152,29.8
2975,0,149,29.369999999999997
2980,0,136,29.58
2985,0,149,28.8
2990,0,145,28.580000000000002
2995,0,146,29.18
3000,0,157,29.21
3005,0,142,29.91
3010,0,154,29.33
3015,0,153,29.08
3020,0,154,28.51
3025,0,147,29.44
3030,0,138,29.21
3035,0,156,29.68
3040,0,141,30.03
3045,0,140,29.639999999999997
3050,0,146,29.490000000000002
3055,0,140,28.65
3060,0,148,29.29
3065,0,155,28.91
3070,0,155,29.029999999999998
3075,0,137,30.55
3080,0,154,29.959999999999997
3085,0,145,29.91
3090,0,154,28.78
3095,0,144,29.14
3100,0,147,29.52
3105,0,143,30.169999999999998
3110,0,148,28.7
3115,0,141,29.119999999999997
3120,0,159,29.69
3125,0,153,29.0
3130,0,141,29.18
3135,0,131,29.47
3140,0,147,29.22
3145,0,148,28.84
3150,0,158,29.5
3155,0,163,29.19
3160,0,154,29.799999999999997
3165,0,151,29.240000000000002
3170,0,138,29.88
3175,0,148,28.76
3180,0,147,29.95
3185,0,148,28.56
3190,0,156,29.76
3195,0,145,30.16
3200,0,144,30.76
3205,0,139,29.4
3210,0,154,29.51
3215,0,147,29.08
3220,0,145,29.0
3225,0,155,29.98
3230,0,155,29.67
3235,0,147,30.13
3240,0,147,29.93
3245,0,147,28.97
3250,0,149,29.87
3255,0,160,30.08
3260,0,155,29.43
3265,0,145,29.88
3270,0,154,30.15
3275,0,147,29.45
3280,0,154,28.349999999999998
3285,0,155,29.02
3290,0,145,29.139999999999997
3295,0,138,29.259999999999998
3300,0,145,29.5
3305,0,150,28.979999999999997
3310,0,151,29.93
3315,0,154,30.02
3320,0,149,29.21
3325,0,156,28.939999999999998
3330,0,151,29.060000000000002
3335,0,153,29.51
3340,0,152,29.86
3345,0,149,29.9
3350,0,151,29.08
3355,0,149,29.46
3360,0,148,28.94
3365,0,151,28.21
3370,0,148,28.91
3375,0,143,29.38
3380,0,157,30.029999999999998
3385,0,144,30.23
3390,0,135,28.84
3395,0,148,29.16
3400,0,148,29.220000000000002
3405,0,155,29.84
3410,0,140,28.93
3415,0,148,29.61
3420,0,155,30.46
3425,0,157,29.19
3430,0,149,28.580000000000002
3435,0,154,29.38
3440,0,159,29.26
3445,0,145,29.86
3450,0,146,44.36
3455,0,137,29.240000000000002
3460,0,143,29.31
3465,0,145,29.64
3470,0,151,29.0
3475,0,145,28.15
3480,0,143,29.28
3485,0,145,29.68
3490,0,148,30.16
3495,0,159,29.279999999999998
3500,0,147,29.75
3505,0,148,29.009999999999998
3510,0,151,29.77
3515,0,146,29.73
3520,0,139,29.51
3525,0,142,28.77
3530,0,155,29.8
3535,0,156,27.919999999999998
3540,0,159,29.49
3545,0,137,29.419999999999998
