episode,instability_humans,instability_CAVs,avg_time_lost
5,0,222,28.86
10,0,164,29.94
15,0,164,29.11
20,0,160,30.02
25,0,173,29.2
30,0,167,28.97
35,0,172,29.240000000000002
40,0,167,28.28
45,0,165,29.36
50,0,166,28.92
55,0,166,28.86
60,0,154,28.68
65,0,173,28.900000000000002
70,0,180,29.66
75,0,162,28.68
80,0,165,28.97
85,0,167,28.89
90,0,172,29.36
95,0,169,29.169999999999998
100,0,170,29.349999999999998
105,0,152,29.5
110,0,161,29.24
115,0,167,29.459999999999997
120,0,180,29.82
125,0,167,28.14
130,0,175,28.52
135,0,163,29.36
140,0,163,29.209999999999997
145,0,168,29.11
150,0,166,29.2
155,0,164,29.490000000000002
160,0,167,29.009999999999998
165,0,161,28.94
170,0,173,29.38
175,0,164,29.549999999999997
180,0,171,29.220000000000002
185,0,164,29.0
190,0,169,29.61
195,0,172,30.57
200,0,159,29.2
205,0,162,29.19
210,0,167,29.259999999999998
215,0,156,28.33
220,0,157,28.96
225,0,164,29.400000000000002
230,0,162,29.5
235,0,158,30.33
240,0,162,31.22
245,0,155,29.71
250,0,166,29.59
255,0,177,28.62
260,0,161,30.38
265,0,161,30.33
270,0,162,29.11
275,0,174,29.439999999999998
280,0,160,30.46
285,0,180,28.96
290,0,161,29.240000000000002
295,0,154,29.38
300,0,164,30.12
305,0,156,29.959999999999997
310,0,152,29.42
315,0,166,29.39
320,0,148,29.06
325,0,161,29.48
330,0,178,30.05
335,0,162,28.950000000000003
340,0,167,30.11
345,0,158,29.5
350,0,151,29.540000000000003
355,0,160,28.81
360,0,143,29.049999999999997
365,0,163,29.650000000000002
370,0,159,29.44
375,0,176,28.87
380,0,160,28.82
385,0,166,29.48
390,0,167,29.7
395,0,157,28.98
400,0,161,29.82
405,0,169,29.24
410,0,156,29.580000000000002
415,0,175,29.189999999999998
420,0,165,29.47
425,0,163,28.6
430,0,165,28.66
435,0,161,29.290000000000003
440,0,151,29.66
445,0,158,29.759999999999998
450,0,155,30.63
455,0,174,29.869999999999997
460,0,169,29.11
465,0,173,30.15
470,0,162,30.009999999999998
475,0,165,30.259999999999998
480,0,158,30.31
485,0,158,29.66
490,0,159,29.799999999999997
495,0,153,30.22
500,0,161,29.13
505,0,149,29.470000000000002
510,0,158,29.330000000000002
515,0,160,29.52
520,0,163,28.89
525,0,173,29.68
530,0,169,29.009999999999998
535,0,155,28.79
540,0,162,30.1
545,0,156,28.25
550,0,160,29.6
555,0,161,29.99
560,0,165,29.95
565,0,161,30.84
570,0,162,29.27
575,0,163,28.74
580,0,153,28.389999999999997
585,0,157,29.25
590,0,159,29.330000000000002
595,0,153,29.29
600,0,157,29.81
605,0,158,29.9
610,0,149,29.43
615,0,154,29.38
620,0,146,28.759999999999998
625,0,151,30.369999999999997
630,0,147,29.7
635,0,159,29.61
640,0,157,29.61
645,0,160,29.87
650,0,163,29.64
655,0,154,29.79
660,0,156,29.33
665,0,158,29.580000000000002
670,0,155,29.43
675,0,151,29.47
680,0,146,30.56
685,0,150,29.34
690,0,163,30.51
695,0,146,30.310000000000002
700,0,147,29.29
705,0,148,29.419999999999998
710,0,161,29.75
715,0,154,29.45
720,0,162,29.96
725,0,154,29.65
730,0,161,29.95
735,0,161,29.28
740,0,166,29.56
745,0,151,30.490000000000002
750,0,154,30.33
755,0,158,29.63
760,0,150,29.580000000000002
765,0,145,30.52
770,0,150,29.95
775,0,145,30.029999999999998
780,0,153,30.67
785,0,159,30.25
790,0,138,29.619999999999997
795,0,149,29.34
800,0,156,30.35
805,0,152,29.77
810,0,147,29.38
815,0,134,29.209999999999997
820,0,159,30.31
825,0,159,30.37
830,0,137,29.799999999999997
835,0,140,30.5
840,0,150,29.2
845,0,166,30.82
850,0,148,29.919999999999998
855,0,147,28.97
860,0,151,29.42
865,0,150,30.35
870,0,139,30.14
875,0,142,30.22
880,0,147,29.61
885,0,139,30.03
890,0,141,29.79
895,0,152,30.8
900,0,149,30.540000000000003
905,0,138,30.32
910,0,139,30.63
915,0,139,30.38
920,0,147,29.84
925,0,142,30.319999999999997
930,0,153,29.509999999999998
935,0,140,30.81
940,0,145,29.22
945,0,136,29.720000000000002
950,0,149,30.549999999999997
955,0,143,30.23
960,0,144,30.78
965,0,125,30.29
970,0,130,29.64
975,0,137,29.61
980,0,129,29.080000000000002
985,0,137,29.669999999999998
990,0,157,29.66
995,0,146,30.22
1000,0,143,29.48
1005,0,149,30.66
1010,0,155,29.68
1015,0,138,29.7
1020,0,138,30.650000000000002
1025,0,137,30.34
1030,0,144,30.19
1035,0,151,29.919999999999998
1040,0,130,29.490000000000002
1045,0,138,31.02
1050,0,142,29.27
1055,0,137,30.01
1060,0,144,29.8
1065,0,142,30.34
1070,0,136,30.2
1075,0,142,30.95
1080,0,146,30.16
1085,0,142,30.4
1090,0,133,30.130000000000003
1095,0,129,30.71
1100,0,131,30.79
1105,0,137,30.009999999999998
1110,0,143,29.8
1115,0,134,30.32
1120,0,134,29.9
1125,0,125,30.56
1130,0,134,30.57
1135,0,130,30.11
1140,0,131,30.7
1145,0,121,30.21
1150,0,131,30.020000000000003
1155,0,142,30.2
1160,0,150,31.2
1165,0,125,30.09
1170,0,125,29.75
1175,0,129,29.59
1180,0,127,30.279999999999998
1185,0,127,30.68
1190,0,137,30.319999999999997
1195,0,125,29.47
1200,0,126,30.240000000000002
1205,0,132,29.099999999999998
1210,0,128,30.6
1215,0,134,30.49
1220,0,119,30.25
1225,0,135,30.7
1230,0,131,30.689999999999998
1235,0,131,30.25
1240,0,118,29.96
1245,0,122,30.41
1250,0,133,30.75
1255,0,126,29.54
1260,0,125,30.44
1265,0,127,30.41
1270,0,127,30.7
1275,0,125,31.23
1280,0,136,30.240000000000002
1285,0,130,30.290000000000003
1290,0,127,30.66
1295,0,133,30.31
1300,0,127,30.84
1305,0,117,30.0
1310,0,120,29.77
1315,0,120,29.84
1320,0,110,29.849999999999998
1325,0,100,29.96
1330,0,124,31.03
1335,0,122,30.32
1340,0,120,29.63
1345,0,124,30.349999999999998
1350,0,119,31.279999999999998
1355,0,109,30.31
1360,0,108,30.5
1365,0,107,30.68
1370,0,98,29.97
1375,0,121,30.95
1380,0,118,29.990000000000002
1385,0,123,30.84
1390,0,123,29.93
1395,0,131,30.63
1400,0,116,30.73
1405,0,110,30.5
1410,0,108,31.14
1415,0,109,30.51
1420,0,108,30.46
1425,0,111,30.92
1430,0,109,29.96
1435,0,101,30.57
1440,0,99,29.97
1445,0,114,30.93
1450,0,114,30.34
1455,0,123,29.96
1460,0,111,30.33
1465,0,111,30.75
1470,0,109,30.099999999999998
1475,0,111,30.71
1480,0,100,30.54
1485,0,102,31.349999999999998
1490,0,102,30.130000000000003
1495,0,100,30.93
1500,0,103,30.79
1505,0,120,36.83
1510,0,112,30.740000000000002
1515,0,117,30.45
1520,0,112,30.7
1525,0,113,30.95
1530,0,118,30.7
1535,0,105,31.14
1540,0,106,30.52
1545,0,109,31.209999999999997
1550,0,105,30.48
1555,0,117,30.73
1560,0,100,30.71
1565,0,106,30.65
1570,0,105,30.819999999999997
1575,0,99,30.68
1580,0,112,30.65
1585,0,103,30.49
1590,0,109,30.2
1595,0,101,31.04
1600,0,96,30.16
1605,0,92,30.95
1610,0,99,31.59
1615,0,100,30.9
1620,0,104,31.02
1625,0,89,31.259999999999998
1630,0,91,30.81
1635,0,96,30.759999999999998
1640,0,100,31.02
1645,0,95,30.599999999999998
1650,0,89,30.35
1655,0,94,30.48
1660,0,86,30.99
1665,0,88,30.810000000000002
1670,0,94,30.19
1675,0,98,30.62
1680,0,89,30.240000000000002
1685,0,92,31.05
1690,0,84,30.419999999999998
1695,0,93,30.7
1700,0,107,31.12
