travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
2.8666666666666667,0,Human,0,0,0,70,-2.8666666666666667,"-2.771318110242225,-1.5240003083193032,-1.355791972353338,-2.263181323467965"
1.9166666666666667,1,Human,3,1,1,569,-1.9166666666666667,"-0.585695336677356,-0.9129753539474218,-0.7197285289016141,-1.9331848910664036"
2.45,2,Human,1,2,2,1548,-2.45,"-1.3415290959058082,-2.151894142803047,-1.6007842057937278,-3.9965499727415246"
3.3,3,Human,1,3,3,850,-3.3,"-1.506524293394369,-3.2288133003823254,-2.449232340429635,-1.4277397268027747"
3.65,4,Human,3,4,4,1175,-3.65,"-1.9137961122412666,-2.0818612644178582,-2.4770192457051787,-3.51195387585569"
1.85,5,Human,2,5,5,154,-1.85,"-1.3078772179645988,-1.3450442789066668,-1.795280819439956,-1.4314018601339973"
7.45,6,Human,0,6,6,637,-7.45,"-4.966997302842929,-7.161620158062867,-5.449096552546219,-6.368133579879908"
4.65,7,Human,1,7,7,1679,-4.65,"-4.217064283777245,-4.118168566445183,-5.274205995726608,-4.590635940488886"
5.95,8,Human,0,8,8,271,-5.95,"-4.547386214671539,-6.3142064718050674,-5.688537427928983,-3.737795614361845"
5.966666666666667,9,Human,2,9,9,131,-5.966666666666667,"-2.8801738812147346,-3.041598821489974,-5.759598188842642,-2.9899008272695764"
3.2333333333333334,10,Human,3,10,10,360,-3.2333333333333334,"-2.1503366938046655,-2.3400246520244097,-2.1619930741014706,-3.104127675499588"
2.566666666666667,11,Human,2,11,11,1541,-2.566666666666667,"-2.1096589093797307,-1.6701298713908996,-2.3297419206167893,-3.0851301581605277"
8.05,12,Human,3,12,12,1197,-8.05,"-3.752733036126808,-3.1298476931600954,-3.0096247024443525,-7.698082834955874"
3.1166666666666667,13,Human,2,13,13,1317,-3.1166666666666667,"-2.4612239344596922,-2.4505465477243153,-3.0945972576720964,-2.2759556044766436"
3.0,14,Human,2,14,5,1526,-3.0,"-1.7445103366267882,-1.9115904318227614,-2.9104587769969417,-2.5887164518643657"
2.433333333333333,15,Human,2,15,5,852,-2.433333333333333,"-1.6313508374059338,-2.239263949469599,-1.7964745854008306,-2.544546914097643"
3.9166666666666665,16,Human,1,16,14,595,-3.9166666666666665,"-3.0001129338856147,-2.965862727639653,-5.771597334551768,-2.396655601803451"
4.5,17,Human,0,17,15,1745,-4.5,"-4.322829643249971,-2.5664684153302106,-2.298545584767953,-3.1143790392895436"
7.9,18,Human,2,18,16,257,-7.9,"-5.610534322895162,-6.26229218415648,-7.555572408565162,-5.415859972475975"
5.866666666666666,19,Human,3,19,17,476,-5.866666666666666,"-4.982980176961089,-4.958837606454807,-4.881318078387432,-5.6402627402469125"
