travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
2.216666666666667,0,Human,1,0,0,70,-2.216666666666667,"-2.771318110242225,-2.0063276849698224,-1.402467174964412,-2.365359093862091"
1.9166666666666667,1,Human,3,1,1,569,-1.9166666666666667,"-0.9360236790397033,-1.1154533493333676,-0.7181934411823158,-1.9371271132797896"
4.1,2,Human,3,2,2,1548,-4.1,"-1.6009191790439732,-2.25672185139395,-1.6016175391270613,-4.026789843826904"
3.316666666666667,3,Human,1,3,3,850,-3.316666666666667,"-1.5790401364698812,-3.2447415623581275,-2.524938369876388,-1.532242658635202"
3.6666666666666665,4,Human,3,4,4,1175,-3.6666666666666665,"-2.3953687106206223,-2.6537996340486103,-2.6464020632308096,-3.514678608464813"
1.95,5,Human,2,5,5,154,-1.95,"-1.3078772179645988,-1.498328338500267,-1.8473536903092733,-1.4314018601339973"
7.383333333333334,6,Human,1,6,6,637,-7.383333333333334,"-5.821315115924738,-7.173333234969533,-6.165467056787476,-7.105228720774953"
5.516666666666667,7,Human,2,7,7,1679,-5.516666666666667,"-4.43308380452202,-4.370976186721688,-5.355604500609356,-4.885921037000607"
6.566666666666666,8,Human,1,8,8,271,-6.566666666666666,"-5.236286906824109,-6.304304759901629,-6.060410193874549,-4.5483049826652655"
3.9,9,Human,3,9,9,131,-3.9,"-3.2695756938486116,-3.1843190571919804,-5.807833629815448,-3.5355238139373384"
3.15,10,Human,3,10,10,360,-3.15,"-2.647265720561322,-2.9172757046420257,-2.5411562691793277,-3.0739584148544847"
3.2,11,Human,3,11,11,1541,-3.2,"-2.182427127503785,-1.9549577567252219,-2.3311566574588944,-3.095612907328422"
8.033333333333333,12,Human,3,12,12,1197,-8.033333333333333,"-4.221521143121158,-3.6284551552014093,-3.6751577474004273,-7.686860463969207"
3.183333333333333,13,Human,2,13,13,1317,-3.183333333333333,"-2.628847318054204,-2.4497037407067714,-3.103635319947597,-2.7439444691582064"
3.0166666666666666,14,Human,2,14,5,1526,-3.0166666666666666,"-1.8916696728102025,-2.210182788647269,-2.9204285540007304,-2.741055146737054"
2.4166666666666665,15,Human,2,15,5,852,-2.4166666666666665,"-1.8368645359397977,-2.3514520434500175,-2.2588902477504034,-2.5493759347516782"
4.1,16,Human,0,16,14,595,-4.1,"-3.5701098221494356,-3.3047868123560447,-5.891295285848566,-2.797468029235536"
4.516666666666667,17,Human,0,17,15,1745,-4.516666666666667,"-4.35157224244054,-2.900720487565721,-2.865074637646806,-3.591502585145309"
