travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
3.466666666666667,0,Human,2,0,0,70,-3.466666666666667,"-2.815742169797148,-2.097164117722093,-3.3776190865724907,-2.702734723271564"
0.8833333333333333,1,Human,0,1,1,569,-0.8833333333333333,"-0.8546999133495545,-1.550540533556648,-1.310134887351241,-1.0716080016116285"
3.9833333333333334,2,Human,1,2,2,1548,-3.9833333333333334,"-1.7633999469021808,-4.1496077369112365,-2.358114753875998,-1.9528608784641923"
5.016666666666667,3,Human,2,3,3,850,-5.016666666666667,"-1.445912480255293,-2.5592496963576226,-4.878056956554287,-2.9134663637807043"
3.6,4,Human,2,4,4,1175,-3.6,"-2.5196902703346558,-3.1495950135101083,-3.527752364855669,-3.1195446812263112"
1.9666666666666666,5,Human,3,5,5,154,-1.9666666666666666,"-1.2877436846186507,-1.455339083573803,-1.530791328522299,-1.89917829410562"
9.516666666666667,6,Human,2,6,6,637,-9.516666666666667,"-6.268149027274269,-6.541893873313751,-9.933160745043928,-9.521463681720608"
5.95,7,Human,2,7,7,1679,-5.95,"-4.948501671143346,-4.921559245748612,-5.867896725602059,-5.803189265766836"
5.75,8,Human,2,8,8,271,-5.75,"-4.9743440589355075,-4.788578092427543,-5.564115742660928,-5.550488581237591"
3.9166666666666665,9,Human,1,9,9,131,-3.9166666666666665,"-3.8513909871510226,-3.8223358514271046,-3.923847772038164,-4.1098513454278045"
2.9833333333333334,10,Human,2,10,10,360,-2.9833333333333334,"-2.939456601150712,-2.9006278265257874,-2.9193668112748874,-2.865441429850627"
4.333333333333333,11,Human,3,11,11,1541,-4.333333333333333,"-2.8432416387009587,-2.5131273936177094,-3.7146647396416688,-4.175911862185473"
4.5,12,Human,3,12,12,1197,-4.5,"-3.644570513219502,-3.8894498969919766,-3.8776881028095076,-4.384855951500825"
4.183333333333334,13,Human,3,13,13,1317,-4.183333333333334,"-2.8877512394805347,-3.204051097773359,-3.0499724609320853,-4.504694884375838"
