travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
4.466666666666667,216,AV,2,82,92,1309,-4.466666666666667,"0,0,0,0"
1.9833333333333334,98,AV,1,78,44,465,-1.9833333333333334,"0,0,0,0"
5.333333333333333,195,AV,0,15,15,1401,-5.333333333333333,"0,0,0,0"
6.283333333333333,108,AV,3,35,20,1129,-6.283333333333333,"0,0,0,0"
3.7,10,AV,0,10,10,360,-3.7,"0,0,0,0"
4.016666666666667,67,AV,1,54,39,1388,-4.016666666666667,"0,0,0,0"
2.6166666666666667,134,AV,3,96,68,586,-2.6166666666666667,"0,0,0,0"
3.1666666666666665,128,AV,2,25,29,1444,-3.1666666666666665,"0,0,0,0"
2.6666666666666665,106,AV,0,84,10,1087,-2.6666666666666665,"0,0,0,0"
1.9333333333333333,208,AV,0,135,18,178,-1.9333333333333333,"0,0,0,0"
2.216666666666667,79,AV,0,64,29,1655,-2.216666666666667,"0,0,0,0"
2.6166666666666667,129,AV,1,94,9,145,-2.6166666666666667,"0,0,0,0"
2.5,94,AV,0,27,18,1027,-2.5,"0,0,0,0"
4.266666666666667,159,AV,1,110,80,769,-4.266666666666667,"0,0,0,0"
3.966666666666667,56,AV,3,47,12,208,-3.966666666666667,"0,0,0,0"
7.466666666666667,140,AV,2,100,72,983,-7.466666666666667,"0,0,0,0"
4.966666666666667,36,AV,0,18,12,1627,-4.966666666666667,"0,0,0,0"
4.4,76,AV,2,61,44,400,-4.4,"0,0,0,0"
2.25,37,AV,2,35,27,1708,-2.25,"0,0,0,0"
2.933333333333333,211,AV,3,138,15,1707,-2.933333333333333,"0,0,0,0"
4.166666666666667,25,AV,2,14,18,1571,-4.166666666666667,"0,0,0,0"
4.583333333333333,175,AV,2,120,28,17,-4.583333333333333,"0,0,0,0"
5.416666666666667,70,AV,2,57,41,598,-5.416666666666667,"0,0,0,0"
2.216666666666667,153,AV,0,42,5,631,-2.216666666666667,"0,0,0,0"
6.85,201,AV,2,133,77,1353,-6.85,"0,0,0,0"
4.266666666666667,173,AV,2,118,4,763,-4.266666666666667,"0,0,0,0"
3.816666666666667,41,AV,3,18,2,466,-3.816666666666667,"0,0,0,0"
3.033333333333333,89,AV,0,72,9,117,-3.033333333333333,"0,0,0,0"
1.5833333333333333,27,AV,1,26,2,853,-1.5833333333333333,"0,0,0,0"
4.533333333333333,214,AV,1,140,44,1603,-4.533333333333333,"0,0,0,0"
6.883333333333334,19,AV,2,19,17,476,-6.883333333333334,"0,0,0,0"
3.9166666666666665,202,AV,3,100,44,1192,-3.9166666666666665,"0,0,0,0"
3.15,99,AV,2,7,34,395,-3.15,"0,0,0,0"
0.75,142,AV,0,36,74,1338,-0.75,"0,0,0,0"
1.6833333333333333,168,AV,1,69,31,426,-1.6833333333333333,"0,0,0,0"
1.55,29,AV,1,28,23,1411,-1.55,"0,0,0,0"
4.283333333333333,109,AV,0,86,9,282,-4.283333333333333,"0,0,0,0"
1.2666666666666666,133,AV,3,13,25,640,-1.2666666666666666,"0,0,0,0"
3.316666666666667,95,AV,3,75,52,494,-3.316666666666667,"0,0,0,0"
3.8,188,AV,2,127,34,814,-3.8,"0,0,0,0"
2.0,197,AV,0,131,90,877,-2.0,"0,0,0,0"
5.816666666666666,61,AV,2,36,34,1461,-5.816666666666666,"0,0,0,0"
5.383333333333334,172,AV,1,89,64,1556,-5.383333333333334,"0,0,0,0"
5.683333333333334,150,AV,1,105,7,154,-5.683333333333334,"0,0,0,0"
1.15,139,AV,3,41,71,1711,-1.15,"0,0,0,0"
0.85,165,AV,3,114,83,986,-0.85,"0,0,0,0"
2.1666666666666665,80,AV,2,65,44,626,-2.1666666666666665,"0,0,0,0"
4.2,16,AV,0,16,14,595,-4.2,"0,0,0,0"
3.2333333333333334,179,AV,0,122,87,1060,-3.2333333333333334,"0,0,0,0"
2.683333333333333,3,AV,2,3,3,850,-2.683333333333333,"0,0,0,0"
2.4166666666666665,30,AV,2,29,24,15,-2.4166666666666665,"0,0,0,0"
1.15,130,AV,1,95,12,753,-1.15,"0,0,0,0"
4.683333333333334,209,AV,0,136,44,428,-4.683333333333334,"0,0,0,0"
2.35,0,AV,0,0,0,70,-2.35,"0,0,0,0"
2.4166666666666665,205,AV,2,40,75,908,-2.4166666666666665,"0,0,0,0"
1.4666666666666666,164,AV,2,113,77,326,-1.4666666666666666,"0,0,0,0"
2.7,112,AV,2,27,9,1787,-2.7,"0,0,0,0"
6.533333333333333,81,AV,0,66,45,486,-6.533333333333333,"0,0,0,0"
1.95,111,AV,3,88,57,1503,-1.95,"0,0,0,0"
4.033333333333333,21,AV,3,21,15,1026,-4.033333333333333,"0,0,0,0"
1.6,63,AV,1,50,38,1553,-1.6,"0,0,0,0"
2.683333333333333,198,AV,0,130,47,1777,-2.683333333333333,"0,0,0,0"
3.4833333333333334,74,AV,2,13,43,1735,-3.4833333333333334,"0,0,0,0"
4.383333333333334,84,AV,0,66,3,836,-4.383333333333334,"0,0,0,0"
5.25,49,AV,1,42,31,1027,-5.25,"0,0,0,0"
4.316666666666666,193,AV,3,21,39,1708,-4.316666666666666,"0,0,0,0"
2.4833333333333334,160,AV,3,92,81,1101,-2.4833333333333334,"0,0,0,0"
2.4833333333333334,33,AV,0,32,25,1187,-2.4833333333333334,"0,0,0,0"
3.0833333333333335,28,AV,3,27,22,1518,-3.0833333333333335,"0,0,0,0"
4.866666666666666,118,AV,1,91,15,16,-4.866666666666666,"0,0,0,0"
3.4,187,AV,3,126,29,1012,-3.4,"0,0,0,0"
3.683333333333333,182,AV,3,96,89,1558,-3.683333333333333,"0,0,0,0"
2.3333333333333335,42,AV,2,38,29,1605,-2.3333333333333335,"0,0,0,0"
3.683333333333333,115,AV,1,62,59,1691,-3.683333333333333,"0,0,0,0"
3.566666666666667,213,AV,0,140,44,557,-3.566666666666667,"0,0,0,0"
3.066666666666667,110,AV,2,87,34,487,-3.066666666666667,"0,0,0,0"
1.0666666666666667,47,AV,0,41,30,1734,-1.0666666666666667,"0,0,0,0"
2.75,217,AV,0,142,23,1780,-2.75,"0,0,0,0"
2.6,127,AV,2,15,5,1748,-2.6,"0,0,0,0"
2.316666666666667,215,AV,1,141,18,462,-2.316666666666667,"0,0,0,0"
4.1,77,AV,2,62,5,175,-4.1,"0,0,0,0"
2.2666666666666666,221,AV,2,144,18,443,-2.2666666666666666,"0,0,0,0"
4.05,114,AV,1,89,58,791,-4.05,"0,0,0,0"
1.4333333333333333,176,AV,1,121,18,1747,-1.4333333333333333,"0,0,0,0"
2.4166666666666665,35,AV,3,34,26,357,-2.4166666666666665,"0,0,0,0"
4.466666666666667,154,AV,1,28,3,1616,-4.466666666666667,"0,0,0,0"
4.4,126,AV,3,93,66,1485,-4.4,"0,0,0,0"
1.6166666666666667,93,AV,1,41,51,1790,-1.6166666666666667,"0,0,0,0"
2.533333333333333,1,Human,3,1,1,569,-2.533333333333333,"-1.2485855255689589,-1.5300794214652185,-1.7267883779321151,-2.3638797530916937"
2.1666666666666665,2,Human,1,2,2,1548,-2.1666666666666665,"-1.5588051229329891,-2.1476754413842087,-2.903489303119576,-3.558678152189608"
3.3666666666666667,4,Human,1,4,4,1175,-3.3666666666666667,"-2.349280496122614,-3.240934617313648,-2.921812759760055,-2.8956342687354137"
2.283333333333333,5,Human,2,5,5,154,-2.283333333333333,"-1.3689024171686046,-1.5467168339324269,-2.317581038010264,-2.2512413699027616"
4.816666666666666,6,Human,3,6,6,637,-4.816666666666666,"-5.022362013037678,-5.348781051762886,-5.186460106972903,-4.705214507579462"
5.55,7,Human,3,7,7,1679,-5.55,"-4.639707806782958,-4.798857394592311,-4.766659185055027,-5.4588883769222605"
5.3,8,Human,2,8,8,271,-5.3,"-5.056135695467283,-4.7701240326628485,-5.098557642451323,-5.702780916760069"
6.083333333333333,9,Human,1,9,9,131,-6.083333333333333,"-3.7102434070526025,-5.8982938801560465,-3.6709101616916002,-3.7799495921955026"
2.9166666666666665,11,Human,1,11,11,1541,-2.9166666666666665,"-2.4406776722105983,-2.8363292359135364,-4.433996959311556,-3.3911105055897424"
